Product GMID,Quantity,Expiry
5251780,407,
5251780,1320,
5251582,276,
5251582,106,
5251582,250,
5064431,529,
5064431,200,
2553188,17,
2553188,457,
8520825,2184,
8520825,2518,
8520825,4221,
8520817,1850,
8520809,10,
8520809,830,
2806289,1011,
2806289,311,
8468009,20,
2282283,5,
8270173,1116,
8270173,738,
8270173,200,
9729400,120,
5169578,213,
5169578,59,
5169602,100,
5169602,300,
4389086,307,
4590287,50,
8782516,13,
9241307,598,
4580684,33,
9905604,177,
9905604,123,
9905604,156,
9905604,2157,
9905604,896,
9905604,392,
5354063,130,
2850881,1107,
5354105,10,
5354105,4245,
5354105,290,
5354105,165,
2851889,290,
2851889,540,
2851889,450,
2851889,640,
5354055,2171,
2850386,362,
2850386,588,
2850386,2457,
3885985,18,
3885985,460,
3271780,220,
5064571,10,
5064571,423,
5064571,780,
5064571,3018,
8113845,39,
8113704,45,
8113704,254,
8113704,104,
8113837,250,
9434126,200,
2046688,101,
2529683,279,
2529683,279,
2529782,100,
2529782,275,
2842185,240,
3136587,104,
3136280,105,
2308682,50,
2308682,268,
2308682,120,
2046787,100,
2046787,50,
2046787,1623,
2046787,381,
2308781,1084,
2308781,622,
2308781,158,
2529584,1615,
2841781,515,
2841781,350,
2841989,411,
2841989,500,
5490578,197,
5490578,1152,
5490578,58,
5490578,288,
9412908,717,
9412908,805,
9412809,90,
6673483,97,
9329714,17,
5413240,3,
5413240,374,
9224931,606,
9679712,876,
9679720,945,
9679720,60,
5593322,100,
9295436,2000,
9295436,1,
9295436,4578,
9295436,1160,
2733285,100,
2733285,54,
2733285,100,
9618801,880,
9138230,192,
9138222,1598,
9138222,503,
9138222,210,
9662502,489,
8181602,15,
8181602,80,
5594452,100,
8250704,20,
8250704,167,
8250704,208,
8250704,100,
8250704,360,
8193417,185,
8193516,442,
8696641,154,
8768812,191,
8768812,86,
5349964,110,
2595189,50,
4600284,501,
4600284,200,
4600284,1036,
4586491,120,
4586491,99,
4974986,287,
