Mercafar_GMID;Quantity;Expiry
159086;665;août-19
158893;286;avr-19
158893;56;sept-19
293791;50;janv-19
293791;100;avr-19
293791;350;sept-19
293791;562;sept-19
191391;75;janv-20
191391;420;août-20
191379;150;déc-19
191379;186;août-20
191379;121;août-20
191379;199;déc-20
190107;200;juin-19
190107;2184;mars-20
190107;5400;mars-20
190107;2518;mars-20
190106;75;juin-19
190106;2126;avr-20
190104;20;juin-19
190104;784;oct-19
515284;59;déc-19
515284;1;mai-20
515284;255;oct-20
316433;125;nov-19
316433;351;nov-20
250545;200;janv-20
250545;70;sept-20
250545;1;sept-20
250545;159;nov-20
250545;395;janv-21
332328;40;déc-19
227380;9514;juin-19
227380;1144;oct-19
227380;5272;oct-19
188840;60;janv-20
188840;10;févr-20
188841;471;sept-19
511293;100;oct-19
511293;107;sept-20
510643;125;janv-20
510643;708;oct-20
272453;227;févr-20
519330;110;août-19
192775;75;déc-19
192775;104;oct-20
278343;273;sept-20
632293;1277;sept-19
632293;223;janv-20
632293;2799;mai-20
632293;2366;mai-20
389146;50;févr-19
389146;56;juin-19
389146;300;juil-19
29649;50;juin-19
29649;340;juin-19
29649;540;août-19
29612;1160;févr-19
29612;32;oct-19
58604;1000;juin-20
272773;230;juil-19
272773;10;août-19
272773;10;déc-19
272773;3331;août-20
600314;99;août-20
600315;500;juin-20
600315;599;nov-20
600315;500;déc-20
592632;90;déc-19
592632;295;sept-20
592632;584;oct-20
329051;250;déc-19
329051;140;août-20
329051;483;oct-20
329051;260;déc-20
328151;25;févr-20
328151;101;sept-20
328226;279;juil-19
328228;100;oct-19
328228;275;oct-19
296329;104;juin-19
296331;105;juil-19
611613;800;oct-20
328213;100;sept-19
328213;349;sept-19
328213;50;sept-19
328213;1785;oct-20
611618;2418;sept-20
611618;1388;oct-20
328216;400;sept-20
328216;2400;oct-20
611633;500;oct-20
611635;941;oct-20
436427;300;janv-20
436427;2284;oct-20
335666;180;mai-19
335666;2505;nov-19
335666;112;nov-19
192768;300;août-19
192768;3799;oct-19
480578;100;août-19
480578;59;févr-20
480578;12;oct-20
190071;200;sept-19
190071;260;mai-20
511532;1250;oct-19
511532;300;avr-20
511532;2622;sept-20
411383;5761;nov-19
192636;310;juin-19
192636;326;nov-19
196179;34;janv-19
196179;14;avr-19
196179;41;oct-19
196179;80;oct-19
192637;257;mai-19
192637;200;déc-19
569252;50;déc-19
569252;32;mars-20
188850;2000;sept-19
188850;1;sept-19
188850;7458;mai-20
592735;2438;août-20
421873;32;juin-22
592781;1930;mai-20
592781;6;mai-20
592782;1000;déc-19
592782;2698;mai-20
592782;703;juil-20
316979;600;janv-20
316979;312;mai-20
316979;500;juil-20
316979;1981;déc-20
544575;300;oct-19
544575;38;avr-20
544575;3482;août-20
544576;1;nov-19
544576;21;nov-19
592806;136;mai-20
195146;32;juin-21
195146;285;nov-21
195146;576;nov-21
14820;766;juin-20
14901;500;févr-21
13196;200;déc-19
13196;89;août-20
480201;75;nov-19
537710;75;déc-19
539414;50;févr-20
539414;125;oct-20
539414;594;nov-20
192750;500;mars-20
323076;4;mai-19
323076;596;août-19
323076;133;févr-20
323076;287;juil-20
