Mercafar GMID,Quantity,Expiry
5251780,665,
5251582,286,
5251582,56,
5064431,50,
5064431,100,
5064431,350,
5064431,562,
2553188,75,
2553188,420,
2553485,150,
2553485,186,
2553485,121,
2553485,199,
8520825,200,
8520825,2184,
8520825,5400,
8520825,2518,
8520817,75,
8520817,2126,
8520809,20,
8520809,784,
3080983,59,
3080983,1,
3080983,255,
2805984,125,
2805984,351,
2806289,200,
2806289,70,
2806289,1,
2806289,159,
2806289,395,
8287607,40,
8270173,9514,
8270173,1144,
8270173,5272,
9729400,60,
9729400,10,
2829091,471,
5169578,100,
5169578,107,
5169602,125,
5169602,708,
4389086,227,
4590287,110,
8782516,75,
8782516,104,
4580684,273,
9905604,1277,
9905604,223,
9905604,2799,
9905604,2366,
5354105,50,
5354105,56,
5354105,300,
2851889,50,
2851889,340,
2851889,540,
2850386,1160,
2850386,32,
3271780,1000,
5064571,230,
5064571,10,
5064571,10,
5064571,3331,
8113845,99,
8113837,500,
8113837,599,
8113837,500,
8113704,90,
8113704,295,
8113704,584,
9434126,250,
9434126,140,
9434126,483,
9434126,260,
2046688,25,
2046688,101,
2529683,279,
2529782,100,
2529782,275,
3136587,104,
3136280,105,
2308682,800,
2046787,100,
2046787,349,
2046787,50,
2046787,1785,
2308781,2418,
2308781,1388,
2529584,400,
2529584,2400,
2841781,500,
2841989,941,
5490578,300,
5490578,2284,
9412809,180,
9412809,2505,
9412809,112,
9412908,300,
9412908,3799,
6673483,100,
6673483,59,
6673483,12,
9329714,200,
9329714,260,
5413240,1250,
5413240,300,
5413240,2622,
9224931,5761,
9679712,310,
9679712,326,
9679720,34,
9679720,14,
9679720,41,
9679720,80,
9679704,257,
9679704,200,
5593322,50,
5593322,32,
9295436,2000,
9295436,1,
9295436,7458,
2733285,2438,
9618801,32,
9138230,1930,
9138230,6,
9138222,1000,
9138222,2698,
9138222,703,
9662502,600,
9662502,312,
9662502,500,
9662502,1981,
5594452,300,
5594452,38,
5594452,3482,
5593108,1,
5593108,21,
8181602,136,
8250704,32,
8250704,285,
8250704,576,
8193516,766,
8696641,500,
8768812,200,
8768812,89,
5349964,75,
2595189,75,
4600284,50,
4600284,125,
4600284,594,
4586491,500,
4974986,4,
4974986,596,
4974986,133,
4974986,287,
