Mercfar_GMID,Quantity,
5251780,165,
5251582,286,
5251582,106,
5064431,38,
5064431,362,
2553188,471,
2553485,186,
2553485,108,
2553485,256,
8520825,4571,
8520825,2518,
8520825,2184,
8520817,2050,
8520809,20,
8520809,1734,
3080983,353,
2805984,226,
2805984,204,
2806289,395,
8468009,310,
2282283,5,
8270173,7412,
8270173,1094,
8270173,888,
9729400,70,
2829091,440,
2829091,920,
5169578,7,
5169578,636,
5169602,1021,
4389086,327,
4590287,100,
8782516,150,
9241307,196,
4580684,153,
9905604,177,
9905604,123,
9905604,2347,
9905604,2439,
5354105,10,
5354105,290,
2851889,50,
2851889,340,
2851889,540,
2850386,630,
2850386,32,
2850386,580,
3885985,553,
3271780,460,
5064571,130,
5064571,10,
5064571,10,
5064571,2418,
8113845,99,
8113704,290,
8113704,579,
8113704,104,
9434126,1820,
2046688,101,
2529782,100,
2529782,275,
2842185,220,
3136587,104,
3136280,105,
2308682,650,
2308682,600,
2046787,100,
2046787,249,
2046787,50,
2046787,2313,
2308781,2018,
2308781,1372,
2308781,70,
2529584,1985,
2841781,500,
2841781,857,
2529683,279,
2841989,688,
2841989,1179,
5490578,197,
5490578,285,
5490578,1938,
9412809,180,
9412809,92,
9412809,1045,
9412809,500,
9412908,2017,
9412908,6341,
6673483,100,
6673483,59,
6673483,447,
9329714,310,
5413240,500,
5413240,300,
5413240,2522,
5413240,291,
9224931,4367,
9679712,310,
9679712,426,
9679720,14,
9679720,41,
9679720,80,
9679720,1325,
9679704,216,
9679704,295,
5593322,32,
5593322,117,
9295436,1,
9295436,2000,
9295436,7458,
2733285,2338,
2733285,10,
9618801,300,
9138230,6,
9138230,1680,
9138222,2598,
9138222,603,
9662502,312,
9662502,500,
9662502,1781,
5594452,38,
5594452,1764,
5594452,3198,
5593108,1,
5593108,1,
5593108,348,
8181602,180,
8250704,20,
8250704,285,
8250704,366,
8250704,100,
8193417,424,
8193516,764,
8696641,36,
8768812,197,
8768812,86,
5349964,110,
5842497,100,
5842398,150,
4600284,50,
4600284,544,
4600284,1064,
4586491,46,
4586491,99,
4974986,200,
4974986,133,
4974986,287,
