Product GMID,Quantity,Expiry Date
5251780,165,
5251780,400,
5251582,286,
5251582,106,
5064431,38,
5064431,362,
5064431,60,
2553188,321,
2553188,216,
2553485,19,
2553485,251,
2553485,130,
8520825,2518,
8520825,2184,
8520825,4221,
8520817,1850,
8520809,10,
2806289,459,
8468009,200,
2282283,5,
8270173,3452,
8270173,1094,
8270173,2906,
9729400,8,
2829091,321,
5169578,325,
5169602,743,
4389086,327,
4590287,50,
8782516,141,
9241307,146,
4580684,93,
9905604,177,
9905604,123,
9905604,1356,
9905604,2347,
9905604,956,
2850881,540,
5354105,10,
5354105,547,
2851889,50,
2851889,340,
2851889,540,
5354055,2735,
2850386,630,
2850386,32,
2850386,1488,
3885985,518,
3271780,460,
5064571,130,
5064571,10,
5064571,10,
5064571,2218,
5064571,1120,
8113845,69,
8113837,1230,
8113704,45,
8113704,339,
8113704,104,
9434126,1070,
2046688,101,
2529782,100,
2529782,275,
2842185,90,
2842185,350,
3136587,104,
3136280,105,
2308682,550,
2308682,160,
2046787,50,
2046787,249,
2046787,100,
2046787,1473,
2308781,1718,
2308781,1172,
2308781,158,
2529584,1515,
2841781,150,
2841781,100,
2841989,188,
2841989,58,
5490578,197,
5490578,303,
5490578,2283,
9412809,180,
9412809,92,
9412809,15,
9412809,424,
9412908,5405,
9412908,1379,
6673483,100,
6673483,447,
9329714,83,
5413240,500,
5413240,300,
5413240,1042,
5413240,291,
9224931,1561,
9679712,976,
9679720,1345,
9679704,390,
5593322,117,
9295436,1,
9295436,2000,
9295436,4578,
2733285,400,
2733285,200,
2733285,54,
9618801,410,
9138230,6,
9138230,155,
9138222,2498,
9138222,503,
9662502,312,
9662502,500,
9662502,871,
5594452,38,
5594452,790,
8181602,1,
8181602,15,
8181602,80,
8250704,20,
8250704,208,
8250704,167,
8250704,100,
8250704,10,
8193417,173,
8193516,443,
8768812,194,
8768812,86,
5349964,110,
5842497,100,
5842497,50,
5842398,157,
5842398,93,
4600284,50,
4600284,970,
4600284,614,
4586491,99,
4974986,200,
4974986,133,
4974986,287,
