Mercafar_GMID,Quantity,Expiry
5251780,115,
5251780,405,
5251780,820,
5251780,1120,
5251780,300,
5251582,276,
5251582,106,
5251582,127,
5251582,28,
5064431,2798,
5064431,200,
2553188,404,
2553485,85,
2553485,200,
2553485,63,
8520825,2184,
8520825,4221,
8520825,1508,
8520825,4,
8520825,3285,
8520825,5670,
8520817,1953,
8520817,368,
8520809,10,
8520809,1287,
3080983,122,
3080983,568,
2805984,174,
2805984,693,
2806289,985,
2806289,261,
2806289,1025,
8287607,9,
8468009,223,
2282283,5,
2282283,38,
2806289,250,
8270173,398,
8270173,400,
9729400,241,
2829091,1708,
5169578,153,
5169578,145,
5169578,118,
5169578,1074,
5169602,341,
5169602,1146,
5169602,100,
5169602,300,
4389086,424,
4590287,50,
4590287,33,
8782516,11,
8782516,89,
8782516,346,
9905604,177,
9905604,123,
9905604,43,
9905604,546,
9905604,3170,
9905604,100,
5354105,10,
5354105,1353,
5354105,165,
5354105,290,
2851889,290,
2851889,530,
2851889,450,
5354055,1372,
5354055,471,
2850386,662,
2850881,260,
5064571,130,
5064571,10,
5064571,10,
5064571,500,
3271780,180,
8113837,250,
8113837,689,
8113837,1899,
8113837,250,
8113704,79,
8113704,62,
8113704,88,
8113704,180,
9434126,50,
9434126,379,
9434126,290,
9434126,1611,
9434126,200,
2841989,894,
2841989,1740,
2841989,500,
2529683,811,
2841781,1409,
2841781,350,
2529584,2082,
2308781,222,
2308781,94,
2308781,4,
2308781,147,
2308781,216,
2308781,300,
2308781,500,
2046787,754,
2046787,633,
2046787,1168,
2046688,60,
2308682,150,
2308682,120,
3136280,105,
3136587,104,
2842185,1,
2842185,100,
2529782,275,
2529782,100,
2529782,137,
5490578,581,
5490578,300,
5490578,246,
9412809,53,
9412809,555,
9412809,90,
9412908,417,
9412908,3185,
9412908,2400,
9412908,720,
6673483,100,
6673483,1048,
9329714,748,
5413240,3,
5413240,4653,
9224931,2399,
9224931,2996,
9679712,1070,
9679712,369,
9679712,711,
9679720,945,
9679720,54,
9679720,42,
9679720,258,
9679704,282,
9679704,868,
5593322,106,
5593322,6,
5593322,459,
9295436,1,
9295436,2000,
9295436,3578,
9295436,10217,
9295436,1834,
2733285,550,
9618801,1289,
9138222,1119,
9138222,1013,
9138222,698,
9138222,102,
9138222,800,
9138230,100,
9662502,696,
9662502,629,
9662502,1816,
5594452,2194,
5594452,5074,
5593108,690,
8181602,82,
8181602,2593,
5201165,105,
8250704,35,
8250704,90,
8250704,910,
8250704,355,
8193417,360,
8193516,384,
8193516,155,
8696641,4,
8768812,31,
8768812,160,
5349964,100,
5349964,97,
5349964,4477,
2595189,50,
2595189,116,
4600284,50,
4600284,500,
4600284,150,
4586491,57,
4586491,254,
4586491,75,
4974986,239,
4974986,709,
4974986,215,
