Product GMID,Quantity,Expiry
5251582,276,
5251582,106,
5251582,250,
5064431,134,
5064431,200,
5064431,200,
5251780,300,
2553188,419,
2553485,535,
8520825,4,
8520825,4221,
8520825,2184,
8520825,2518,
8520825,3285,
8520825,180,
8520817,2161,
8520817,68,
8520809,10,
8520809,1761,
3080983,122,
2806289,1285,
8287607,51,
8468009,223,
2282283,5,
2282283,26,
8270173,778,
8270173,5065,
8270173,200,
9729400,220,
5169578,213,
5169578,129,
5169602,255,
5169602,300,
4389086,307,
4590287,50,
4590287,16,
8782516,76,
9241307,598,
9241307,994,
4580684,33,
9905604,123,
9905604,1147,
9905604,156,
9905604,846,
9905604,1703,
5354063,51,
2850881,20,
2850881,973,
5354105,10,
5354105,4048,
5354105,165,
5354105,290,
2851889,290,
2851889,540,
2851889,450,
2851889,660,
5354055,1546,
2850386,362,
2850386,348,
2850386,2267,
3885985,561,
3271780,220,
3271780,183,
5064571,10,
5064571,235,
5064571,3510,
5064571,997,
8113845,39,
8113845,10,
8113837,250,
8113837,240,
8113837,250,
8113704,204,
8113704,180,
9434126,469,
9434126,200,
2046688,101,
2529683,578,
2529683,279,
2529782,275,
2529782,100,
2529782,146,
2842185,357,
3136587,104,
3136280,105,
2308682,200,
2308682,150,
2308682,120,
2046787,1504,
2046787,699,
2308781,522,
2308781,158,
2308781,4,
2308781,200,
2308781,500,
2529584,1986,
2841781,515,
2841781,545,
2841781,350,
2841989,1094,
2841989,500,
5490578,197,
5490578,288,
5490578,28,
5490578,2155,
9412809,453,
9412809,1368,
9412809,90,
9412908,417,
9412908,3185,
6673483,111,
9329714,37,
5413240,3,
5413240,1631,
9224931,2399,
9679712,1076,
9679712,230,
9679720,945,
9679720,60,
9679720,258,
9679720,42,
9679704,282,
5593322,106,
9295436,1,
9295436,4578,
9295436,10717,
2733285,2050,
9618801,1250,
9138230,539,
9138222,303,
9138222,199,
9138222,1498,
9662502,702,
9662502,1204,
5594452,2361,
8181602,4,
8181602,70,
8250704,20,
8250704,167,
8250704,208,
8250704,90,
8250704,910,
8193417,687,
8193516,492,
8696641,154,
8768812,191,
8768812,86,
8768812,1,
5349964,110,
5349964,97,
2595189,105,
5842497,200,
5842398,199,
4600284,110,
4600284,500,
4600284,150,
4586491,108,
4586491,254,
4586491,99,
4974986,287,
4974986,709,
