product_name,unified_price,resell_price,Supply_Price
CORDARONE 200MG TAB BL2X15 M24 XD, 7.40 , 4.80 , 4.5600 
FLAGENTYL 500MG TABCO BL4 S4 M49 XD, 2.37 , 3.27 , 3.1065 
OFLOCET 200MG TABCO BL10 S4 M36 XD, 4.53 , 4.50 , 4.2750 
OMIZEC 20MG CAP BL4X7 H EX, 3.09 , 3.50 , 3.3250 
PROFENID 100MG TABCO BL3X10 XD, 2.61 , 2.92 , 2.7740 
ROVAMYCINE 1.5MIU TABCO BL2X8 M36 XD, 3.52 , 3.70 , 3.5150 
TAVANIC 500MG/+ INFLS VL1 ICRA M36 XD, 12.35 , 10.20 , 9.6900 
TOPLEXIL 33MG/100ML SYR BT1 X EX, 1.61 , 1.69 , 1.6055 
ULCAR 1G/5ML SUSP SC30 S4 M48 XD, 5.38 , 5.70 , 5.4150 
ZEBEN 400MG TAB BL1 M48 EX, 0.46 , 0.50 , 0.4750 
AMAREL 1MG TAB BL2X15 M36 XE, 2.91 , 3.06 , 2.9070 
AMAREL 2MG TAB BL2X15 M36 XE, 4.36 , 4.59 , 4.3605 
AMAREL 3MG TAB BL2X15 M36 XE, 5.70 , 6.00 , 5.7000 
AMAREL 4MG TAB BL2X15 M36 XD, 9.20 , 9.70 , 9.2150 
AMARYL MIR 2-500MG TABCO BL3X10 XE, 5.22 , 4.76 , 4.5220 
AMARYL MSR 2-500MG TABCO BL3X10 M24 XE, 4.77 , 4.94 , 4.6930 
AMITRON 3G/60ML POWD BT1 M36 EX, 0.76 , 0.80 , 0.7600 
AMITRON 500MG CAPEM BL12 M36 EX, 0.95 , 1.00 , 0.9500 
APROVASC 150-10MG TAB BL4X7 M36 XD, 13.29 , 14.00 , 13.3000 
APROVASC 150-5MG TAB BL4X7 M36 XD, 12.94 , 13.70 , 13.0150 
APROVASC 300-10MG TAB BL4X7 M36 XD, 14.94 , 15.53 , 14.7535 
APROVEL 150MG TABCO BL2X14 RM M36 XE, 12.75 , 13.67 , 12.9865 
APROVEL 300MG TABCO BL2X14 RM M36 XE, 13.52 , 14.40 , 13.6800 
ASPEGIC 100MG POWD SC20 SAF M24 XD, 1.02 , 1.02 , 0.9690 
ASPEGIC 1G POWD SC20 SAF M30 XD, 1.96 , 2.53 , 2.4035 
ASPEGIC 250MG POWD SC20 SAF M24 XD, 1.07 , 1.07 , 1.0165 
ASPEGIC 500MG POWD SC20 SAF M30 XD, 1.31 , 1.29 , 1.2255 
ATURGYL 7.5MG/15ML NASSP IN1 M24 XE, 0.94 , 0.88 , 0.8360 
BIOFERON 305MG+ CAPEM BL3X10 M30 EX, 1.01 , 1.05 , 0.9975 
BIOFERON 200ML SYR BT1 M30 H EX, 1.37 , 1.50 , 1.4250 
BIPROFENID 100MG TAB BL2X10 S4 M24 XD, 2.87 , 3.00 , 2.8500 
CLOMID 50MG TAB BL10 NDSI M36 XE, 5.46 , 6.32 , 6.0040 
CLOMID 50MG TAB BL5 NDSI M36 XE, 2.71 , 2.86 , 2.7170 
COAPRO 300-25MG TABCO BL2X14 M24 XE, 16.34 , 16.00 , 15.2000 
COAPRO 150-12.5MG TABCO BL2X14 RM M36 XD, 12.88 , 13.87 , 13.1765 
COAPRO 300-12.5MG TABCO BL2X14 RM M36 XD, 14.05 , 14.40 , 13.6800 
CODOLIPRANE 400-20MG TAB BL2X8 NDSI XD, 1.42 , 1.35 , 1.2825 
CORTANCYL 20MG TAB BL2X10 SWI M36 XE, 2.28 , 2.40 , 2.2800 
CORTANCYL 5MG TAB BL30 SWI M36 XE, 1.30 , 1.37 , 1.3015 
