country,distributor,customer,product_gmid,supply_price,resale_price,tender_price,special_resale,special_tender,promotion
TZ,,,645820,0,3.82,0,0,0,non-promoted
TZ,,,645818,0,6.76,0,0,0,non-promoted
TZ,,,261608,0,6,0,0,0,non-promoted
TZ,,,645819,0,12.15,0,0,0,non-promoted
TZ,,,307013,6.194,6.52,3.515,0,0,non-promoted
TZ,,,373877,0,0.46,0,0,0,non-promoted
TZ,,,373878,0,0.73,0,0,0,non-promoted
TZ,,,373882,0,18.02,0,0,0,non-promoted
TZ,,,373881,0,12.11498542,0,0,0,non-promoted
TZ,,,373875,0,0.26,0,0,0,non-promoted
TZ,,,373879,0,6.657019792,0,0,0,non-promoted
TZ,,,373876,0,0.32,0,0,0,non-promoted
TZ,,,373880,0,8.11,0,0,0,non-promoted
TZ,,,475987,1.6625,1.75,1.2635,0,0,non-promoted
TZ,,,475988,3.3345,3.51,1.919,0,0,non-promoted
TZ,,,475994,0,1.5,0,0,0,non-promoted
TZ,,,476950,0,0.8,0,0,0,non-promoted
TZ,,,476959,0,0.56,0,0,0,non-promoted
TZ,,,476936,0,1.9,0,0,0,non-promoted
TZ,,,655023,8.1985,8.63,3.8,0,0,non-promoted
TZ,,,655024,11.2005,11.79,5.225,0,0,non-promoted
TZ,,,655025,16.397,17.26,8.075,0,0,non-promoted
TZ,,,245298,0,4.63,0,0,0,non-promoted
TZ,,,554510,8.398,8.84,5.225,0,0,non-promoted
TZ,,,641849,6.403,6.74,0,0,0,non-promoted
TZ,,,726651,8.9965,9.47,2.2325,0,0,non-promoted
TZ,,,730439,25.593,26.94,0,0,0,non-promoted
TZ,,,664051,1.7005,1.79,1.3015,0,0,non-promoted
TZ,,,476963,0,10,0,0,0,non-promoted
TZ,,,476008,0,2.7,0,0,0,non-promoted
TZ,,,476009,1.235,1.3,1.2255,0,0,non-promoted
TZ,,,475271,0,4.2,0,0,0,non-promoted
TZ,,,476029,0,2.27,0,0,0,non-promoted
TZ,,,477015,1.482,1.56,1.8525,0,0,non-promoted
TZ,,,476043,2.66,2.8,2.166,0,0,non-promoted
TZ,,,476194,0,0.68,0,0,0,non-promoted
TZ,,,477037,0,0.68,0,0,0,non-promoted
TZ,,,476933,0,0.85,0,0,0,non-promoted
TZ,,,405039,0,4.44,0,0,0,non-promoted
TZ,,,390465,0,2.1,0,0,0,non-promoted
TZ,,,390470,0,2.8,0,0,0,non-promoted
TZ,,,241634,34.01,35.8,24.6905,0,0,non-promoted
TZ,,,615902,34.846,36.68,0,0,0,non-promoted
TZ,,,223381,0,18.71,0,0,0,non-promoted
TZ,,,481580,0,3,0,0,0,non-promoted
TZ,,,357266,0,2.1,0,0,0,non-promoted
TZ,,,506742,0,2.5,0,0,0,non-promoted
TZ,,,436418,3.61,3.8,0,0,0,non-promoted
TZ,,,655024,11.2005,11.79,5.225,0,0,non-promoted
TZ,,,338199,0,1.1,0,0,0,non-promoted
TZ,,,506704,0,2.1,0,0,0,non-promoted
TZ,,,476710,0,0.91,0,0,0,non-promoted
TZ,,,287552,4.94,5.2,3.021,0,0,non-promoted
TZ,,,287550,1.33,1.4,0.855,0,0,non-promoted
TZ,,,289137,0,4.3,0,0,0,non-promoted
TZ,,,289138,0,1.07,0,0,0,non-promoted
TZ,,,287553,2.565,2.7,1.881,0,0,non-promoted
TZ,,,195442,0,2.1,0,0,0,non-promoted
TZ,,,476518,0,4,0,0,0,non-promoted
TZ,,,298689,6.802,7.16,3.7525,0,0,non-promoted
TZ,,,374872,7.7995,8.21,5.7,0,0,non-promoted
TZ,,,298693,6.2985,6.63,3.6765,0,0,non-promoted
TZ,,,298691,9.3955,9.89,6.46,0,0,non-promoted
TZ,,,476714,0,0.6,0,0,0,non-promoted
TZ,,,476989,0,0.87,0,0,0,non-promoted
TZ,,,476985,0,2.6,0,0,0,non-promoted
TZ,,,476984,0,35,0,0,0,non-promoted
TZ,,,476715,0,25,0,0,0,non-promoted
TZ,,,476716,0,2,0,0,0,non-promoted
TZ,,,476997,0,1.6,0,0,0,non-promoted
TZ,,,476996,0,29,0,0,0,non-promoted
TZ,,,660724,2.565,2.7,1.6796,0,0,non-promoted
TZ,,,479387,1.52,1.6,0,0,0,non-promoted
TZ,,,479530,0,1.8,0,0,0,non-promoted
TZ,,,635227,1.52,1.6,1.216,0,0,non-promoted
TZ,,,477023,0,9,0,0,0,non-promoted
TZ,,,280449,0,6.49,0,0,0,non-promoted
TZ,,,477027,0,17,0,0,0,non-promoted
TZ,,,481300,0,4.9,0,0,0,non-promoted
TZ,,,90099,0,12.83,0,0,0,non-promoted
TZ,,,54430,0,6.62,0,0,0,non-promoted
TZ,,,54431,0,11.9,0,0,0,non-promoted
TZ,,,282348,0,4,0,0,0,non-promoted
TZ,,,209742,0,6,0,0,0,non-promoted
TZ,,,476835,0,1,0,0,0,non-promoted
TZ,,,477012,0,0.2,0,0,0,non-promoted
TZ,,,477044,0,0.84,0,0,0,non-promoted
TZ,,,405069,0,4.19,0,0,0,non-promoted
TZ,,,380567,34.2,36,0,0,0,non-promoted
