country,distributor,customer,product_gmid,supply_price,resale_price,tender_price,special_resale,special_tender,promotion
UG,,,645820,3.8,4,2.755,0,0,non-promoted
UG,,,645818,0,7.05,0,0,0,non-promoted
UG,,,261608,0,6.31,0,0,0,non-promoted
UG,,,645819,12.0935,12.73,11.2575,0,0,non-promoted
UG,,,475649,0,0.8,0,0,0,non-promoted
UG,,,475862,0,0.74,0,0,0,non-promoted
UG,,,475983,0,1.61,0,0,0,non-promoted
UG,,,338355,0,12.11,0,0,0,non-promoted
UG,,,373877,0,0.46,0,0,0,non-promoted
UG,,,373878,0,0.73,0,0,0,non-promoted
UG,,,338356,0,18.02,0,0,0,non-promoted
UG,,,338357,0,6.66,0,0,0,non-promoted
UG,,,373875,0,0.26,0,0,0,non-promoted
UG,,,341781,0,8.11,0,0,0,non-promoted
UG,,,373876,0,0.32,0,0,0,non-promoted
UG,,,475991,0,1.1,0,0,0,non-promoted
UG,,,475994,0,1.1,0,0,0,non-promoted
UG,,,312920,0,194.5,0,0,0,non-promoted
UG,,,476959,0,0.6,0,0,0,non-promoted
UG,,,477047,0,17,0,0,0,non-promoted
UG,,,655022,4.8545,5.11,4.4555,0,0,non-promoted
UG,,,655023,8.1985,8.63,3.8,0,0,non-promoted
UG,,,655024,11.2005,11.79,5.225,0,0,non-promoted
UG,,,655025,16.397,17.26,8.075,0,0,non-promoted
UG,,,306730,0,2.39,0,0,0,non-promoted
UG,,,341783,0,1.74,0,0,0,non-promoted
UG,,,245298,0,4.2,0,0,0,non-promoted
UG,,,554523,8.398,8.84,5.225,0,0,non-promoted
UG,,,407096,0,351.79,0,0,0,non-promoted
UG,,,370351,0,146.83,0,0,0,non-promoted
UG,,,641849,6.403,6.74,4.3415,0,0,non-promoted
UG,,,728129,0,9.47,0,0,0,non-promoted
UG,,,730439,0,26.94,0,0,0,non-promoted
UG,,,477020,0,1,0,0,0,non-promoted
UG,,,477019,0,1,0,0,0,non-promoted
UG,,,664051,1.7005,1.79,1.3509,0,0,non-promoted
UG,,,476963,11.9985,12.63,5.0825,0,0,non-promoted
UG,,,476008,0,2.7,0,0,0,non-promoted
UG,,,476009,1.2445,1.31,1.1875,0,0,non-promoted
UG,,,475271,0,2.68,0,0,0,non-promoted
UG,,,477015,1.8525,1.95,1.8,0,0,non-promoted
UG,,,476933,0,0.85,0,0,0,non-promoted
UG,,,405018,0,4.29,0,0,0,non-promoted
UG,,,405039,0,4.5,0,0,0,non-promoted
UG,,,405069,0,4.19,0,0,0,non-promoted
UG,,,615902,34.846,36.68,34.846,0,0,non-promoted
UG,,,615926,5.7,6,5.7,0,0,non-promoted
UG,,,506742,0,2.5,0,0,0,non-promoted
UG,,,507364,0,3.25,0,0,0,non-promoted
UG,,,436418,0,3.8,0,0,0,non-promoted
UG,,,506704,0,2.1,0,0,0,non-promoted
UG,,,506739,0,2.55,0,0,0,non-promoted
UG,,,477018,0,2,0,0,0,non-promoted
UG,,,476940,0,1.65,0,0,0,non-promoted
UG,,,476710,0,0.91,0,0,0,non-promoted
UG,,,287551,0,2.1,0,0,0,non-promoted
UG,,,287552,4.94,5.2,3.1065,0,0,non-promoted
UG,,,287550,1.33,1.4,0.8075,0,0,non-promoted
UG,,,508116,4.275,4.5,3.1065,0,0,non-promoted
UG,,,289138,1.045,1.1,0.779,0,0,non-promoted
UG,,,287553,2.565,2.7,1.881,0,0,non-promoted
UG,,,476518,0,1.36,0,0,0,non-promoted
UG,,,298689,6.498,6.84,3.5625,0,0,non-promoted
UG,,,374872,7.4005,7.79,5.415,0,0,non-promoted
UG,,,298693,6.2985,6.63,3.4865,0,0,non-promoted
UG,,,298691,9.3955,9.89,6.099,0,0,non-promoted
UG,,,476714,0,0.4,0,0,0,non-promoted
UG,,,476980,0,5.2,0,0,0,non-promoted
UG,,,476989,0,0.87,0,0,0,non-promoted
UG,,,476985,0,2.6,0,0,0,non-promoted
UG,,,476986,0,5.1,0,0,0,non-promoted
UG,,,476716,0,0.53,0,0,0,non-promoted
UG,,,187750,0,2.81,0,0,0,non-promoted
UG,,,660724,2.565,2.7,1.6796,0,0,non-promoted
UG,,,660728,0,1.6,0,0,0,non-promoted
UG,,,323104,0,2.21,0,0,0,non-promoted
UG,,,660727,1.71,1.8,1.3015,0,0,non-promoted
UG,,,323103,0,1.36,0,0,0,non-promoted
UG,,,346663,0,2.21,0,0,0,non-promoted
UG,,,481359,0,0.33,0,0,0,non-promoted
UG,,,413689,29.9915,31.57,24.8583,0,0,non-promoted
UG,,,209132,0,57.77,0,0,0,non-promoted
UG,,,245863,0,2.28,0,0,0,non-promoted
UG,,,280449,0,6.49,0,0,0,non-promoted
UG,,,477005,0,2.05,0,0,0,non-promoted
UG,,,477027,0,17,0,0,0,non-promoted
UG,,,476958,0,2.9,0,0,0,non-promoted
UG,,,481300,0,46.55,0,0,0,non-promoted
UG,,,633072,21.5935,22.73,15.0005,0,0,non-promoted
UG,,,213866,0,6.31,0,0,0,non-promoted
UG,,,476947,0,0.2,0,0,0,non-promoted
UG,,,476960,0,0.32,0,0,0,non-promoted
UG,,,307013,6.194,6.52,3.515,0,0,non-promoted
UG,,,476043,2.66,2.8,2.546,0,0,non-promoted
UG,,,477034,1.7575,1.85,1.6245,0,0,non-promoted
