sanofi_gmid,marco_gmid,bu,franchise,name,brand
261604,261604,GEM,GEM,AMARYL 1MG TAB BL2X15 S3 M36 XE,AMARYL
261605,261605,GEM,GEM,AMARYL 2MG TAB BL2X15 S3 M36 XE,AMARYL
261610,261610,GEM,GEM,AMARYL 4MG TAB BL2X15 S3 M36 XE,AMARYL
551042,551042,GEM,GEM,CLOMID 50MG TAB BL10 NDSI M36 XE,CLOMID
247831,247831,GEM,GEM,"CO-APROVEL RM 150/12,5MG 28 COMP (MVI)",APROVEL
247832,247832,GEM,GEM,"CO-APROVEL RM 300/12,5MG 28 comp (MVI)",APROVEL
305481,305481,GEM,GEM,DAONIL 5MG TAB BL10X10 SWI M24 XE,DAONIL
440221,440221,CHC,CHC,ESSENTIALE FORTE 300MG CAP BTX50 S3 XE,ESSENTIALE
405018,405018,GEM,GEM,INSUMAN BASAL 1000IU 1INJ S3 XN,INSUMAN
405039,405039,GEM,GEM,INSUMAN COMB30 1000IU 1INJ S3 XE,INSUMAN
405069,405069,GEM,GEM,INSUMAN RAPID 1000IU 1INJ S3 XE,INSUMAN
479387,479387,CHC,CHC,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM,RHINATHIOL
479530,479530,CHC,CHC,RHINATHIOL 6.25G/+ SYR BT,RHINATHIOL
426259,426259,GEM,GEM,THYMOGLOBULINE 25MG/5ML INJPO VL1 GB,THYMOGLOBULIN
223652,223652,GEM,GEM,Xatral 5mg ,XATRAL
261608,261608,GEM,GEM,AMARYL 3MG TAB BL2X15 S3 XE,AMARYL
373882,373882,AFRICASOINS,AFRICASOINS,ASAQ 100MG TAB BL25X6 XD,ASAQ
373880,373880,AFRICASOINS,AFRICASOINS,ASAQ 50MG TAB BLI25X3 XD,ASAQ
476931,476931,GEM,GEM,AXACEF 250MG TABCO BL2X7 M36 EX,AXACEF
475994,475994,CHC,CHC,BIOFERON 8G/200ML+ SYR BTX1 M30 EX,BIOFERON
476950,476950,GEM,GEM,BIOZOLE 500MG/+ INFLS VL1 M24 EX,BIOZOLE
476008,476008,GEM,GEM,FLEMING 2.5G/+ INJPO BTX1 M24 EX,FLEMING
476029,476029,GEM,GEM,FLEMING 5.6G/70ML+ INJPO BTX1 M24 GH,FLEMING
476194,476194,CHC,CHC,HISTACET 10MG TABCO BL2X10 M36 KE,HISTACET
223381,223381,GEM,GEM,LANTUS VIAL 10MG 1,LANTUS
481580,481580,GEM,GEM,LOTIN 10MG TABCO BL10X10 M36 KE,LOTIN
357266,357266,CHC,CHC,MAALOX PLUS SUSP 150ML,MAALOX
338199,338199,CHC,CHC,MAALOX PLUS TABS EXPORT 10,MAALOX
289137,289137,CHC,CHC,NOSPA 40MG/2ML INJ AM25 XD,NO SPA
195442,195442,CHC,CHC,NOSPALGIN 40-500-8MG TAB BL1X12 XM,NO SPA
476984,476984,GEM,GEM,PROMOX 250MG CAPEM BTX1000 M36 EX,PROMOX
477825,477825,CHC,CHC,RHINATHIOL 10G/200ML SOL BTX1 XM,RHINATHIOL
477023,477023,GEM,GEM,ROXICEF 750MG INJPO VL10 M36 KE,ROXICEF
280449,280449,GEM,GEM,THIOBACTIN 500MG CP B24 ,THIOBACTIN
477027,477027,GEM,GEM,TRIMOPRIM 400-80MG TAB BTX1000 M48 EX,TRIMOPRIM
476835,476835,GEM,GEM,TUSSEX 5G/100ML+ SYR BTX1 M36 EX,TUSSEX
475649,475649,GEM,GEM,AMEDIN 10MG TAB BL2X14 M36 UG,AMLODIPINE
475983,475983,GEM,GEM,ARTRIN 20-120MG TAB BL3X8 M36 EX,ARTRIN
338355,338355,AFRICASOINS,AFRICASOINS,ASAQ 100MG TAB 25BLIX3 EX,ASAQ
338357,338357,AFRICASOINS,AFRICASOINS,ASAQ 25MG TAB 25BLIX3 EX,ASAQ
475991,475991,CHC,CHC,BIOFERON 305MG+ CAPEM BL3X10 M30 EX,BIOFERON
312920,312920,GEM,GEM,BLEOMYCINE 15MG INJPO VL10 H FR,BLEOMYCINE
477047,477047,CHC,CHC,BRUMED 400MG TABSC BL50X10 M36 EX,BRUMED
306730,306730,GEM,GEM,COARSUCAM 100-270MG TAB BL1X6 EX,COARSUCAM
306728,306728,GEM,GEM,COARSUCAM 100MG/270 TAB 3'S,COARSUCAM
306732,306732,GEM,GEM,COARSUCAM 25/67.5TAB 3'S,COARSUCAM
341783,341783,GEM,GEM,COARSUCAM 50-135MG TAB BL1X3 EX,COARSUCAM
554523,554523,GEM,GEM,CORDARONE 200MG TAB BL3X10 S3 M36 XD,CORDARONE
502299,502299,GEM,GEM,EPILIM 200MG TABEC BL10X10 S2 M36 XE,EPILIM
477020,477020,GEM,GEM,EURIL 10MG TAB BL2X14 M36 UG,EURIL
477019,477019,GEM,GEM,EURIL 5MG TAB BL2X14 M36 UG,EURIL
477018,477018,CHC,CHC,MEDVITE GOLD VITAMINS TABCO BL3X10 UG,MEDVITE
476940,476940,CHC,CHC,MEDVITE VITAMINS SYR BTX1 M24 EX,MEDVITE
287551,287551,CHC,CHC,NO - SPA 40-500-8MG TAB BL1X12 S3 XE,NO SPA
476980,476980,GEM,GEM,PROLOX 250-250MG CAPEM BL10X10 M24 UG,PROLOX
476986,476986,GEM,GEM,PROMOX 500MG CAPEM BL50X10 M36 UG,PROMOX
187750,187750,GEM,GEM,QUINIMAX 125MG TABCO BTX18 M36 XE,QUINIMAX
323104,323104,CHC,CHC,RHINATHIOL 240MG/+ SYR BTX1 M36 XM,RHINATHIOL
323103,323103,CHC,CHC,RHINATHIOL 75MG/125ML SYR BTX1 M36 XM,RHINATHIOL
346663,346663,CHC,CHC,RHINATHIOL TOUX SECH 240MG/+ SYR BTX1 XM,RHINATHIOL
481359,481359,GEM,GEM,SURFLOX 400MG TAB BL1X10 M36 UG,SURFLOX
209132,209132,GEM,GEM,TAXOTERE 80MG F3 1+1 ZA,TAXOTERE
245863,245863,GEM,GEM,THIOBACTIN 250MG TABCO BL2X8 S3 M36 XM,THIOBACTIN
477005,477005,GEM,GEM,TRIMOPRIM 400-80MG TAB BL10X10 M48 EX,TRIMOPRIM
213866,213866,GEM,GEM,"XATRAL 2,5MG B/30 CP PEL (MVI)",XATRAL
476947,476947,GEM,GEM,ZEBEN 400MG TAB BL1X1 M48 EX,ALBENDAZOL
