country,distributor,distributor_product_name,sanofi_product_name,sanofi_gmid
TZ,Bahari,Epilim Chrono 500mg Tabs,EPILIM CHRONO 333-145MG T,643216
TZ,Bahari,Epilim Tabs 200mg ,EPILIM 200MG TAB BL10X10,728129
TZ,Bahari,No-Spa Tabs 40mg 100'S,NOSPA 40MG TAB BL10X10 S3,287552
TZ,Bahari,Orelox 200mg Tabs,ORELOX 200MG TABCO BL1X10,374872
TZ,Bahari,Rhinathiol Prom ,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM",323473
TZ,Bahari,Rhinothiol 6.25mg Adults ,RHINATHIOL 6.25G/+ SYR BT,479530
TZ,Bahari,Rhinathiol Adults Sugarfree,RHINATHIOL 10G/200ML SOL BTX1 XM,477825
TZ,Bahari,Flagently Tabs 500mg-4,FLAGENTYL 500MG 4CP S3 ,664051
TZ,Bahari,FLEMING SYRUP 228,FLEMING 2.8G/70ML+ INJPO BTX1 M24 EX,476009
TZ,Bahari,FLEMING TABLET 625,FLEMING 500-125MG TABCO BL2X7 M24 EX,477015
TZ,JD,SANOFI AMIODARONE INJ 150MG CORDARONE-X 6S,CORDARONE 150MG/3ML INJ A,245298
TZ,Laborex,NO SPA 40MG CP B/100          ,NOSPA 40MG TAB BL10X10 S3,287552
TZ,JD,SANOFI NO-SPA 40MG TABS 100S,NOSPA 40MG TAB BL10X10 S3,287552
TZ,JD,SANOFI AMARYL M 2MG TABS 30S,AMARYL M 250MG 30CP XE,307013
TZ,JD,SANOFI AMARYL TABS 2MG 30S,AMARYL 2MG 30 TABS,645818
TZ,JD,SANOFI ORELOX TABS 200MG 10S,ORELOX 200MG TABCO BL1X10,374872
TZ,JD,SANOFI AMARYL TABS 4MG 30S UK,AMARYL 4MG 30 TABS,645819
TZ,JD,SANOFI NO-SPA 40MG TABS 20S,NOSPA 40MG TAB BL2X10 XE,287550
TZ,JD,FLEMING 228MG SYRUP 70ML (AUGMENTIN),FLEMING 2.8G/70ML+ INJPO BTX1 M24 EX,476009
TZ,JD,SANOFI FLEMING 625MG TABS 14S,FLEMING 500-125MG TABCO BL2X7 M24 EX,477015
TZ,JD,SANOFI RHINATHIOL SYRUP 5% ADULT 125MLS 1 U.K,RHINATHIOL 6.25G/+ SYR BT,479530
TZ,JD,SANOFI RHINATHIOL SYRUP 2% CHILD 125MLS 1 U.K,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM,479387
TZ,JD,SANOFI APIDRA SOLOSTAR 5 X 3MLS,APIDRA SOLOSTAR 300IU 5INJ XE,380567
TZ,JD,SANOFI MAALOX PLUS SUSP 150MLS,MAALOX PLUS SUSP 150ML,357266
TZ,JD,SANOFI RHINATHIOL PROMETHAZINE SYRUP 125MLS,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM",323473
TZ,Laborex,EPILIM CHRONO TABS 500MG 100S ,EPILIM CHRONO 333-145MG T,643216
ET,PFSA,EPILIM 200MG COMP BL10X10,EPILIM 200MG TAB BL10X10,728129
et,dejen,EPILIM 200 mg/5ml syrup,EPILIM 12G/300ML SYR BTX1,641849
TZ,JD,SANOFI EPILIM CHRONO 500MG TAB 100S,EPILIM CHRONO 333-145MG T,643216
TZ,Laborex,CLEXANE 40MG INJ 2'S          ,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,655023
TZ,JD,SANOFI CLEXANE INJ 80MG 2S (8000 UI ANTI-XEUI/0.8ML),CLEXANE 8KIU/0.8ML INJ PS2 S3 M24 XE,655025
TZ,Laborex,CLEXANE INJ 80MG 2'S          ,CLEXANE 8KIU/0.8ML INJ PS2 S3 M24 XE,655025
TZ,JD,SANOFI CLEXANE INJ 40MG 2S (4000 ANTI-XA IU/0.4 ML),CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,655023
TZ,JD,SANOFI AMARYL TABS 1MG 30S,AMARYL 1MG 30 TABS,645820
TZ,JD,SANOFI LANTUS (GLARGINE) SOLOSTAR 3ML 5S,LANTUS SOLOSTAR 100IU/ML 3ML 5,615902
TZ,Laborex,EPILIM SYRUP 200MG/5ML 300ML  ,EPILIM 12G/300ML SYR BTX1,641849
TZ,Laborex,EPILIM EC TABS 200MG 100'S    ,EPILIM 200MG TAB BL10X10,728129
TZ,JD,SANOFI EPILIM 200MG TAB 100S U.K,EPILIM 200MG TAB BL10X10,728129
TZ,JD,SANOFI EPILIM 200MG/5ML SYRUP * 300ML 1 U.K,EPILIM 12G/300ML SYR BTX1,641849
TZ,JD,SANOFI RHINATHIOL SYRUP ADULT S/FREE 200MLS,RHINATHIOL 10G/200ML SOL BTX1 XM,477825
TZ,JD,SANOFI ORELOX  SYRUP 40MG/5ML 100MLS,ORELOX 800MG/+ GRAN BTX1,298691
TZ,JD,SANOFI ORELOX TABS 100MG 10Sx1,ORELOX 100MG TABCO BL1X10,298689
TZ,Laborex,AMARYL TABS 1MG 30'S          ,AMARYL 1MG 30 TABS,645820
TZ,Laborex,AMARYL TABS 2MG 30'S          ,AMARYL 2MG 30 TABS,645818
UG,Laborex,AMARYL TABS 4MG 30'S          ,AMARYL 4MG 30 TABS,645819
TZ,Laborex,AMARYL TABS 4MG 30'S          ,AMARYL 4MG 30 TABS,645819
TZ,Laborex,AMARYL M 2MG CP B/30          ,AMARYL 2MG 30 TABS,645818
TZ,Laborex,RHINATHIOL PROMETH SP 125ML   ,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM",323473
TZ,Laborex,RHINATHIOL AD 5% SP F/125ML   ,RHINATHIOL 6.25G/+ SYR BT,479530
TZ,Laborex,RHINATHIOL AD 5% S/S 10G200ML ,RHINATHIOL 6.25G/+ SYR BT,479530
TZ,Laborex,"RHINATHIOL ENF 2% 2,5G /125ML ",RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM,479387
UG,Eris,"Amaryl M 2mg/500mg Tabs, 30's",AMARYL M 2MG 30CP XE,307013
UG,Eris,"Clexane 40mg Inj, 2's",CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,655023
UG,Eris,"Clexane 60mg Inj, 2's",CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE,655024
UG,Eris,"Clexane 80mg Inj, 2's",CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE,655025
UG,Eris,Cordarone 200mg Tabs 30's,CORDARONE 200MG TAB BL3X10 S3 M36 XD,554523
UG,Eris,"Amaryl 4mg Tabs, 30's",AMARYL 4MG 30 TABS,645819
UG,Eris,"Epilim 200mg Tabs, 100's",EPILIM 200MG TABEC BL10X10 S2 M36 XE,502299
UG,Eris,"Epilim Chrono 500mg Tabs, 100's",EPILIM CHRONO 333-145MG TABCR BL10X10 XE,643216
UG,Eris,"Epilim Syrup 200mg/5ml, 300ml",EPILIM 12G/300ML SYR BTX1 S2 M36 XE,641849
UG,Eris,"Flagentyl 500mg Tabs, 4's",FLAGENTYL 500MG TABCO BL1X4 S3 XE,664051
UG,Eris,"Bioferon 305mg Caps, 30's",BIOFERON 305MG+ CAPEM BL3X10 M30 EX,475991
UG,Eris,"Lantus Solostar 100IU, 3ml 5PN",LANTUS SOLOSTAR 100IU/ML 3ML 5,615902
UG,Eris,"Maalox Plus 200mg Tabs, 4x10",MAALOX PLUS TABS EXPORT 10,436418
UG,Eris,"No Spa 40mg/2ml Inj, 5's",NOSPA 40MG/2ML INJ AM5 XD,289138
UG,Eris,"No Spa 40mg Tabs, 100's",NOSPA 40MG TAB BL10X10 XE,287552
UG,Eris,"Orelox 100mg Tabs, 10's",ORELOX 100MG B/10 COMPRIMES (MVI),298689
UG,Eris,"Orelox 40mg/5ml, 100mls",ORELOX 800MG/+ GRAN BTX1 SWI M24 XE,298691
UG,Eris,"Rhinathiol Chesty Cough Adult, 125ml",RHINATHIOL 6.25G/+ SYR BTX1 S3 XM,660727
UG,Eris,"Rhinathiol Chesty Cough Sugar Free Ad, 200ml",RHINATHIOL 10G/200ML SOL BTX1 XM,477825
UG,Eris,"Rhinathiol Chesty Infant, 125ml",RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM,479387
UG,Eris,"Xatral 10mg Tabs, 30's",XATRAL 10MG TABCR BL3X10 S3 M36 XD,633072
UG,Eris,"Fleming 228mg/5ml, 70ml",FLEMING 2.8G/70ML+ INJPO BTX1 M24 EX,476009
UG,Eris,"Fleming 625mg Tabs, 14's",FLEMING 500-125MG TABCO BL2X7 M24 EX,477015
UG,Laborex,CLEXANE 40MG INJ 2'S          ,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,655023
UG,Laborex,AMARYL TABS 1MG 30'S          ,AMARYL 1MG 30 TABS,645820
UG,Laborex,CLEXANE INJ  60MG 2'S         ,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE,655024
UG,Laborex,AMARYL TABS 2MG 30'S          ,AMARYL 2MG 30 TABS,645818
UG,Laborex,CLEXANE INJ 80MG 2'S          ,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE,655025
UG,Laborex,CORDARONE 200MG CP B/30       ,CORDARONE 200MG TAB BL3X10 S3 M36 XD,554523
UG,Laborex,EPILIM CHRONO TABS 500MG 100S ,EPILIM CHRONO 333-145MG TABCR BL10X10 XE,643216
UG,Laborex,EPILIM EC TABS 200MG 100'S    ,EPILIM 200MG TABEC BL10X10 S2 M36 XE,502299
UG,Laborex,EPILIM SYRUP 200MG/5ML 300ML  ,EPILIM 12G/300ML SYR BTX1 S2 M36 XE,641849
UG,Laborex,FLAGENTYL 500MG CP B/4        ,FLAGENTYL 500MG TABCO BL1X4 S3 XE,664051
UG,Laborex,LANTUS SOLOSTAR 100IU 3ML 5'S ,LANTUS SOLOSTAR 100IU/ML 3ML 5,615902
UG,Laborex,MAALOX PLUS SUSP 150ML        ,MAALOX PLUS SUSPENSION 150ML (EXPORT),506742
UG,Laborex,MAALOX SUSPENSION 150ML       ,MAALOX SUSPENSION 150ML (EXPORT),506704
UG,Laborex,NO SPA 40MG CP B/100          ,NOSPA 40MG TAB BL10X10 XE,287552
UG,Laborex,NO SPA 40MG CP B/20           ,NOSPA 40MG TAB BL2X10 XE,287550
UG,Laborex,NO SPA 40MG INJ 2ML B/25      ,NOSPA 40MG/2ML INJ AM25 XD,289137
UG,Laborex,NO SPA 40MG INJ 2ML B/5       ,NOSPA 40MG/2ML INJ AM5 XD,289138
UG,Laborex,ORELOX ENF 40MG/5ML SUS/100ML ,ORELOX 800MG/+ GRAN BTX1 SWI M24 XE,298691
UG,Laborex,ORELOX ENF 40MG/5ML SUSP/50ML ,ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE,298693
UG,Laborex,RHINATHIOL AD 5% SP F/125ML   ,RHINATHIOL 6.25G/+ SYR BTX1 S3 XM,660727
UG,Laborex,RHINATHIOL AD 5% S/S 10G200ML ,RHINATHIOL 10G/200ML SOL BTX1 XM,477825
UG,Laborex,"RHINATHIOL ENF 2% 2,5G /125ML ",RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM,479387
