MONTH,COUNTRY,DISTRIBUTOR,CUSTOMER,PRODUCT,QUANTITY_UNITS
1,UG,Surgipharm,,Amaryl M Tab 2mg 30's,12
1,UG,Surgipharm,,Amaryl Tabs 2mg x 30 (Glimepiride),20
1,UG,Surgipharm,,Amaryl Tabs 4mg x 30 (Glimepiride),16
1,UG,Surgipharm,,Bioferon Caps x 30 (Ferrous Fumerate/Folic Acid/Vit B12/Vit C/Zinc),12
1,UG,Surgipharm,,Clexane Inj 40mg x 2 (Enoxaparin),512
1,UG,Surgipharm,,Clexane Inj 60mg x 2 (Enoxaparin),123
1,UG,Surgipharm,,Clexane Inj 80mg x 2 (Enoxaparin),263
1,UG,Surgipharm,,Epilim Chrono Tabs 500mg x 100 (Sodium Valproate),164
1,UG,Surgipharm,,Epilim Syr 200mg/5ml x 300ml (Sodium Valproate),183
1,UG,Surgipharm,,Flagentyl Tabs 500mg x 4 (Secnidazole),365
1,UG,Surgipharm,,Fleming 1000mg Tab 2x7(Amox 875mg/clav125mg),103
1,UG,Surgipharm,,Fleming 457mg/5ml Susp.X70ml,90
1,UG,Surgipharm,,Fleming Susp 228/5ml x 70ml (Co-Amoxiclav),152
1,UG,Surgipharm,,Fleming Tabs 625mg x 14 (Co-Amoxiclav),95
1,UG,Surgipharm,,Lantus Solostar 100IU 3ml x 5s (Human Insulin),42
1,UG,Surgipharm,,No Spa Forte Tabs 80mg x 20 (Drotaverine HCl),16
1,UG,Surgipharm,,No Spa Inj 40mg/2ml x 25 (Drotaverine HCl),161
1,UG,Surgipharm,,Orelox Tabs 100mg x 10 (Cefpodoxime),30
1,UG,Surgipharm,,Rhinathiol Adult 5% x 125ml (Carbocisteine),384
1,UG,Surgipharm,,Rhinathiol Dry Cough Infant 0.06% x 125ml (Pholcodine),184
1,UG,Surgipharm,,Rhinathiol Sugar Free Adult 5% x 200ml (Carbocisteine),10
1,UG,Surgipharm,,Xatral LP Tabs 10mg x 30 (Alfuzosin),3
1,UG,Laborex,,AMARYL TABS 1MG 30'S          ,84
1,UG,Laborex,,AMARYL TABS 2MG 30'S          ,10
1,UG,Laborex,,AMARYL TABS 4MG 30'S          ,10
1,UG,Laborex,,CLEXANE 40MG INJ 2'S          ,125
1,UG,Laborex,,CLEXANE INJ  60MG 2'S         ,11
1,UG,Laborex,,CLEXANE INJ 80MG 2'S          ,28
1,UG,Laborex,,CORDARONE 200MG CP B/30       ,23
1,UG,Laborex,,EPILIM CHRONO TABS 500MG 100S ,51
1,UG,Laborex,,EPILIM EC TABS 200MG 100'S    ,195
1,UG,Laborex,,EPILIM SYRUP 200MG/5ML 300ML  ,80
1,UG,Laborex,,FLAGENTYL 500MG CP B/4        ,99
1,UG,Laborex,,LANTUS SOLOSTAR 100IU 3ML 5'S ,55
1,UG,Laborex,,NO SPA 40MG CP B/100          ,1175
1,UG,Laborex,,NO SPA 40MG INJ 2ML B/25      ,131
1,UG,Laborex,,NO SPA 40MG INJ 2ML B/5       ,1
1,UG,Laborex,,RHINATHIOL AD 5% SP F/125ML   ,358
1,UG,Laborex,,"RHINATHIOL ENF 2% 2,5G /125ML ",105
1,UG,Laborex,,XATRAL LP 10MG COMP B/30      ,5
1,UG,Eris,,"Clexane 40mg Inj, 2's",72
1,UG,Eris,,"Clexane 80mg Inj, 2's",34
1,UG,Eris,,"Epilim 200mg Tabs, 100's",8
1,UG,Eris,,"Epilim Chrono 500mg Tabs, 100's",11
1,UG,Eris,,"Epilim Syrup 200mg/5ml, 300ml",2
1,UG,Eris,,"Flagentyl 500mg Tabs, 4's",19
1,UG,Eris,,"Lantus Solostar 100IU, 3ml 5PN",2
