cluster,Country,French_desc,,Currency_code,Currency_name,rate
EAH,1,Mombasa ,Mombasa ,EURO,EURO,1
EAH,2,Kwale,Kwale,EURO,EURO,1
EAH,3,Kilifi,Kilifi,EURO,EURO,1
EAH,4,Tana River,Tana River,EURO,EURO,1
EAH,5,Lamu,Lamu,EURO,EURO,1
EAH,6,Taita–Taveta,Taita–Taveta,EURO,EURO,1
EAH,7,Garissa,Garissa,EURO,EURO,1
EAH,8,Wajir,Wajir,EURO,EURO,1
EAH,9,Mandera,Mandera,EURO,EURO,1
EAH,10,Marsabit,Marsabit,EURO,EURO,1
EAH,11,Isiolo,Isiolo,EURO,EURO,1
EAH,12,Meru,Meru,EURO,EURO,1
EAH,13,Tharaka-Nithi,Tharaka-Nithi,EURO,EURO,1
EAH,14,Embu,Embu,EURO,EURO,1
EAH,15,Kitui,Kitui,EURO,EURO,1
EAH,16,Machakos,Machakos,EURO,EURO,1
EAH,17,Makueni,Makueni,EURO,EURO,1
EAH,18,Nyandarua,Nyandarua,EURO,EURO,1
EAH,19,Nyeri,Nyeri,EURO,EURO,1
EAH,20,Kirinyaga,Kirinyaga,EURO,EURO,1
EAH,21,Murang'a,Murang'a,EURO,EURO,1
EAH,22,Kiambu,Kiambu,EURO,EURO,1
EAH,23,Turkana,Turkana,EURO,EURO,1
EAH,24,West Pokot,West Pokot,EURO,EURO,1
EAH,25,Samburu,Samburu,EURO,EURO,1
EAH,26,Trans-Nzoia,Trans-Nzoia,EURO,EURO,1
EAH,27,Uasin Gishu,Uasin Gishu,EURO,EURO,1
EAH,28,Elgeyo-Marakwet,Elgeyo-Marakwet,EURO,EURO,1
EAH,29,Nandi,Nandi,EURO,EURO,1
EAH,30,Baringo,Baringo,EURO,EURO,1
EAH,31,Laikipia,Laikipia,EURO,EURO,1
EAH,32,Nakuru,Nakuru,EURO,EURO,1
EAH,33,Narok,Narok,EURO,EURO,1
EAH,34,Kajiado,Kajiado,EURO,EURO,1
EAH,35,Kericho,Kericho,EURO,EURO,1
EAH,36,Bomet,Bomet,EURO,EURO,1
EAH,37,Kakamega,Kakamega,EURO,EURO,1
EAH,38,Vihiga,Vihiga,EURO,EURO,1
EAH,39,Bungoma,Bungoma,EURO,EURO,1
EAH,40,Busia,Busia,EURO,EURO,1
EAH,41,Siaya,Siaya,EURO,EURO,1
EAH,42,Kisumu,Kisumu,EURO,EURO,1
EAH,43,Homa Bay,Homa Bay,EURO,EURO,1
EAH,44,Migori,Migori,EURO,EURO,1
EAH,45,Kisii,Kisii,EURO,EURO,1
EAH,46,Nyamira,Nyamira,EURO,EURO,1
EAH,47,Nairobi (County),Nairobi (County),EURO,EURO,1
