country,distributor,distributor_product_name,sanofi_product_name,sanofi_gmid
KE,Laborex,ALL STAR PEN                  ,ALLSTAR MEDSU PEN1 XE,516219
KE,Laborex,AMARYL TABS 1MG 30'S          ,AMARYL 1MG TAB BL3X10 M36 ZA,645820
KE,Laborex,ALL STAR PEN                  ,ALLSTAR MEDSU PEN1 XE,516219
KE,Laborex,AMARYL TABS 2MG 30'S          ,AMARYL 2MG TAB BL3X10 M36 ZA,645818
KE,Laborex,AMARYL TABS 3MG 30'S          ,AMARYL 3MG TAB BL2X15 S3 XE,632896
KE,Laborex,AMARYL TABS 4MG 30'S          ,AMARYL 4MG TAB BL3X10 M36 ZA,645819
KE,Laborex,AMARYL M SR 2MG CP B/30       ,AMARYL MSR 2-500MG TABCO BL3X10 M24 XE,321233
KE,Laborex,AMARYL M 2MG CP B/30          ,AMARYL M 2MG 30CP  XE,307013
KE,Laborex,AMARYL 1MG TABS 10'S          ,Amaryl 1mg 10' Exp Ghana,494156
KE,Laborex,AMARYL M 2/500MG TABS 20'S    ,Amaryl M 2/500 20`Exp Ghana,475649
KE,Laborex,APIDRA SOLOSTAR 100IU/ML 3ML/5,APIDRA SOLOSTAR 300IU 5INJ XE,380567
KE,Laborex,APROVASC 150/10MG TABS 28'S   ,APROVASC 150-10MG TAB BL4X7 M36 XD,539185
KE,Laborex,APROVASC 300-10MG CP B/28     ,APROVASC 300-10MG TAB BL4X7 M36 XE,539181
KE,Laborex,APROVASC 150-5MG CP B/28      ,APROVASC 150-5MG TAB BL4X7 M36 XE,539183
KE,Laborex,APROVASC 300/10MG TABS 28'S ,APROVASC 300-10MG TAB BL4X7 M36 XE,539181
KE,Laborex,APROVASC 300-5MG CP B/28      ,APROVASC 300-5MG TAB BL4X7 M36 XE,539182
KE,Laborex,APROVEL 150MG RM CP B/28      ,APROVEL RM 150 MG 28 COMP  (MVI),196680
KE,Laborex,APROVEL 300MG RM CP B/28      ,APROVEL RM 300 MG 28 COMP (MVI),196681
KE,Laborex,APROVEL 150MG TABS 28'S,APROVEL RM 150 MG 28 COMP  (MVI),196680
KE,Laborex,APROVEL 300MG TABS 28'S,APROVEL RM 300 MG 28 COMP (MVI),196681
KE,Laborex,BRONCHICUM ELIXIR 100ML       ,BRONCHICUM 6.64G 1ELIX S3 XE,352016
KE,Laborex,CLEXANE INJ  20MG 2'S         ,"CLEXANE,2KIU/0.2ML,LJ,PS2,XE,SWI,M24",306220
KE,Laborex,CLEXANE 40MG INJ 2'S          ,"CLEXANE,4KIU/0.4ML,LJ,PS2,XE,SWI,M24",306222
KE,Laborex,CLEXANE INJ  60MG 2'S         ,"CLEXANE,6KIU/0.6ML,LJ,PS2,XE,SWI,M24",306225
KE,Laborex,CLEXANE INJ 80MG 2'S          ,"CLEXANE,8KIU/0.8ML,LJ,PS2,XE,SWI,M24",306226
KE,Laborex,"CO APROVEL 300/12,5MG RMCP/28 ","CO-APROVEL RM 300/12,5MG 28 comp (MVI)",247832
KE,Laborex,"CO APROVEL 150/12,5MG RMCP/28 ","CO-APROVEL RM 150/12,5MG 28 COMP (MVI)",247831
KE,Laborex,CORDARONE INJ 150MG 6AMPS     ,CORDARONE 150 MG / 3ML INJ 06 AMP,245298
KE,Laborex,CORDARONE 200MG CP B/30       ,CORDARONE 200MG CP B/30,554510
KE,Laborex,CORDARONE 200MG CP B/30       ,CORDARONE 200MG CP B/30,554510
KE,Laborex,DAONIL TABS 5MG 100'S         ,DAONIL 5MG 100CP SWI XE,141662
KE,Laborex,DULCOLAX TABS 5MG 30'S       .,Dulcolax Sucta / 30/5MG Bli Naf ,693896
KE,Laborex,DAONIL 5MG TABS 30'S          ,Daonil 5 mg tablets 30'Export Ghana,371243
KE,Laborex,ELOXATINE VIAL 100MG          ,"ELOXATINE,100MG/20ML,LJ,VL1,XE,S3,M24",407096
KE,Laborex,ELOXATINE VIAL 50MG           ,ELOXATIN 50MG/10ML INJ VL1 M24 XE,370351
KE,Laborex,ENTEROGERMINA 2M/5ML F/10     ,ENTEROGERMINA 2BCFU/5ML SUSP BT10 S3 XE,528888
KE,Laborex,EPILIM SYRUP 200MG/5ML 300ML  ,EPILIM 12G/300ML 1SYR M36 XE,641849
KE,Laborex,EPILIM EC TABS 200MG 100'S    ,EPILIM 200MG TABEC BL10X10 S3 M36 XE,502299
KE,Laborex,EPILIM EC TABS 200MG 100'S    ,EPILIM 200MG TABEC BL10X10 S3 M36 XE,502299
KE,Laborex,EPILIM IV 400MG PER VIAL      ,EPILIM 400MG/4ML INJPO VLSX1 S4 M60 XE,642931
KE,Laborex,EPILIM IV 400MG PER VIAL      ,EPILIM 400MG/4ML INJPO VLSX1 S4 M60 XE,642931
KE,Laborex,EPILIM IV 400MG PER VIAL      ,EPILIM 400MG/4ML INJPO VLSX1 S4 M60 XE,642931
KE,Laborex,EPILIM CHRONO TABS 500MG 100S ,EPILIM CHRONO 333-145MG TABCR BL10X10 XE,643216
KE,Laborex,EPILIM CHRONO TABS 500MG 100S ,EPILIM CHRONO 333-145MG TABCR BL10X10 XE,643216
KE,Laborex,EPILIM CHRONO 300MG X100'S    ,EPILIM CHRON 199.8-87MG TABCR BL10X10 XE,643215
KE,Laborex,EPILIM CHRONO 300MG X100'S    ,EPILIM CHRON 199.8-87MG TABCR BL10X10 XE,643215
KE,Laborex,EPILIM CHRONO 300MG X100'S    ,EPILIM CHRON 199.8-87MG TABCR BL10X10 XE,643215
KE,Laborex,ERCEFURYL 200MG GELU B/28     ,ERCEFURYL 200MG CAP BL2X14 S3 EX,592593
KE,Laborex,ERCEFURYL 200MG GELU B/28     ,ERCEFURYL 200MG CAP BL2X14 S3 EX,592593
KE,Laborex,ERCEFURYL SUSP BUV F/90ML     ,ERCEFURYL 4PCT 1FL 90ML  (EXPTOM),671538
KE,Laborex,ERCEFURYL SUSP BUV F/90ML     ,ERCEFURYL 4PCT 1FL 90ML  (EXPTOM),671538
KE,Laborex,FLAGENTYL 500MG CP B/4        ,FLAGENTYL 500MG TABCO BL4 S3 M49 XD,664051
KE,Laborex,FLAGENTYL TABS 500MG 4'S      ,FLAGENTYL 500MG TABCO BL4 S3 M49 XD,664051
KE,Laborex,FLAGYL INFUSION 100ML         ,FLAGYL 500MG/+ LIQ BT1 ZA,67294
KE,Laborex,FLAGYL TABS 400MG 100'S       ,FLAGYL 400MG TAB BT100 M24 ZA,645817
KE,Laborex,FLAGYL SUSP 200MG 100ML       ,FLAGYL 200MG/5ML SUSP BT1 M24 ZA,645815
KE,Laborex,IMOVANE TABS 7.5MG 30'S       ,IMOVANE 30 x 7.5MG,296593
KE,Laborex,LACTACYD LIQUID 120ML         ,LACTACYD 1.212G/+ LIQSO B,305478
KE,Laborex,LACTACYD LIQUID 200ML         ,LACTACYD 2.032G/+ LIQSO B,481580
KE,Laborex,LANTUS SOLOSTAR 100IU 3ML 5'S ,LANTUS 300IU/3ML INJ SOLO5 ICRA M36 XE,615902
KE,Laborex,LANTUS SOLOSTAR 100IU 3ML 5'S ,LANTUS 300IU/3ML INJ SOLO5 ICRA M36 XE,615902
KE,Laborex,LANTUS SOLOSTAR 100IU 3ML 5'S ,LANTUS 300IU/3ML INJ SOLO5 ICRA M36 XE,615902
KE,Laborex,LANTUS 1000UI VIAL 1'S        ,LANTUS 10ML VIAL,615926
KE,Laborex,LANTUS 1000UI VIAL 1'S        ,LANTUS 10ML VIAL,615926
KE,Laborex,LANTUS 300IU/3ML CART/5       ,LANTUS.300IU/3ML.INJ.CRT5.S3.M36.XE,241634
KE,Laborex,LASIX INJ 20MG/2ML AMP 5'S    ,LASIX 20MG 5INJ S3 XE,518946
KE,Laborex,LASIX TABS 40MG 20'S          ,LASIX 40MG 20CP SWI XE,505579
KE,Laborex,MAALOX PLUS SUSP 150ML        ,MAALOX 84G/+ SUSP BT1 XE,506739
KE,Laborex,MAALOX PLUS SUSP 150ML        ,MAALOX 84G/+ SUSP BT1 XE,506739
KE,Laborex,MAALOX PLUS SUSP 350ML        ,MAALOX PLUS SUSPENSION 350ML (EXPORT),507364
KE,Laborex,MAALOX PLUS SUSP 350ML        ,MAALOX PLUS SUSPENSION 350ML (EXPORT),507364
KE,Laborex,MAALOX PLUS 200MG TABS 40'S  .,MAALOX PLUS 200MG+ TABCW BL4X10 S3 XE,436418
KE,Laborex,MAALOX SUSPENSION 150ML       ,MAALOX SUSPENSION 150ML (EXPORT),506704
KE,Laborex,MAALOX SUSP 350ML             ,MAALOX SUSPENSION 350ML (EXPORT),506739
KE,Laborex,MONOTILDIEM SR 200MG TAB 28'S ,MONO-TILDIEM SR 200MG 28GEL VTE EX S3,213714
KE,Laborex,MONOTILDIEM SR TABS 300MG 28'S,MONO-TILDIEM 300MG CAP BL2X14 S3 M36 XE,213711
KE,Laborex,NO SPA 40MG CP B/100          ,NO - SPA 40MG TAB BL10X10 S3 XE,287552
KE,Laborex,NO SPA 40MG CP B/20           ,NO - SPA 40MG TAB BL2X10 S3 XE,287550
KE,Laborex,NO SPA 40MG INJ 2ML B/25      ,NO - SPA 40MG/2ML INJ AM25 EX,289137
KE,Laborex,NO SPA 40MG INJ 2ML B/5       ,NO-SPA 40MG/2ML INJ AM5 EX,289138
KE,Laborex,NO SPA 80MG CP B/20           ,NO - SPA 80MG TAB BL2X10 S3 XE,287553
KE,Laborex,NO SPALGIN 40MG/500MG 300X12'S,NO - SPA 40-500-8MG TAB BL1X12 S3 XE,287553
KE,Laborex,ORELOX 100MG CP B/10          ,ORELOX 100MG 10CP  XD,298689
KE,Laborex,ORELOX ENF 40MG/5ML SUS/100ML ,ORELOX 40 mg / 5 ml GRANULES,298691
KE,Laborex,ORELOX 80MG/PED 100ML40MG/5ML ,ORELOX 40 mg / 5 ml GRANULES,298691
KE,Laborex,ORELOX ENF 40MG/5ML SUSP/50ML ,ORELOX ENF/NOUR 400MG/50ML (MVI),298693
KE,Laborex,ORELOX 80MG/PED 100ML40MG/5ML,ORELOX 40 mg / 5 ml GRANULES,298691
KE,Laborex,ORELOX 200MG CP B/10          ,ORELOX 200MG 10CP XE,374872
KE,Laborex,PLAVIX 75MG CP B/28 AFR       ,PLAVIX 75MG CP PELL B28 (MVI),222428
KE,Laborex,PRIMPERAN TABLETS             ,PRIMPERAN 10MG/2ML INJ AM12 S3 M36 XD,476716
KE,Laborex,RHINATHIOL AD SYR 125ML      £,RHINATHIOL 6.25G/+ SYR BTX1 S3 M36 XE,479530
KE,Laborex,RHINATHIOL INF SYR 125ML,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM,479387
KE,Laborex,RHINATHIOL INF SYR 125ML,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM,479387
KE,Laborex,"RHINATHIOL ENF 2% 2,5G /125ML ",RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM,479387
