country,distributor,distributor_product_name,sanofi_product_name,sanofi_gmid
KE,Harleys,Aprovel 150mg tablets 28's,APROVEL 150MG TABCO BL2X14 RM M36 XE,196680
KE,Highchem,APROVEL 150mg TABS 28'S,APROVEL 150MG TABCO BL2X14 RM M36 XE,196680
KE,Surgipharm,APROVEL TABS 150mg * 28's,APROVEL 150MG TABCO BL2X14 RM M36 XE,196680
KE,Laborex,DAONIL TABS 5MG 100'S         ,DAONIL 5 MG 100 TABS (EXPORT),371243
KE,Surgipharm,DAONIL TABS 5mg * 100's,DAONIL 5 MG 100 TABS (EXPORT),371243
KE,Harleys,Daonil 5mg Tablets 100's,DAONIL 5 MG 100 TABS (EXPORT),371243
KE,Highchem,DAONIL 5.0mg TABS 100'S,DAONIL 5 MG 100 TABS (EXPORT),371243
KE,Harleys,Amaryl M SR 2mg/500mg tablets 30's,AMARYL M SR 2MG 30'S,321233
KE,Laborex,AMARYL M SR 2MG CP B/30       ,AMARYL M SR 2MG 30'S,321233
KE,Surgipharm,AMARYL M SR TABS 2-500mg * 30's,AMARYL M SR 2MG 30'S,321233
KE,Harleys,Tritace 5mg tablets 28's,TRITACE 5MG 28 TABS,627597
KE,Laborex,TRITACE 5MG TABS 28'S         ,TRITACE 5MG 28 TABS,627597
KE,Surgipharm,TRITACE TABS 5mg * 28's,TRITACE 5MG 28 TABS,627597
KE,Highchem,TRITACE 5.0mg TABS 30'S,TRITACE 5MG 28 TABS,627597
KE,Highchem,TRITACE 10.0mg TABS 30'S,TRITACE 10MG 30 CAPS,90099
KE,Harleys,Paraflam Tablets 10's,PARAFLAM 400-325MG TABCO BL1X10 M36 EX,476714
KE,Surgipharm,PHARMATON ProAGE CAPSULES 60'S,PHARMATON ProAGE CAPSULES 60'S ,660198
KE,Harleys,Maalox Stick Satchets 20's,Maalox 460mg/susp SC20 S3 M36 XE,292174
KE,Surgipharm,AS/AQ TABS 100/270MG*3*25'S(IP)CHIL,ASAQ 100MG TAB 25BLIX3 EX,373881
KE,Surgipharm,AS/AQ TABS 100/270MG*6*25'S(IP)AD,ASAQ 100MG TAB BL25X6 EX,338356
KE,Surgipharm,AS/AQ TABS 25/67.5MG*3*25'S(IP)INFA,ASAQ 25MG TAB 25BLIX3 EX,306725
KE,Harleys,Rhinathiol 2% Syrup 125ml - Paed,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM,479387
KE,Harleys,Rhinathiol 5% Syrup 125ml,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM,479387
KE,Harleys,Epilim Liquid 300ml,EPILIM 12G/300ML SYR BTX1,641849
KE,Harleys,Epilim Liquid 300ml -DDA,EPILIM 12G/300ML SYR BTX1,641849
