country,distributor,distributor_product_name,sanofi_product_name,sanofi_gmid
KE,Surgipharm,BUSCOPAN TABLETS BP 10MG * 50S,BUSCOPAN TABLETS BP 10mg * 50's,651969
KE,Surgipharm,FLAGYL TABS 400mg * 100's,FLAGYL 400MG 100 TABS,645817
KE,Surgipharm,MAALOX PLUS TABLETS 200MG * 40's,MAALOX PLUS TABS EXPORT 10,436418
KE,Surgipharm,XATRAL LP TABS 10mg * 30's,XATRAL 10MG TABCR BL3X10 S3 M36 XD,633072
KE,Surgipharm,AMARYL M TABS 2mg * 30's,AMARYL MIR 2-500MG TABCO BL3X10 XE,307013
KE,Surgipharm,AMARYL TABS 2mg * 30's,AMARYL 2MG 30 TABS,645818
KE,Surgipharm,AMARYL TABS 4mg * 30's,AMARYL 4MG 30 TABS,645819
KE,Surgipharm,BUSCOPAN AMPOULES 20mg/1ml * 5's,BUSCOPAN AMPOULES 20mg/1ml * 5's ,652574
KE,Surgipharm,CO APROVEL TABS 300mg * 28's,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD,514930
KE,Surgipharm,CORDARONE TABLETS 200mg * 30,CORDARONE 200MG TAB BL3X10 S3 M36 XD,554510
KE,Surgipharm,EPILIM EC TABLETS 200mg * 100,EPILIM 200MG TAB BL10X10,728129
KE,Surgipharm,EPILIM SYRUP 300ml,EPILIM 12G/300ML SYR BTX1,641849
KE,Surgipharm,ERCEFURYL CAPSULES 200mg * 28,ERCEFURYL 200MG CAP BL2X14,592593
KE,Surgipharm,ERCEFURYL SUSPENSION 90ml,ERCEFURYL 3.6G/90ML SOL BTX1 S2 EX,671538
KE,Surgipharm,FLAGENTYL TABS 500mg * 4,FLAGENTYL 500MG TABCO BL1X4 S3 XE,664051
KE,Surgipharm,FLAGYL SUSPENSION 100ml,FLAGYL SUSPENSION 100ML,645815
KE,Surgipharm,FLEMING INJ 1.2GM * 5'S,FLEMING 1G-200MG INJPO VL5 M24 EX,476963
KE,Surgipharm,FLEMING SUSP 228.5MG/5ML * 70ML,FLEMING 2.8MG/70ML PO BTX1 M24 EX,476009
KE,Surgipharm,FLEMING SUSP 457MG/5ML * 70ML,FLEMING 5.6G/70ML PO BTX1 M24 GH,477034
KE,Surgipharm,FLEMING TABS 1 G * 2*7'S,FLEMING 875-125MG TABCO BL2X7 M24 EX,476043
KE,Surgipharm,FLEMING TABS 625MG * 14'S,FLEMING 500-125MG TABCO BL2X7 M24 EX,477015
KE,Surgipharm,LANTUS 10ml VIAL,LANTUS VIAL 10MG 1,615926
KE,Surgipharm,LANTUS SOLOSTAR 3ML CARTRIDGE * 5'S,LANTUS SOLOSTAR 100IU/ML 3ML 5,615902
KE,Surgipharm,NO SPA TABLETS 40mg * 100's,NOSPA 40MG TAB BL10X10 S3,287552
KE,Surgipharm,ORELOX SUSP 40MG/5ML 100ML,ORELOX 800MG/+ GRAN BTX1,298691
KE,Surgipharm,ORELOX TABS 100MG *10'S,ORELOX 100MG TABCO BL1X10,298689
KE,Surgipharm,ORELOX TABS 200MG *10'S,ORELOX 200MG 10CP,374872
KE,Surgipharm,RHINATHIOL ADULT EXP 200M(SUGAR FR),RHINATHIOL 10G/200ML SOL BTX1 XM,477825
KE,Surgipharm,STILNOX TABS 10MG * 14,STILNOX 10MG TABCO BL1X14 S3 M48 XD,636825
KE,Surgipharm,TAVANIC TABS 500mg * 5,TAVANIC 500MG TABLETS 5's,310637
KE,Surgipharm,TRITACE TABS 5mg * 28's,TRITACE 5MG 28 TABS,627597
KE,Surgipharm,DULCOLAX TABLETS 5mg * 30's SugarC,DULCOLAX TABLETS 5mg * 30's SugarC,693896
KE,Surgipharm,EPILIM CHRONO TABS 300mg * 100,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE,643215
KE,Surgipharm,EPILIM CHRONO TABS 500mg * 100,EPILIM CHRONO 333-145MG T,643216
KE,Surgipharm,LASIX TABS 40mg * 20,LASIX 40MG TAB BL2X10 SWI M60 XE,505579
KE,Surgipharm,MONO-TILDIEM CAPS SR 200mg * 28's,MONO-TILDIEM 200MG CAP BL2X14 S3 M36 XD,670688
KE,Surgipharm,APROVASC TAB 150-5MG *28,APROVASC 150/5,539183
KE,Surgipharm,APROVASC TAB 300-10MG *28,APROVASC 300/10,539181
KE,Surgipharm,CO APROVEL TABS 150mg * 28's,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD,515056
KE,Surgipharm,APROVEL TABS 300mg * 28's,APROVEL 300MG TABCO BL2X14 RM M36 XE,196681
KE,Surgipharm,BISOLVON LINCTUS 200ML,BISOLVON LINCTUS 200ML ,654229
