country,DISTRIBUTOR,PRODUCT_Disti,Product_Sanofi,sanofi_gmid
KE,Harleys,Flagyl Viaflex 0.5mg injection- 100ml,FLAGYL 0.5% 100ML VIAFLEX (GFR),67294
KE,Laborex,FLAGYL INFUSION 100ML         ,FLAGYL 0.5% 100ML VIAFLEX (GFR),67294
KE,Surgipharm,FLAGYL INFUSION (VIAFLEX)100ml*1,FLAGYL 0.5% 100ML VIAFLEX (GFR),67294
KE,Harleys,Daonil 5mg Tablets 100's,DAONIL 5 MG 100 TABS (EXPORT),141662
KE,Highchem,DAONIL 5.0mg TABS 100'S,DAONIL 5 MG 100 TABS (EXPORT),141662
KE,Laborex,DAONIL TABS 5MG 100'S         ,DAONIL 5 MG 100 TABS (EXPORT),141662
KE,Surgipharm,DAONIL TABS 5mg * 100's,DAONIL 5 MG 100 TABS (EXPORT),141662
KE,Harleys,Aprovel 150mg tablets 28's,APROVEL 150MG TABCO BL2X14 RM M36 XE,196680
KE,Highchem,APROVEL 150mg TABS 28'S,APROVEL 150MG TABCO BL2X14 RM M36 XE,196680
KE,Laborex,APROVEL 150MG RM CP B/28      ,APROVEL 150MG TABCO BL2X14 RM M36 XE,196680
KE,Surgipharm,APROVEL TABS 150mg * 28's,APROVEL 150MG TABCO BL2X14 RM M36 XE,196680
KE,Harleys,Aprovel 300mg tablets 28's,APROVEL 300MG TABCO BL2X14 RM M36 XE,196681
KE,Highchem,APROVEL 300mg TABS 28'S,APROVEL 300MG TABCO BL2X14 RM M36 XE,196681
KE,Laborex,APROVEL 300MG RM CP B/28      ,APROVEL 300MG TABCO BL2X14 RM M36 XE,196681
KE,Surgipharm,APROVEL TABS 300mg * 28's,APROVEL 300MG TABCO BL2X14 RM M36 XE,196681
KE,Highchem,TRITAZIDE 5/25mg TABS 28'S,TRITAZIDE 5-25MG TAB BL2X14 S3 M36 XE,209742
KE,Harleys,Tritazide 5mg/25mg Tablets 28's,TRITAZIDE 5-25MG TAB BL2X14 S3 M36 XE,209742
KE,Laborex,TRITAZIDE 5-25MG CP B/28      ,TRITAZIDE 5-25MG TAB BL2X14 S3 M36 XE,209742
KE,Surgipharm,TRITAZIDE TABS 5/25MG * 28'S,TRITAZIDE 5-25MG TAB BL2X14 S3 M36 XE,209742
KE,Laborex,RIFINAH 150/75MG TABS 56'S    ,RIFINAH 150/75MG TABS 56'S    ,213847
KE,Harleys,Plavix 75mg Tablets 28's,PLAVIX 75MG TABCO BL2X14 M36 XE,222428
KE,Highchem,PLAVIX 75mg TABS 28'S,PLAVIX 75MG TABCO BL2X14 M36 XE,222428
KE,Laborex,PLAVIX 75MG CP B/28 AFR       ,PLAVIX 75MG TABCO BL2X14 M36 XE,222428
KE,Surgipharm,PLAVIX TABS 75mg * 28's,PLAVIX 75MG TABCO BL2X14 M36 XE,222428
KE,Harleys,Lantus 300iu /3ml inj  Cartridges  5'S - COLD CHAIN,LANTUS 300IU/3ML.INJ.CRT5.S3.M36.XE,241634
KE,Laborex,LANTUS 300IU/3ML CART/5       ,LANTUS 300IU/3ML.INJ.CRT5.S3.M36.XE,241634
KE,Surgipharm,LANTUS 3ml CARTRIDGE * 5's,LANTUS 300IU/3ML.INJ.CRT5.S3.M36.XE,241634
KE,Harleys,Coaprovel Tablets 150/12.5 mg 28's,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD,247831
KE,Highchem,CO-APROVEL TABS 150/12.5mg 28'S,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD,247831
KE,Laborex,"CO APROVEL 150/12,5MG RMCP/28 ",COAPROVEL RM 150-12.5MG TABCO BL2X14 XD,247831
KE,Surgipharm,CO APROVEL TABS 150mg * 28's,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD,247831
KE,Harleys,Coaprovel Tablets 300/12.5mg 28's,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD,247832
KE,Highchem,CO-APROVEL TABS 300/12.5mg 28'S,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD,247832
KE,Laborex,"CO APROVEL 300/12,5MG RMCP/28 ",COAPROVEL 300-12.5MG TABCO BL2X14 RM XD,247832
KE,Surgipharm,CO APROVEL TABS 300mg * 28's,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD,247832
KE,Harleys,Resonium Adult Powder 454gms,RESONIUM A 453.7G/+ POWD BTX1 M60 XE,258746
KE,Highchem,RESONIUM 454g ADULT POWDER,RESONIUM A 453.7G/+ POWD BTX1 M60 XE,258746
KE,Surgipharm,RESONIUM ADULT POWDER 454G,RESONIUM A 453.7G/+ POWD BTX1 M60 XE,258746
KE,Highchem,AMARYL TABS 3.0mg 30'S,AMARYL 3MG 30'S,261608
KE,Surgipharm,TARGOCID INJ 400mg * 1s,TARGOCID VIAL 200MG 2,263980
KE,Harleys,Targocid 200mg/vial inj,TARGOCID VIAL 200MG 2,263980
KE,Laborex,TARGOCID 200MG/3ML INJ /1     ,TARGOCID VIAL 200MG 2,263980
KE,Laborex,RIFAFOUR TABLETS 84'S         ,RIFAFOUR E-275 TABS 84,275807
KE,Highchem,TRITAZIDE 5/12.5mg TABS 28'S,TRITAZIDE 5-12.5MG TAB BL2X14 S3 M36 XD,282348
KE,Surgipharm,TRITAZIDE TABS 5/12.5MG * 28'S,TRITAZIDE 5-12.5MG TAB BL2X14 S3 M36 XD,282348
KE,Harleys,No-Spa Tablets 40mg 20's,NOSPA 40MG TAB BL2X10 XE,287550
KE,Highchem,NO SPA 40mg TABS 20'S,NOSPA 40MG TAB BL2X10 XE,287550
KE,Laborex,NO SPA 40MG CP B/20           ,NOSPA 40MG TAB BL2X10 XE,287550
KE,Surgipharm,NO SPA TABLETS 40mg * 20,NOSPA 40MG TAB BL2X10 XE,287550
KE,Harleys,NO-SPA Tablets 40mg 100's,NOSPA 40MG TAB BL10X10 S3,287552
KE,Harleys,No-Spa 40mg Tablets 100's,NOSPA 40MG TAB BL10X10 S3,287552
KE,Highchem,NO SPA 40mg TABS 100'S,NOSPA 40MG TAB BL10X10 S3,287552
KE,Laborex,NO SPA 40MG CP B/100          ,NOSPA 40MG TAB BL10X10 S3,287552
KE,Surgipharm,NO SPA TABLETS 40mg * 100's,NOSPA 40MG TAB BL10X10 S3,287552
KE,Harleys,No-Spa Forte 80mg Tablets 20's,NOSPA 80MG TAB BL2X10 S3,287553
KE,Highchem,NO SPA FORTE 80mg TABS 20'S,NOSPA 80MG TAB BL2X10 S3,287553
KE,Laborex,NO SPA 80MG CP B/20           ,NOSPA 80MG TAB BL2X10 S3,287553
KE,Surgipharm,NO SPA FORTE TABLETS 80MG * 20,NOSPA 80MG TAB BL2X10 S3,287553
KE,Harleys,No-Spa 40mg/2ml Injection 25's,NOSPA 40MG/2ML INJ AM25 XD,289137
KE,Highchem,NO SPA 40mg/2ml INJECTION 25'S,NOSPA 40MG/2ML INJ AM25 XD,289137
KE,Laborex,NO SPA 40MG INJ 2ML B/25      ,NOSPA 40MG/2ML INJ AM25 XD,289137
KE,Surgipharm,NO SPA INJECTION 40mg/2ml * 25Amps,NOSPA 40MG/2ML INJ AM25 XD,289137
KE,Highchem,NO SPA 40mg/2ml INJECTION 5'S,NOSPA 40MG/2ML INJ AM5 XD,289138
KE,Laborex,NO SPA 40MG INJ 2ML B/5       ,NOSPA 40MG/2ML INJ AM5 XD,289138
KE,Harleys,Maalox Stick Satchets 20's,Maalox 460mg/susp SC20 S3 M36 XE,292174
KE,Harleys,Maalox Stick Satchets 20's (Lemon),Maalox 460mg/susp SC20 S3 M36 XE,292174
KE,Highchem,MAALOX 460mg SATCHETS LEMON,Maalox 460mg/susp SC20 S3 M36 XE,292174
KE,Laborex,"MAALOX ME CIT SUSP4,3MLSAC/20 ",Maalox 460mg/susp SC20 S3 M36 XE,292174
KE,Surgipharm,MAALOX LEMON STICK 460mg/susp *20s,Maalox 460mg/susp SC20 S3 M36 XE,292174
KE,Harleys,Orelox 100mg tablets 10's,ORELOX 100MG TABCO BL1X10,298689
KE,Highchem,ORELOX 100mg TABS 10'S,ORELOX 100MG TABCO BL1X10,298689
