country,distributor_id,distributor,distributor_product_name,sanofi_product_name,sanofi_gmid
BF,740,MEX P/C DPBF,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
BF,741,LABOREX BURKINA,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
BF,742,TEDIS BURKINA,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
BF,743,UBIPHARM BURKINA,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
CG,744,LABOREX CONGO,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
CG,745,LABOREX CONGO,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
CG,746,SEP - BRAZZAVILLE,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
CG,747,SEP - POINTE NOIRE,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
CG,748,UBIPHARM CONGO,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
CG,749,UBIPHARM CONGO,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
ET,750,BEKER GENERAL BUSINESS PLC,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
ET,751,DEJEN G/MESKEL BERHE,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
ET,752,DUGDA AGRO INDUSTRY P.L.C,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
ET,753,EQUATORIAL BUSINESS GROUP PLC,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
GH,754,EAST CANTONMENTS PHARMACY,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
GH,755,ERNEST CHEMISTS LTD,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
GH,756,GOKALS LABOREX LIMITED,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
GH,757,OSONS CHEMIST LTD,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
GH,758,REISS & CO (GHANA) LTD,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
GH,759,UNICHEM GH. LTD,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
GH,760,WORLDWIDE HEALTHCARE LTD,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
GN,761,LABOREX GUINEE,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
GN,762,SOGUIMAP,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
GN,763,SODIPHARM,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
KE,764,HARLEYS LIMITED,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
KE,765,HIGHCHEM MARKETING LTD,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
KE,766,LABOREX KENYA,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
KE,767,SURGIPHARM LIMITED,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MG,768,,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MG,769,,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MG,770,INTERPHARMA SARL,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MG,771,UBIPHARM MADAGASCAR SA,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MG,772,,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MG,773,OPHAM,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MG,774,SOMAPHAR,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MG,775,SOPHARMAD,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
ML,776,AFRICA LAB,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
ML,777,,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
ML,778,COPHARMA-UBIPHARM,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
ML,779,LABOREX MALI,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MR,780,CAMEC,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MR,781,,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MR,782,CHIVA - MEDICA,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MR,783,EL EMEL PHARMA SA,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MR,784,LABOREX MAURITANIE,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MR,785,MAURIPHARM,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MR,786,ORIGINE PHARMA,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MR,787,SOMAPHAR MR,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MU,788,ANICHEM PHARMACY,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MU,789,ANICHEM PHARMACY,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MU,790,UNICORN (MSJ LTD),TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MU,791,PHARMACIE  NOUVELLE LTD,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
NE,792,LABOREX NIGER,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
NE,793,,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
NE,794,UBIPHARM NIGER SA,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
TD,795,SOCIETE BALM - TCHAD S.A/AG,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
TD,796,LABOREX TCHAD,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
TD,797,,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
TD,798,,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
TG,799,,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
TG,800,,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
TG,801,,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
TG,802,,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
TG,803,,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
TZ,804,,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
TZ,805,J.D. PHARMACY LTD,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
TZ,806,LABOREX TANZANIE,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
UG,807,ERIS LTD,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
UG,808,,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
UG,809,,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
UG,810,SURGIPHARM UGANDA LTD,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
BF,811,UBIPHARM BURKINA,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
BF,812,TEDIS  BURKINA        CL,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
BI,813,CHIMIO,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
BI,814,ALCHEM INDUSTRIES,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
BI,815,IBIS PHARMA / BURUNDI         CL,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
BI,816,MULTIPHAR (PHARMACIE DE GROS),TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
BJ,817,GAPOB,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
BJ,818,U.B. PHAR S.A.,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
BJ,819,PROMO PHARMA,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
CD,820,PHARMACIE DE LA NOBLESSE,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
CD,821,AUXI-EXPORT / RDC        CL,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
CD,822,DEPOT PHARMACEUTIQUE EXTRA PLUS,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
CD,823,CONCORD CONGO,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
CD,824,COGEZAF / RDC        CL,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
CD,825,IBIS PHARMA / RDC           CL,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
CD,826,DEPOT PHARMACEUTIQUE SAINT SAUVEUR,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
GN,827,SOGUIMED-UBIPHARM GUINEE,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
GN,828,NAP PHARMA  sarl,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
GN,829,PROCHIPHAR / GUINEE      CL,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
GN,830,TEDIS/ GUINEE       CL,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
GN,831,KALOUM PHARMA SARL,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
GN,832,AMIALSAR  SARL,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
GN,833,FEELA PHARMA,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
GN,834,PHARMA GROUPE INTERNATIONAL PGI,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MG,835,SOMAPHAR PLATEFORME,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MG,836,DICOPROPHAGI SARL,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
ML,837,TEDIS / POUR CAMED MALI,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MR,838,G.C. PHARMA,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MR,839,EL WATANIYA PHARMA SARL,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MR,840,ESSALAMA PHARMA,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MR,841,GKDIS PHARMA,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MR,842,W PHARMA,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MR,843,BARAKATT MEDICAL,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MR,844,RAHMA PHARMA SA,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MR,845,SNIM,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MR,846,ESSIHA AVIA PHARMA,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
MR,847,MAURIMED SA,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
TD,848,GROUPE AL RAHAMA MEDICAL (GAM PHARMA),TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
TG,849,TEDIS PHARMA TOGO,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
TG,850,UNIPHART,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
TG,851,COMPAGNIE PHARMACEUTIQUE AFRICAINE,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
TG,852,UBIPHARM TOGO SA,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
UG,853,HML OUGANDA,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
CG,854,IBIS PHARMA CONGO CL,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
CF,855,CENTRAPHARM,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
CI,856,TEDIS COTE D'IVOIRE,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
CI,857,LABOREX ABIDJAN,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
CI,858,MEX P/C DPCI RCI,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
CI,859,LABOREX ABIDJAN YOPOUGON,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
CI,860,COPHARMED,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
CI,861,NOUVELLE PHARMACIE DE LA SANTE PUBLIQUE,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
CM,862,SIAP PHARMA,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
DJ,863,PHARMACIE NOUVELLE,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
DJ,864,PHIE DE LA CORNE D'AFRIQUE,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
DJ,865,PHARMACIE DE LA NATION,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
DJ,866,PHARMACIE DE L'OCEAN INDIEN,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
DJ,867,PHARMACIE DE DJIBOUTI,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
GA,868,UBIPHARM GABON SA,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
GA,869,GDE PHIE DES FORESTIERS,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
GA,870,PHARMAGABON,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
KM,871,PHARMACIE ANJOUANAISE,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
KM,872,PHIE TRALENI-GOBADJOU,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
KM,873,PHARMACIE DES COMORES,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
KM,874,PHARMACIE DE LA CORNICHE,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
RW,875,MULTIPHAR RWANDA LTD,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
RW,876,SUN ENTERPRISES SARL,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
RW,877,KIPHARMA sarl,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
SN,878,DUOPHARM,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
SN,879,MEX P/C SODIPHARM,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
SN,880,COPHASE-UBIPHARM SENEGAL,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
SN,881,LABOREX SENEGAL,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
ZM,882,YASH PHARMACEUTICALS LTD,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
DJ,883,PHARMACIE INDEPENDANCE,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
KM,884,PHARMACIE DES ECOLES,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
KM,885,PHARMACIE ESPERANCE,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
RW,886,DISTRIPHAR / RWANDA           CL,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
RW,887,ABACUS PHARMA (A) LTD.,TTT,DOLIPRANE 500MG TAB BL2X8 M36 XD,650737
