country,distributor,distributor_product_name,sanofi_product_name,sanofi_gmid
KE,Harleys,Rhinathiol Infant 2% Syrup 125ml - Paed,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM,479387
KE,Harleys,Rhinathiol Adult 5% Syrup 125ml,RHINATHIOL 6.25G/+ SYR BT,479530
KE,Harleys,Epilim Chrono 500mg Tablets 100's - DDA,EPILIM CHRONO 333-145MG T,643216
KE,Harleys,Epilim Liquid 300ml -DDA,EPILIM 12G/300ML SYR BTX1,641849
KE,Harleys,Epilim Liquid 300ml -DDA,EPILIM 12G/300ML SYR BTX1,641849
KE,Highchem,EPILIM 300ml SYRUP,EPILIM 12G/300ML SYR BTX1,641849
KE,Highchem,AMARYL M 2mg/500mg 30'S,AMARYL MIR 2-500MG TABCO BL3X10 XE,307013
KE,Highchem,FLEMING 228.5mg/5ml 70ml SUSPE..,FLEMING 2.8MG/70ML PO BTX1 M24 EX,476009
KE,Highchem,LANTUS SOLOSTAR 3ml 5'S,LANTUS SOLOSTAR 100IU/ML 3ML 5,615902
KE,Highchem,ORELOX 200mg TABS 10'S,ORELOX 200MG 10CP,374872
KE,Highchem,TAVANIC 500mg TABS 5'S,TAVANIC 500MG TABLETS 5's,310637
KE,Highchem,TRITAZIDE 5/25mg TABS 28'S,TRITAZIDE 5-25MG TAB BL2X14 S3 M36 XE,209742
KE,Laborex,AMARYL M 2MG CP B/30 ,AMARYL MIR 2-500MG TABCO BL3X10 XE,307013
KE,Laborex,AMARYL TABS 2MG 30'S ,AMARYL 2MG 30 TABS,645818
KE,Laborex,AMARYL TABS 1MG 30'S ,AMARYL 1MG 30 TABS,645820
KE,Laborex,AMARYL TABS 4MG 30'S ,AMARYL 4MG 30 TABS,645819
KE,Laborex,APROVASC 300-5MG CP B/28 ,APROVASC 300/5,539182
KE,Laborex,BRONCHICUM ELIXIR 100ML ,BRONCHICUM 6.64G/+ ELIX BTX1 XE,352016
KE,Laborex,CLEXANE INJ 80MG 2'S ,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE,655025
KE,Laborex,CORDARONE 200MG CP B/30 ,CORDARONE 200MG TAB BL3X10 S3 M36 XD,554510
KE,Laborex,ENTEROGERMINA 2M/5ML F/10 ,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE,618677
KE,Laborex,EPILIM EC TABS 200MG 100'S ,EPILIM 200MG TAB BL10X10,728129
KE,Laborex,FLAGENTYL 500MG CP B/4 ,FLAGENTYL 500MG TABCO BL1X4 S3 XE,664051
KE,Laborex,FLAGYL SUSP 200MG 100ML ,FLAGYL SUSPENSION 100ML,645815
KE,Laborex,FLAGYL TABS 400MG 100'S ,FLAGYL 400MG 100 TABS,645817
KE,Laborex,LANTUS SOLOSTAR 100IU 3ML 5'S ,LANTUS SOLOSTAR 100IU/ML 3ML 5,615902
KE,Laborex,LASIX INJ 20MG/2ML AMP 5'S ,LASIX 20MG/2ML INJ AM5 S3 M60 XE,518946
KE,Laborex,LASIX TABS 40MG 20'S ,LASIX 40MG TAB BL2X10 SWI M60 XE,505579
KE,Laborex,MAALOX SUSP 350ML ,MAALOX SUSPENSION 350ML (EXPORT),506739
KE,Laborex,ORELOX ENF 40MG/5ML SUS/100ML ,ORELOX 800MG/+ GRAN BTX1,298691
KE,Laborex,STILNOX TABLETS 10MG 14'S ,STILNOX 10MG TABCO BL1X14 S3 M48 XD,636825
KE,Laborex,AMARYL M 2MG CP B/30 ,AMARYL MIR 2-500MG TABCO BL3X10 XE,307013
KE,Laborex,AMARYL TABS 1MG 30'S ,AMARYL 1MG 30 TABS,645820
KE,Laborex,AMARYL TABS 2MG 30'S ,AMARYL 2MG 30 TABS,645818
KE,Laborex,APROVASC 150-5MG CP B/28 ,APROVASC 150/5,539183
KE,Laborex,CLEXANE INJ 80MG 2'S ,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE,655025
KE,Laborex,ENTEROGERMINA 2M/5ML F/10 ,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE,618677
KE,Laborex,EPILIM CHRONO TABS 500MG 100S ,EPILIM CHRONO 333-145MG T,643216
KE,Laborex,EPILIM EC TABS 200MG 100'S ,EPILIM 200MG TAB BL10X10,728129
KE,Laborex,EPILIM SYRUP 200MG/5ML 300ML ,EPILIM 12G/300ML SYR BTX1,641849
KE,Laborex,ERCEFURYL 200MG GELU B/28 ,ERCEFURYL 200MG CAP BL2X14,592593
KE,Laborex,FLAGYL TABS 400MG 100'S ,FLAGYL 400MG 100 TABS,645817
KE,Laborex,LANTUS SOLOSTAR 100IU 3ML 5'S ,LANTUS SOLOSTAR 100IU/ML 3ML 5,615902
KE,Laborex,MAALOX SUSP 350ML ,MAALOX SUSPENSION 350ML (EXPORT),506739
KE,Laborex,"MUCOSOLVAN 1,5G/100ML SIR .",MUCOSOLVAN LIQUID 15mg/5ml * 100ml ,651777
KE,Laborex,ORELOX ENF 40MG/5ML SUSP/50ML ,ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE,298693
KE,Laborex,RHINATHIOL AD 5% SP F/125ML ,RHINATHIOL 6.25G/+ SYR BT,479530
KE,Laborex,"RHINATHIOL ENF 2% 2,5G /125ML ",RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM,479387
KE,Laborex,RHINATHIOL PROMETH SP 125ML ,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM",323473
KE,Laborex,TRITACE 5MG TABS 28'S ,TRITACE 5MG 28 TABS,627597
KE,Surgipharm,TARGOCID INJ 400mg * 1s,TARGOCID VIAL 200MG 2,263980
KE,Surgipharm,FLEMING TABS 1 G * 2*7'S,FLEMING 875-125MG TABCO BL2X7 M24 EX,476043
KE,Surgipharm,TARGOCID INJ 400mg * 1s,TARGOCID VIAL 200MG 2,263980
KE,Surgipharm,TARGOCID INJ 400mg * 1s,TARGOCID IV 400,306632
KE,Surgipharm,TARGOCID INJ 400mg * 1s,TARGOCID IV 400,306632
KE,Surgipharm,TARGOCID INJ 400mg * 1s,TARGOCID VIAL 200MG 2,263980
KE,Harleys,Buscopan plus tablets 50's,BUSCOPAN PLUS TABLETS * 50's,653030
KE,Harleys,Enterogermina Oral Suspension 10 x 5ml,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE,618677
KE,Harleys,Maalox plus 200mg (4x10),MAALOX PLUS TABS EXPORT 10,436418
KE,Harleys,Maalox Stick Satchets 20's,Maalox 460mg/susp SC20 S3 M36 XE,292174
KE,Harleys,Maalox Stick Satchets 20's (Lemon),Maalox 460mg/susp SC20 S3 M36 XE,292174
KE,Harleys,Maalox Suspension 350ml,MAALOX SUSPENSION 350ML (EXPORT),506739
KE,Harleys,Mucosolvan liquid 15mg/5ml 100ml,MUCOSOLVAN LIQUID 15mg/5ml * 100ml ,651777
KE,Harleys,Rhinathiol Adult 5% Syrup 125ml,RHINATHIOL 6.25G/+ SYR BT,479530
KE,Harleys,Rhinathiol Infant 2% Syrup 125ml - Paed,RHINATHIOL 2.5G/125ML SYR BTX1 SAF XM,479387
KE,Harleys,Rhinathiol Promethazine Syrup 125ml,"RHINATHIOL PROMETHAZ 2,5G/+ SYR BTX1 XM",323473
KE,Harleys,Epilim Chrono 500mg Tablets 100's - DDA,EPILIM CHRONO 333-145MG T,643216
KE,Harleys,Amaryl M 2mg/500mgtablets 30's,AMARYL MIR 2-500MG TABCO BL3X10 XE,307013
KE,Harleys,Aprovasc 150mg/5mg tablets 28's,APROVASC 150/5,539183
KE,Harleys,Aprovasc 300mg/5mg tablets 28's,APROVASC 300/5,539182
KE,Harleys,Aprovel 150mg tablets 28's,APROVEL 150MG TABCO BL2X14 RM M36 XE,196680
KE,Harleys,Aprovel 300mg tablets 28's,APROVEL 300MG TABCO BL2X14 RM M36 XE,196681
KE,Harleys,Bronchicum Elixir S 100ml,BRONCHICUM 6.64G/+ ELIX BTX1 XE,352016
KE,Harleys,Buscopan injection 20mg/ml - 5s,BUSCOPAN AMPOULES 20mg/1ml * 5's ,652574
KE,Harleys,Clexane 40mg inj 2's,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,655023
KE,Harleys,Coaprovel Tablets 150/12.5 mg 28's,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD,247831
KE,Harleys,Cordarone Tablets 200mg 30's,CORDARONE 200MG TAB BL3X10 S3 M36 XD,554510
KE,Harleys,Epilim Chrono 500mg Tablets 100's - DDA,EPILIM CHRONO 333-145MG T,643216
KE,Harleys,Epilim EC 200mg tablets 100's - DDA,EPILIM 200MG TAB BL10X10,728129
