Country,Distributor,Distributor Naming,Sanofi Naming,sanofi_gmid
KE,Harleys,Alfuzocin Citrate tabs 10mg(10tabs),XATRAL 10MG TABCR BL3X10 S3 M36 XD,545747
KE,Harleys,Alfuzocin hcl 10mg,XATRAL 10MG TABCR BL3X10 S3 M36 XD,545747
KE,Harleys,Alfuzocin HCL 10MG ,XATRAL 10MG TABCR BL3X10 S3 M36 XD,545747
KE,Harleys,Alfuzocin Hcl 10mg (30)tabs,XATRAL 10MG TABCR BL3X10 S3 M36 XD,545747
KE,Harleys,Alfuzocin Tablets 10mg 30's,XATRAL 10MG TABCR BL3X10 S3 M36 XD,545747
KE,Harleys,Alfuzosine 10mg Tablets 10mg 30's,XATRAL 10MG TABCR BL3X10 S3 M36 XD,545747
KE,Harleys,Amaryl M 2mg/500mgtablets 30's,AMARYL MIR 2-500MG TABCO BL3X10 XE,307013
KE,Harleys,Amaryl Tablets 1mg  30's,AMARYL 1MG 30 TABS,645820
KE,Harleys,Amaryl Tablets 2mg  30's,AMARYL 2MG 30 TABS,645818
KE,Harleys,Amaryl Tablets 2mg  30's,AMARYL 2MG 30 TABS,645818
KE,Harleys,Amaryl Tablets 4mg  30's,AMARYL 4MG 30 TABS,645819
KE,Harleys,Amiodarone Tablets 200mg 30's,CORDARONE 200MG TAB BL3X10 S3 M36 XD,554510
KE,Harleys,Aprovasc 300mg/5mg tablets 28's,APROVASC 300/5,539182
KE,Harleys,Aprovel 150mg tablets 28's,APROVEL 150MG TABCO BL2X14 RM M36 XE,196680
KE,Harleys,Aprovel 300mg tablets 28's,APROVEL 300MG TABCO BL2X14 RM M36 XE,196681
KE,Harleys,Axacef 250mg Tablets 10's,AXACEF 250MG TABCO BL1X10 M36 GH,475987
KE,Harleys,Axacef 500mg Tablets 10's,AXACEF 500MG TABCO BL1X10 M36 KE,475988
KE,Harleys,Bioferon Capsules 30's,BIOFERON 305MG CAP 3X10,475991
KE,Harleys,Cefpodoxime 100mg,ORELOX 100MG TABCO BL1X10,298689
KE,Harleys,Cefpodoxime 40mg/5ml 100ml,ORELOX 800MG/+ GRAN BTX1,298691
KE,Harleys,Cefpodoxime 40mg/5mls syrup,ORELOX 800MG/+ GRAN BTX1,298691
KE,Harleys,Cefpodoxime tabs 100mg,ORELOX 100MG TABCO BL1X10,298689
KE,Harleys,Clexane 40mg inj 2's,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,306222
KE,Harleys,Clexane 80mg injection 2's,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE,306226
KE,Harleys,Co-aprovel 150,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD,247831
KE,Harleys,Co-aprovel 150/12.5 mg,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD,247831
KE,Harleys,Coaprovel Tablets 150/12.5 mg 28's,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD,247831
KE,Harleys,Coaprovel Tablets 300/12.5mg 28's,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD,247832
KE,Harleys,Cordarone Tablets 200mg 30's,CORDARONE 200MG TAB BL3X10 S3 M36 XD,554510
KE,Harleys,Diltiazem 200mg Capsules 28's,MONO-TILDIEM 200MG CAP BL2X14 S3 M36 XD,213714
KE,Harleys,Enterogermina Oral Suspension 10 x 5ml,ENTEROGERMINA 2BCFU/5ML SUSP BTX10 S3 XE,528888
KE,Harleys,Epilim Chrono 300mg  Tablets 100's - DDA,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE,643215
KE,Harleys,Epilim Chrono 500mg  Tablets 100's - DDA,EPILIM CHRONO 333-145MG T,643216
KE,Harleys,Epilim EC 200mg tablets 100's - DDA,EPILIM 200MG TAB BL10X10,502299
KE,Harleys,Epilim Liquid 300ml,EPILIM 12G/300ML SYR BTX1,641849
KE,Harleys,Epilim Liquid 300ml -DDA,EPILIM 12G/300ML SYR BTX1,641849
KE,Harleys,Flagentyl  500mg Tablets 4's,FLAGENTYL 500MG TABCO BL1X4 S3 XE,664051
KE,Harleys,Fleming 1.2g Dry Powder For Injection 5's,FLEMING 1G-200MG INJPO VL5 M24 EX,476963
KE,Harleys,Fleming 1gm Tablets 14's,FLEMING 875-125MG TABCO BL2X7 M24 EX,476043
KE,Harleys,Fleming 228.5mg/5ml Dry Powder For Suspension 70ml,FLEMING 2.8MG/70ML PO BTX1 M24 EX,476009
KE,Harleys,Fleming 228.5mg/5ml Dry Powder For Suspension 70ml,FLEMING 2.8MG/70ML PO BTX1 M24 EX,476009
KE,Harleys,Fleming 457mg/5ml Dry Powder For Suspension 70ml,FLEMING 5.6G/70ML PO BTX1 M24 GH,477034
KE,Harleys,Fleming 457mg/5ml Dry Powder For Suspension 70ml,FLEMING 5.6G/70ML+ INJPO BTX1 M24 GH,477034
KE,Harleys,Fleming 457mg/5ml Dry Powder For Suspension 70ml,FLEMING 5.6G/70ML PO BTX1 M24 GH,476182
KE,Harleys,Frusemide 40mg,LASIX 40MG TAB BL2X10 SWI M60 XE,505579
KE,Harleys,Ibersartan 150mg+Hydrochlorothiazide 12.5mg(28tabs),COAPROVEL RM 150-12.5MG TABCO BL2X14 XD,247831
KE,Harleys,Ibersartan/Hydrochlorothiazide 150/12.5 mg 28's,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD,247831
KE,Harleys,Ibersartan/Hydrochlorothiazide 28's,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD,247831
KE,Harleys,Ibersatan 300+Hydrochlorothiazide,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD,247832
KE,Harleys,Ibex Capsule 2 x 12's,IBEX 200MG+ CAPEM BL2X12 M36 EX,476933
KE,Harleys,Iron + Folic Acid Capsule 30s,BIOFERON 305MG CAP 3X10,475991
KE,Harleys,Iron Supplement Capsules 30's,BIOFERON 305MG CAP 3X10,475991
KE,Harleys,Lasix Injection 20mg 5 x 2ml AMP,LASIX 20MG/2ML INJ AM5 S3 M60 XE,518946
KE,Harleys,Mucosolvan liquid 15mg/5ml 100ml,MUCOSOLVAN LIQUID 15mg/5ml * 100ml ,651777
KE,Harleys,Orelox 100mg tablets 10's,ORELOX 100MG TABCO BL1X10,298689
KE,Harleys,Orelox 200mg Tablets 10's,ORELOX 200MG 10CP,374872
KE,Harleys,Orelox 40mg/5ml suspension 100ml ,ORELOX 800MG/+ GRAN BTX1,298691
KE,Harleys,Paracetamol + Ibuprufen + Caffeine  Capsule 2 x 12's,IBEX 200MG+ CAPEM BL2X12 M36 EX,476933
KE,Harleys,Paracetamol Ibuprofen Caffeine 24s,IBEX 200MG+ CAPEM BL2X12 M36 EX,476933
KE,Harleys,Plavix 75mg Tablets 28's,PLAVIX 75MG TABCO BL2X14 M36 XE,222428
KE,Harleys,Resonium Adult Powder 454gms,RESONIUM A 453.7G/+ POWD BTX1 M60 XE,258746
KE,Harleys,S Valproate 500mg  Tablets 100's - DDA,EPILIM CHRONO 333-145MG T,643216
KE,Harleys,Sodium Valporate Contolled Release Tablets 500mg 100's - DDA,EPILIM CHRONO 333-145MG T,643216
KE,Harleys,Sodium Valporate Contolled Release Tablets 500mg Tablets 100's - DDA,EPILIM CHRONO 333-145MG T,643216
KE,Harleys,Sodium Valporate Liquid 300ml,EPILIM 12G/300ML SYR BTX1,641849
KE,Harleys,Sodium Valproate  300mg  Tablets 100's,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE,643215
KE,Harleys,Sodium Valproate (valproic acid) oral solution 200mg/5ml,EPILIM 12G/300ML SYR BTX1,641849
KE,Harleys,Sodium Valproate 200mg Slow Release,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE,643215
KE,Harleys,Sodium Valproate 200mg tablets 100's - DDA,EPILIM 200MG TAB BL10X10,502299
KE,Harleys,Sodium Valproate 300mg  Tablets 100's,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE,643215
KE,Harleys,Sodium Valproate 300mg Slow Release(100tabs),EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE,643215
KE,Harleys,Sodium Valproate 300mg SR Tabs,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE,643215
KE,Harleys,Sodium valproate 300ml,EPILIM 12G/300ML SYR BTX1,641849
KE,Harleys,Sodium Valproate 500mg Slow Release ,EPILIM CHRONO 333-145MG T,643216
KE,Harleys,"Sodium Valproate 500mg slow release(100,s)",EPILIM CHRONO 333-145MG T,643216
KE,Harleys,Sodium Valproate 500mg SR,EPILIM CHRONO 333-145MG T,643216
KE,Harleys,Sodium Valproate Chrono 300mg  Tablets 100's,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE,643215
KE,Harleys,Sodium Valproate Chrono 500mg  Tablets 100's - DDA,EPILIM CHRONO 333-145MG T,643216
KE,Harleys,Sodium valproate Liquid 300ml,EPILIM 12G/300ML SYR BTX1,641849
KE,Harleys,Sodium Valproate(Valproic acid) 200mg/5ml,EPILIM 12G/300ML SYR BTX1,641849
KE,Harleys,Sodium Valproate(Valproic acid) oral solution (syrup) 200mg/5ml,EPILIM 12G/300ML SYR BTX1,641849
KE,Harleys,Stilnox10mg Tablet's 14's - DDA ,STILNOX 10MG TABCO BL1X14 S3 M48 XD,636825
KE,Harleys,Tavanic Tablets 500mg 5's,TAVANIC 500MG TABLETS 5's,310637
KE,Harleys,TAXOTERE 80mg NSL 1+1 EXP,TAXOTERE 80mg NSL 1+1 EXP,414074
KE,Harleys,Xatral 10mg,XATRAL 10MG TABCR BL3X10 S3 M36 XD,545747
