sanofi_gmid,marco_gmid,bu,franchise,name,family,brand
196680,196680,GEM,GEM,APROVEL 150MG TABCO BL2X14 RM M36 XE,APROVEL,Promoted
196681,196681,GEM,GEM,APROVEL 300MG TABCO BL2X14 RM M36 XE,APROVEL,Promoted
209742,209742,GEM,GEM,TRITAZIDE 5-25MG TAB BL2X14 S3 M36 XE,TRITACE,Promoted
213711,213711,GEM,GEM,MONO-TILDIEM 300MG CAP BL2X14 S3 M36 XE,TILDIEM,Non-Promoted
213847,213847,GEM,GEM,RIFINAH 150/75MG TABS 56'S,RIFAMPICIN,Non-Promoted
213860,213860,GEM,GEM,ASAQ 25MG TAB BLI25X3 XD,ASAQ,Non-Promoted
222428,222428,GEM,GEM,PLAVIX 75MG TABCO BL2X14 M36 XE,PLAVIX,Promoted
241634,241634,GEM,GEM,LANTUS 300IU/3ML.INJ.CRT5.S3.M36.XE,LANTUS,Promoted
247831,247831,GEM,GEM,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD,APROVEL,Promoted
247832,247832,GEM,GEM,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD,APROVEL,Promoted
258746,258746,GEM,GEM,RESONIUM A 453.7G/+ POWD BTX1 M60 XE,RESONIUM,Non-Promoted
261608,261608,GEM,GEM,AMARYL 3MG 30'S,AMARYL,Promoted
263980,263980,GEM,GEM,TARGOCID VIAL 200MG 2,TARGOCID,Promoted
264456,264456,CHC,CHC,HISTACET 60MG/60ML SYR BTX1 M36 KE,HISTACET,Non-Promoted
275807,275807,GEM,GEM,RIFAFOUR E-275 TABS 84,RIFAFOUR,Non-Promoted
