GMID,Quantity,Expiration_Date
663981,1,2020-12-31
663981,6,2021-01-31
663981,8,2020-12-31
663981,12,2020-12-31
663981,4000,2021-01-31
663983,22956,2021-06-30
663983,73393,2021-11-30
663983,73394,2021-10-31
663983,73763,2021-10-31
663983,73850,2021-11-30
307013,6,2021-03-31
307013,10656,2021-03-31
307013,15620,2021-03-31
307013,19170,2021-03-31
516219,2,2024-12-31
516219,160,2021-02-28
516219,1598,2024-12-31
268012,21208,2022-02-28
268013,30750,2022-01-31
268014,2561,2021-06-30
268014,3600,2022-02-28
268015,316,2021-06-30
268015,4500,2021-10-31
268015,4500,2022-02-28
321233,6000,2021-03-31
475982,9420,2022-01-31
475982,11396,2021-12-31
475871,8064,2022-01-31
475871,10957,2021-09-30
475875,322,2022-01-31
475875,1184,2022-01-31
475875,1184,2022-01-31
475875,1184,2022-01-31
475875,1184,2022-01-31
475875,1184,2022-01-31
475875,1187,2021-12-31
539185,468,2021-11-30
539185,2989,2021-09-30
539183,2293,2021-10-31
539183,2526,2021-09-30
539181,10,2021-09-30
539181,995,2021-09-30
539181,4298,2021-09-30
539182,1337,2021-11-30
196680,2006,2021-10-31
196680,2160,2021-12-31
196681,774,2021-06-30
196681,1440,2021-08-31
196681,1891,2021-10-31
196681,2017,2021-12-31
281498,8,2020-12-31
281498,126816,2020-12-31
281498,135029,2020-12-31
281498,155553,2020-12-31
298801,1,2021-07-31
298801,240,2021-09-30
298801,10442,2021-06-30
298801,16008,2021-07-31
298801,16035,2021-07-31
281499,2,2021-02-28
281499,69,2020-10-31
281499,48106,2020-12-31
281499,62755,2021-02-28
281500,4191,2021-05-31
281500,31367,2021-07-31
354883,2,2021-02-28
354883,12,2020-08-31
354883,24771,2021-02-28
475987,6705,2022-01-31
475991,21,2021-04-30
475991,8590,2021-04-30
475991,25917,2021-04-30
475991,25920,2021-04-30
475991,25920,2021-04-30
679090,2160,2021-06-30
679090,8640,2021-06-30
679090,17284,2021-06-30
679090,24136,2021-06-30
679090,24276,2021-06-30
679090,24300,2021-06-30
679090,24300,2021-06-30
679090,24300,2021-06-30
636858,25007,2020-11-30
306220,450,2020-12-31
