MONTH,COUNTRY,CUSTOMER,PRODUCT,UNITS, VALUE 
3,KE,A TO Z PHARMACY LTD,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,9,94.12
3,KE,A TO Z PHARMACY LTD,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE,4,69.15
3,KE,A TO Z PHARMACY LTD,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE,3,67.85
3,KE,A TO Z PHARMACY LTD,EPILIM 12G/300ML SYR BTX1,16,128.07
3,KE,A TO Z PHARMACY LTD,EPILIM 200MG TAB BL10X10,15,159.43
3,KE,A TO Z PHARMACY LTD,EPILIM CHRONO 333-145MG T,19,50000
3,KE,A TO Z PHARMACY LTD,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE,4,85.99
3,KE,A TO Z PHARMACY LTD,LANTUS VIAL 10MG 1,5,47.21
3,KE,A TO Z PHARMACY LTD,ORELOX 200MG 10CP,23,205.08
3,KE,A TO Z PHARMACY LTD,ORELOX 400MG/50ML GRAN BTX1 SWI M24 XE,19,139.71
3,KE,A TO Z PHARMACY LTD,ORELOX 800MG/+ GRAN BTX1,12,130.49
3,KE,A TO Z PHARMACY LTD,XATRAL 10MG TABCR BL3X10 S3 M36 XD,9,203.74
3,KE,A TO Z PHARMACY LTD,XATRAL 2.5MG TABCO BL2X15 S3 M36 XE,3,35.46
3,KE,A TO Z PHARMACY LTD,XATRAL 5MG TAB BL4X14 S3 M36 XD,7,164.87
3,KE,A.I.C. KIJABE HOSPITAL,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,6108,"500,000.00"
3,KE,A.I.C. KIJABE HOSPITAL,CLEXANE 6KIU/0.6ML INJ PS2 SWI M24 XE,733,"4,031.28"
3,KE,A.I.C. KIJABE HOSPITAL,CLEXANE 8KIU/0.8ML INJ PS2 SWI M24 XE,1099,"9,345.24"
3,KE,A.I.C. KIJABE HOSPITAL,EPILIM 12G/300ML SYR BTX1,305,"1,395.68"
3,KE,A.I.C. KIJABE HOSPITAL,EPILIM 200MG TAB BL10X10,94,220.09
3,KE,A.I.C. KIJABE HOSPITAL,EPILIM CHRONO 333-145MG T,86,"1,282.68"
3,KE,A.I.C. KIJABE HOSPITAL,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE,82,921.88
3,KE,A.I.C. KIJABE HOSPITAL,FLEMING 500-125MG TABCO BL2X7 M24 EX,3149,"6,155.84"
3,KE,A.I.C. KIJABE HOSPITAL,FLEMING 875-125MG TABCO BL2X7 M24 EX,98,261.91
3,KE,AAKASH PHARMACY LTD,EPILIM 12G/300ML SYR BTX1,15,117.82
3,KE,AAR HEALTHCARE (KENYA) LIMITED - MSA,EPILIM 12G/300ML SYR BTX1,1,25.55
3,KE,AAR HEALTHCARE (KENYA) LIMITED - MSA,EPILIM CHRONO 333-145MG T,1,56.32
3,KE,AAR HEALTHCARE (KENYA) LIMITED - MSA,LANTUS SOLOSTAR 100IU/ML 3ML 5,7,281.23
3,KE,AAR HEALTHCARE (KENYA) LIMITED - MSA,ORELOX 200MG 10CP,44,371.13
3,KE,AAR HEALTHCARE (KENYA) LIMITED - MSA,ORELOX 800MG/+ GRAN BTX1,149,"6,000.00"
3,KE,AAR HEALTHCARE (KENYA) LIMITED - MSA,XATRAL 10MG TABCR BL3X10 S3 M36 XD,1,46.71
3,KE,AAR HEALTHCARE KENYA LTD,AMARYL 1MG 30 TABS,4,31.92
3,KE,AAR HEALTHCARE KENYA LTD,AMARYL 2MG 30 TABS,9,74.11
3,KE,AAR HEALTHCARE KENYA LTD,AMARYL 4MG 30 TABS,10,138.62
3,KE,AAR HEALTHCARE KENYA LTD,AMARYL M SR 2MG 30'S,1,24.2
3,KE,AAR HEALTHCARE KENYA LTD,AMARYL MIR 2-500MG TABCO BL3X10 XE,67,429.51
3,KE,AAR HEALTHCARE KENYA LTD,APROVASC 150/5,15,192.35
3,KE,AAR HEALTHCARE KENYA LTD,APROVASC 300/10,4,81.68
3,KE,AAR HEALTHCARE KENYA LTD,APROVASC 300/5,15,224.39
3,KE,AAR HEALTHCARE KENYA LTD,APROVEL 150MG TABCO BL2X14 RM M36 XE,10,128.57
3,KE,AAR HEALTHCARE KENYA LTD,APROVEL 300MG TABCO BL2X14 RM M36 XE,36,538.75
3,KE,AAR HEALTHCARE KENYA LTD,AXACEF 250MG TABCO BL1X10 M36 GH,15,44.3
3,KE,AAR HEALTHCARE KENYA LTD,CLEXANE 2KIU/0.2ML INJ PS2 SWI M24 XE,38,227.93
3,KE,AAR HEALTHCARE KENYA LTD,CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,67,619.6
3,KE,AAR HEALTHCARE KENYA LTD,COAPROVEL 300-12.5MG TABCO BL2X14 RM XD,59,961.15
3,KE,AAR HEALTHCARE KENYA LTD,COAPROVEL RM 150-12.5MG TABCO BL2X14 XD,83,"1,065.78"
3,KE,AAR HEALTHCARE KENYA LTD,CORDARONE 200MG TAB BL3X10 S3 M36 XD,6,69.12
3,KE,AAR HEALTHCARE KENYA LTD,DAONIL 5 MG 100 TABS (EXPORT),3,37.28
3,KE,AAR HEALTHCARE KENYA LTD,EPILIM 12G/300ML SYR BTX1,35,261.34
3,KE,AAR HEALTHCARE KENYA LTD,EPILIM 200MG TAB BL10X10,16,173.84
3,KE,AAR HEALTHCARE KENYA LTD,EPILIM CHRONO 333-145MG T,36,"1,040.81"
3,KE,AAR HEALTHCARE KENYA LTD,EPILIM CHRONO 8.65G/+ TABCR BL10X10 XE,9,156.68
