MONTH,COUNTRY,DISTRIBUTOR,Distributor NAMING,QUANTITY_UNITS
1,KE,Laborex,RIFAFOUR E-275 150MG+ TAB BL6X14 ZA,"1,904"
2,KE,Laborex,RIFAFOUR E-275 150MG+ TAB BL6X14 ZA,"1,904"
3,KE,Surgipharm,RIFINAH 150-75MG TABSC BL4X14 ZA,"4,287"
4,ET,Laborex,APROVEL 150MG TAB BL2x14,216
5,ET,Harleys,APROVEL 300MG TAB BL2x14,288
6,ET,EBG,"CO-APROVEL 150/12,5MG TAB28",648
7,ET,DUGDA,"CO-APROVEL 300/12,5MG TAB28",144
8,ET,Bahari,AMARYL 1MG TAB BL2x 15,900
9,ET,Eris,AMARYL 2MG TAB BL2x 15,"3,696"
10,ET,Life Pharma,AMARYL 4MG TAB BL2x 15,"4,704"
11,ET,Dejen,DAONIL 5MG TAB100,"6,440"
12,ET,PFSA,CLEXANE 4000IU/0.4ML INJ2,"1,530"


