Distributor_Product_Name,Quantity,Expiry,country,distributor_name
AMARYL M 2mg/500mg 30'S ,130,,KE,Highchem
AMARYL M SR 2mg/500mg 30'S ,38,,KE,Highchem
AMARYL TABS 1.0mg 30'S ,1,,KE,Highchem
AMARYL TABS 2.0mg 30'S ,1,,KE,Highchem
AMARYL TABS 4.0mg 30'S ,2400,,KE,Highchem
AMEDIN 5.0mg TABS 28'S ,9,,KE,Highchem
APROVASC 150/5mg TABS 28'S ,47,,KE,Highchem
APROVASC 150-10 MG 28'S ,83,,KE,Highchem
APROVASC 300-10 MG 28'S ,159,,KE,Highchem
APROVASC 300-5MG TABS ,120,,KE,Highchem
APROVEL 150mg TABS 28'S ,150,,KE,Highchem
APROVEL 300mg TABS 28'S ,92,,KE,Highchem
AXACEF 250mg TABS 10'S ,234,,KE,Highchem
AXACEF 500mg TABS 10'S ,843,,KE,Highchem
BRUMED 100ml SUSPENSION ,155,,KE,Highchem
BRUMED 400mg TABS 100'S ,174,,KE,Highchem
CLEXANE 40mg 2'S ,1958,,KE,Highchem
CLEXANE 80mg 2'S ,472,,KE,Highchem
ELOXATINE 100mg ,35,,KE,Highchem
ELOXATINE 50mg ,40,,KE,Highchem
ENTEROGERMINA 5.0ml 10'S ,2082,,KE,Highchem
EPILIM 200mg TABS EC 100'S ,376,,KE,Highchem
EPILIM CHRONO 300mg TABS 100'S ,1,,KE,Highchem
EPILIM CHRONO 500mg TABS 100'S ,313,,KE,Highchem
ERCEFURYL 200mg CAPS 28'S ,548,,KE,Highchem
ERCEFURYL 4% 90ML SUSPENSION ,172,,KE,Highchem
FLAGENTYL 500mg TABS ,3096,,KE,Highchem
FLAGYL 100ml SUSPENSION ,14,,KE,Highchem
FLAGYL 100ml VIAFLEX ,2000,,KE,Highchem
FLAGYL 400mg TABS 100'S ,70,,KE,Highchem
FLEMING 228.5mg/5ml 70ml SUSPE.. ,2,,KE,Highchem
FLEMING 500mg+125mg TABS 14'S ,277,,KE,Highchem
HISTACET 10mg TABS 20'S ,304,,KE,Highchem
LACTACYD 120ml WASH ,21,,KE,Highchem
LANTUS SOLOSTAR 3ml 5'S ,103,,KE,Highchem
LASIX 20mg AMPS 5'S ,399,,KE,Highchem
MAALOX 150ml SUSPENSION ,7187,,KE,Highchem
MAALOX 350ml SUSPENSION ,5683,,KE,Highchem
MAALOX 460mg SATCHETS LEMON ,700,,KE,Highchem
MAALOX PLUS 150ml SUSPENSION ,2735,,KE,Highchem
MONO-TILDIEM SR 200mg TABS 28'S ,93,,KE,Highchem
NO SPA 40mg TABS 100'S ,46,,KE,Highchem
NO SPA 40mg/2ml INJECTION 25'S ,129,,KE,Highchem
NO SPA 40mg/2ml INJECTION 5'S ,263,,KE,Highchem
NO SPA FORTE 80mg TABS 20'S ,441,,KE,Highchem
OMIZEC 20mg CAPS 28'S ,199,,KE,Highchem
ORELOX 100mg TABS 10'S ,3121,,KE,Highchem
ORELOX 100ml SUSPENSION ,112,,KE,Highchem
PLAVIX 75mg TABS 28'S ,93,,KE,Highchem
RHINATHIOL AD 125ml SP ,912,,KE,Highchem
RHINATHIOL ENFT 125ml SP ,3317,,KE,Highchem
RHINATHIOL PROM 125ml SP ,6,,KE,Highchem
RILUTEK TABS 56 X 50MG ,7,,KE,Highchem
STILNOX 10mg TABS 14'S ,38,,KE,Highchem
TAVANIC 500mg TABS 5'S ,567,,KE,Highchem
TELFAST 120mg TABS 10'S ,150,,KE,Highchem
TRANXENE CAPSULES 5MG*30s ,150,,KE,Highchem
TRIMOPRIM 960mg 100'S ,18,,KE,Highchem
TRITACE 10.0mg TABS 30'S ,238,,KE,Highchem
TRITAZIDE 5/12.5mg TABS 28'S ,38,,KE,Highchem
TRITAZIDE 5/25mg TABS 28'S ,295,,KE,Highchem
XATRAL LP 10mg TABS 30'S ,724,,KE,Highchem
XATRAL LP TABLETS 5MG*56s ,698,,KE,Highchem
ALL STAR PEN                  ,0,,KE,Laborex
AMARYL M 2MG CP B/30          ,835,,KE,Laborex
AMARYL M IR 2MG/500MG 30'S    ,0,,KE,Laborex
AMARYL M SR 2MG/500MG 30'S    ,0,,KE,Laborex
AMARYL M SR 2MG CP B/30       ,67,,KE,Laborex
AMARYL TABS 1MG 30'S          ,0,,KE,Laborex
AMARYL TABS 2MG 30'S          ,0,,KE,Laborex
AMARYL TABS 4MG 30'S          ,7,,KE,Laborex
APIDRA SOLOSTAR 100IU/ML 3ML/5,1,,KE,Laborex
APROVASC 150-5MG CP B/28      ,48,,KE,Laborex
APROVASC 300-5MG CP B/28      ,26,,KE,Laborex
BISOLVON TABS 8MG 20'S       .,0,,KE,Laborex
BRONCHICUM ELIXIR 100ML       ,881,,KE,Laborex
CLEXANE 40MG INJ 2'S          ,1231,,KE,Laborex
CLEXANE INJ  20MG 2'S         ,473,,KE,Laborex
CLEXANE INJ  60MG 2'S         ,800,,KE,Laborex
CLEXANE INJ 80MG 2'S          ,787,,KE,Laborex
"CO APROVEL 150/12,5MG RMCP/28 ",29,,KE,Laborex
"COAPROVEL 150/12,5MG X 28'S   ",0,,KE,Laborex
"CO APROVEL 300/12,5MG RMCP/28 ",484,,KE,Laborex
"COAPROVEL 300/12,5MG X 28'S   ",0,,KE,Laborex
CORDARONE 200MG CP B/30       ,114,,KE,Laborex
CORDARONE 200MG TABS 30'S     ,0,,KE,Laborex
DAONIL TABS 5MG 100'S         ,0,,KE,Laborex
DULCOLAX TABS 5MG 30'S       .,0,,KE,Laborex
ENTEROGERMINA 2M/5ML F/10     ,1529,,KE,Laborex
ENTEROGERMINA ORAL SUSP 10X5ML,0,,KE,Laborex
EPILIM CHRONO CAPS 500MG 100S ,552,,KE,Laborex
EPILIM EC TABS 200MG 100'S    ,149,,KE,Laborex
EPILIM IV 400MG PER VIAL      ,7,,KE,Laborex
EPILIM SYRUP 200MG/5ML 300ML  ,266,,KE,Laborex
ERCEFURYL 200MG GELU B/28     ,77,,KE,Laborex
ERCEFURYL CAPS 200MG 28'S     ,0,,KE,Laborex
ERCEFURYL SUSP 90ML           ,0,,KE,Laborex
ERCEFURYL SUSP BUV F/90ML     ,90,,KE,Laborex
FLAGENTYL 500MG CP B/4        ,774,,KE,Laborex
FLAGYL INFUSION 100ML         ,165,,KE,Laborex
FLAGYL SUSP 200MG 100ML       ,0,,KE,Laborex
FLAGYL TABS 400MG 100'S       ,0,,KE,Laborex
LANTUS 1000UI VIAL 1'S        ,95,,KE,Laborex
LANTUS 300IU/3ML CART/5       ,8,,KE,Laborex
LANTUS SOLOSTAR 100IU 3ML 5'S ,222,,KE,Laborex
LASIX INJ 20MG/2ML AMP 5'S    ,0,,KE,Laborex
LASIX TABS 40MG 20'S          ,1728,,KE,Laborex
"MAALOX ME CIT SUSP4,3MLSAC/20 ",187,,KE,Laborex
MAALOX PLUS SUSP 150ML        ,143,,KE,Laborex
MAALOX PLUS SUSP 350ML        ,1,,KE,Laborex
MAALOX SUSP 350ML             ,26,,KE,Laborex
MAALOX SUSPENSION 150ML       ,20,,KE,Laborex
MONOTILDIEM SR 200MG TAB 28'S ,15,,KE,Laborex
MONOTILDIEM SR TABS 300MG 28'S,0,,KE,Laborex
"MUCOSOLVAN 1,5G/100ML SIR    .",2346,,KE,Laborex
MUCOSOLVAN TABS 30MG 20'S    .,0,,KE,Laborex
NO SPA 40MG CP B/100          ,56,,KE,Laborex
NO SPA 40MG CP B/20           ,23,,KE,Laborex
NO SPA 40MG INJ 2ML 25 AMPS   ,0,,KE,Laborex
NO SPA 40MG INJ 2ML 5 AMPS    ,0,,KE,Laborex
NO SPA 40MG INJ 2ML B/25      ,24,,KE,Laborex
NO SPA 40MG INJ 2ML B/5       ,9,,KE,Laborex
NO SPA 40MG TABS 100'S        ,0,,KE,Laborex
NO SPA 40MG TABS 20'S         ,0,,KE,Laborex
NO SPA 80MG CP B/20           ,9,,KE,Laborex
NO SPA FORTE 80MG 20'S        ,0,,KE,Laborex
ORELOX 100MG CP B/10          ,319,,KE,Laborex
ORELOX 200MG CP B/10          ,848,,KE,Laborex
ORELOX 40MG/5ML PAED SUSP 50ML,0,,KE,Laborex
ORELOX 80MG/PED 100ML40MG/5ML ,4,,KE,Laborex
ORELOX ENF 40MG/5ML SUS/100ML ,1855,,KE,Laborex
ORELOX ENF 40MG/5ML SUSP/50ML ,1462,,KE,Laborex
ORELOX TABS 100MG 10'S        ,0,,KE,Laborex
ORELOX TABS 200MG 10'S        ,0,,KE,Laborex
PLAVIX 75MG CP B/28 AFR       ,234,,KE,Laborex
PLAVIX 75MG TABS 28'S         ,0,,KE,Laborex
RHINATHIOL AD 5% SP F/125ML   ,1377,,KE,Laborex
RHINATHIOL AD SYR 125ML       ,0,,KE,Laborex
"RHINATHIOL ENF 2% 2,5G /125ML ",1111,,KE,Laborex
RHINATHIOL INF SYR 125ML      ,0,,KE,Laborex
RHINATHIOL PROMETH SP 125ML   ,0,,KE,Laborex
RHINATHIOL PROM SYR 125ML     ,0,,KE,Laborex
RIFAFOUR TABLETS 84'S         ,12,,KE,Laborex
RIFINAH 150/75MG TABS 56'S    ,36,,KE,Laborex
STILNOX TABLETS 10MG 14'S     ,0,,KE,Laborex
TAVANIC 500MG CP B/5          ,0,,KE,Laborex
TAVANIC 500MG TABS 5'S        ,0,,KE,Laborex
TELFAST 120MG TABS 10'S       ,0,,KE,Laborex
"TRITACE TABS 2,5MG 30'S       ",0,,KE,Laborex
TRITACE TABS 5MG 30'S         ,25,,KE,Laborex
TRITAZIDE 5-25MG CP B/28      ,29,,KE,Laborex
TRITAZIDE 5-25MG TABS 28'S    ,0,,KE,Laborex
"XATRAL 2,5MG CP B/30          ",10,,KE,Laborex
XATRAL 2.5MG TABS 30'S        ,0,,KE,Laborex
XATRAL LP 10MG COMP B/30      ,150,,KE,Laborex
XATRAL LP 10MG TABS 30'S      ,0,,KE,Laborex
XATRAL LP 5MG CP B/56         ,26,,KE,Laborex
XATRAL LP 5MG TABS 56'S       ,0,,KE,Laborex
ALLSTAR PEN,1750,,KE,Surgipharm
AMARYL M SR TABS 2-500mg * 30's,316,,KE,Surgipharm
AMARYL M TABS 2mg * 30's,425,,KE,Surgipharm
AMARYL TABS 2mg * 30's,26,,KE,Surgipharm
AMARYL TABS 4mg * 30's,0,,KE,Surgipharm
APIDRA SOLOSTAR 3ML DISP PENS * 5s,429,,KE,Surgipharm
APROVASC TAB 150-5MG *28,471,,KE,Surgipharm
APROVASC TAB 300-10MG *28,282,,KE,Surgipharm
APROVASC TAB 300-5MG *28,174,,KE,Surgipharm
APROVEL TABS 150mg * 28's,264,,KE,Surgipharm
APROVEL TABS 300mg * 28's,32,,KE,Surgipharm
AXACEF TABLETS 250MG * 10,1322,,KE,Surgipharm
AXACEF TABLETS 500MG * 10's,460,,KE,Surgipharm
CLEXANE INJ. 20mg * 2,3329,,KE,Surgipharm
CLEXANE INJ. 40mg * 2,44495,,KE,Surgipharm
CLEXANE INJ. 60mg * 2,3196,,KE,Surgipharm
CLEXANE INJ. 80mg * 2,45,,KE,Surgipharm
CO APROVEL TABS 300mg * 28's,5,,KE,Surgipharm
CORDARONE TABLETS 200mg * 30,52,,KE,Surgipharm
DAONIL TABS 5mg * 100's,1265,,KE,Surgipharm
ELOXATIN INJ 100mg * 1,30,,KE,Surgipharm
ELOXATIN INJ 50mg * 1,46,,KE,Surgipharm
EPILIM CHRONO TABS 300mg * 100,33,,KE,Surgipharm
EPILIM CHRONO TABS 500mg * 100,82,,KE,Surgipharm
EPILIM EC TABLETS 200mg * 100,243,,KE,Surgipharm
EPILIM INJECTION 400MG * 1,19,,KE,Surgipharm
EPILIM SYRUP 300ml,305,,KE,Surgipharm
FLAGENTYL TABS 500mg * 4,588,,KE,Surgipharm
FLAGYL INFUSION (VIAFLEX)100ml*1,2717,,KE,Surgipharm
FLAGYL SUSPENSION 100ml,133,,KE,Surgipharm
FLAGYL TABS 400mg * 100's,126,,KE,Surgipharm
FLEMING SUSP 228.5MG/5ML * 70ML(SANOFI),0,,KE,Surgipharm
FLEMING SUSP 457MG/5ML * 70ML  (SANOFI),2664,,KE,Surgipharm
FLEMING TABS 1 G * 2*7'S,1159,,KE,Surgipharm
GUAMET TABS 500MG 28's,10625,,KE,Surgipharm
HISTACET 10MG TABS 2 * 10'S(SANOFI),1257,,KE,Surgipharm
LANTUS 10ml VIAL,11,,KE,Surgipharm
LANTUS 3ml CARTRIDGE * 5's,406,,KE,Surgipharm
LANTUS SOLOSTAR 3ML CARTRIDGE * 5'S,48,,KE,Surgipharm
LASIX AMPS 2ml * 5,1800,,KE,Surgipharm
LASIX TABS 40mg * 20,1367,,KE,Surgipharm
MONO-TILDIEM CAPS SR 200mg * 28's,8,,KE,Surgipharm
MONO-TILDIEM S.R CAPS 300mg * 28's,1,,KE,Surgipharm
ORELOX SUSP 40MG/5ML 100ML,53,,KE,Surgipharm
ORELOX SUSP 40MG/5ML 50ML,9,,KE,Surgipharm
ORELOX TABS 100MG *10'S,66,,KE,Surgipharm
ORELOX TABS 200MG *10'S,44,,KE,Surgipharm
PLAVIX TABS 75mg * 28's,190,,KE,Surgipharm
ROXICEF INJECTION 750MG * 10's,259,,KE,Surgipharm
ROXICEF INJECTION 750MG * 1's,6,,KE,Surgipharm
STILNOX TABS 10MG * 14,33,,KE,Surgipharm
TARGOCID INJ 400mg * 1s,0,,KE,Surgipharm
TAVANIC INJ. 500mg VIAL,0,,KE,Surgipharm
TAVANIC TABS 500mg * 5,2,,KE,Surgipharm
TAXOTERE 80mg/4ml * 1 VIAL,0,,KE,Surgipharm
TRITACE TABS 5mg * 30's,110,,KE,Surgipharm
TRITAZIDE TABS 5/12.5MG * 28'S,108,,KE,Surgipharm
TRITAZIDE TABS 5/25MG * 28'S,87,,KE,Surgipharm
XATRAL LP TABLETS 5mg * 56's,230,,KE,Surgipharm
XATRAL LP TABS 10mg * 30's,644,,KE,Surgipharm
ZOXON 1GM INJ 1*1 WITH WATER,36,,KE,Surgipharm
