Distributor_Product_Name,Quantity,Expiry,country,distributor_name
Bioferon Capsules 30's,747,,KE,Harleys
Bioferon Liquid Syrup 200ml,0,,KE,Harleys
Bronchicum Elixir S 100ml,27,,KE,Harleys
Brumed 100mg/5ml Suspension 100ml,0,,KE,Harleys
Buscopan injection 20mg/ml,170,,KE,Harleys
Buscopan plus tablets 50's,33297,,KE,Harleys
Dulcolax 5mg tablets 30's,0,,KE,Harleys
Dulcolax 5mg tablets 30's,0,,KE,Harleys
Enterogermina Oral Suspension 10 x 5ml,3489,,KE,Harleys
Ercefuryl 4% Syrup 90ml,0,,KE,Harleys
Ercefuryl Capsule 200mg 28`s,21,,KE,Harleys
Histacet 10mg Tablets 20's,413,,KE,Harleys
Histacet Syrup 60ml,0,,KE,Harleys
Ibex Capsule 2 x 12's,12748,,KE,Harleys
Maalox Plus Suspension 150ml,271,,KE,Harleys
Maalox Plus Suspension 350ml,0,,KE,Harleys
Maalox Stick Satchets 20's,196,,KE,Harleys
Maalox Suspension 150ml,0,,KE,Harleys
Maalox Suspension 350ml,0,,KE,Harleys
Mucosolvan liquid 15mg/5ml 100ml,6051,,KE,Harleys
No-Spa 40mg Tablets 100's,266,,KE,Harleys
No-Spa 40mg/2ml Injection 25's,691,,KE,Harleys
No-Spa Forte 80mg Tablets 20's,54,,KE,Harleys
NO-SPA Tablets 40mg 100's,1441,,KE,Harleys
No-Spa Tablets 40mg 20's,67,,KE,Harleys
Paraflam Tablets 10's,38,,KE,Harleys
Rhinathiol 2% Syrup 125ml - Paed,0,,KE,Harleys
Rhinathiol 5% Syrup 125ml,0,,KE,Harleys
Rhinathiol Expectorant/Adult Syrup 125ml,171,,KE,Harleys
Rhinathiol Promethazine Syrup  125ml,5,,KE,Harleys
Amaryl M 2mg/500mgtablets 30's,0,,KE,Harleys
Amaryl M SR 2mg/500mg tablets 30's,123,,KE,Harleys
Amaryl Tablets 1mg  30's,444,,KE,Harleys
Amaryl Tablets 2mg  30's,45,,KE,Harleys
Amaryl Tablets 4mg  30's,0,,KE,Harleys
Apidra Solostar 300IU pens 5s - COLD CHAIN,25,,KE,Harleys
Aprovasc 150mg/5mg tablets 28's,0,,KE,Harleys
Aprovasc 300mg/10mg tablets 28's,0,,KE,Harleys
Aprovasc 300mg/5mg tablets 28's,225,,KE,Harleys
Aprovel 150mg tablets 28's,54,,KE,Harleys
Aprovel 300mg tablets 28's,495,,KE,Harleys
Axacef 250mg Tablets 10's,737,,KE,Harleys
Axacef 500mg Tablets 10's,2240,,KE,Harleys
Clexane 20mg injection 2's,392,,KE,Harleys
Clexane 40mg inj 2's,8474,,KE,Harleys
Clexane 60mg inj 2's,1720,,KE,Harleys
Clexane 80mg injection 2's,4893,,KE,Harleys
Coaprovel Tablets 150/12.5 mg 28's,1457,,KE,Harleys
Coaprovel Tablets 300/12.5mg 28's,145,,KE,Harleys
Cordarone Tablets 200mg 30's,20,,KE,Harleys
Eloxatin 50mg/ml,0,,KE,Harleys
Eloxatin 5mg/ml  Injection 20ml,36,,KE,Harleys
Epilim Chrono 300mg  Tablets 100's,94,,KE,Harleys
Epilim Chrono 500mg  Tablets 100's - DDA,0,,KE,Harleys
Epilim EC 200mg tablets 100's - DDA,1174,,KE,Harleys
Epilim IV 400mg/4ml Vial,0,,KE,Harleys
Epilim Liquid 300ml,874,,KE,Harleys
Flagentyl  500mg Tablets 4's,9419,,KE,Harleys
Flagyl Injection 500mg/100ml - do not use,0,,KE,Harleys
Flagyl Suspension 200mg/5ml 100ml,0,,KE,Harleys
Flagyl Tablets 400mg 100's,0,,KE,Harleys
Flagyl Viaflex 0.5mg injection- 100ml,0,,KE,Harleys
Fleming 1.2g Dry Powder For Injection 5's,0,,KE,Harleys
Fleming 1gm Tablets 14's,1308,,KE,Harleys
Fleming 228.5mg/5ml Dry Powder For Suspension 70ml,0,,KE,Harleys
Fleming 457mg/5ml Dry Powder For Suspension 70ml,0,,KE,Harleys
Fleming 625mg Tablets 14's,842,,KE,Harleys
Lantus 300iu /3ml inj  CRT5 5'S - COLD CHAIN,85,,KE,Harleys
Lantus Solostar 100u/3ml 5's - COLD CHAIN,763,,KE,Harleys
Lantus vial 10ml - COLD CHAIN,2,,KE,Harleys
Lasix 40mg Tablets 20's,4391,,KE,Harleys
Lasix Injection 20mg 5 x 2ml AMP,1932,,KE,Harleys
Maalox plus 200mg (4x10),505,,KE,Harleys
Monotildiem SR 200mg Capsules 28's,0,,KE,Harleys
Orelox 100mg tablets 10's,678,,KE,Harleys
Orelox 200mg Tablets 10's,2516,,KE,Harleys
Orelox 40mg/5ml suspension 100ml,2496,,KE,Harleys
Orelox 40mg/5ml suspension 50ml,397,,KE,Harleys
Plavix 75mg Tablets 28's,416,,KE,Harleys
Plavix 75mg Tablets 28's,557,,KE,Harleys
Proxacin 500mg Tablets 10's,0,,KE,Harleys
Resonium Adult Powder 454gms,0,,KE,Harleys
Rifocin injection 250mg/3ml - COLD CHAIN,0,,KE,Harleys
Stilnox10mg Tablet's 14's - DDA,7500,,KE,Harleys
Targocid 200mg/vial inj,76,,KE,Harleys
Targocid 400mg/3ml inj I.M/I.V amp,0,,KE,Harleys
Tavanic 500mg inj 1FL 100ml,1,,KE,Harleys
Tavanic Tablets 500mg 5's,672,,KE,Harleys
Taxotere 20mg/Vial,0,,KE,Harleys
Taxotere 80mg/4ml Injection Vial,0,,KE,Harleys
Tritace 10mg Capsules 30's,0,,KE,Harleys
Tritace 2.5mg tabs 28's,28,,KE,Harleys
Tritace 5mg tablets 28's,0,,KE,Harleys
Tritace Tablets 5mg 30`s,0,,KE,Harleys
Tritazide 5mg/12.5mg Tablets 28's,6,,KE,Harleys
Tritazide 5mg/25mg Tablets 28's,50,,KE,Harleys
Xatral 5mg Tablets 56's,1,,KE,Harleys
Xatral LP Tablets 10mg 30's,280,,KE,Harleys
Zeben 200mg Tablets 2's,0,,KE,Harleys
Zeben 400mg Suspension 20ml,0,,KE,Harleys
Zoxon 1gm Injection 1's,51,,KE,Harleys
AMARYL M 2mg/500mg 30'S ,120,,KE,Highchem
AMARYL TABS 4.0mg 30'S ,458,,KE,Highchem
AMEDIN 5.0mg TABS 28'S ,9,,KE,Highchem
APROVASC 150-10 MG 28'S ,64,,KE,Highchem
APROVASC 300-10 MG 28'S ,113,,KE,Highchem
APROVASC 300-5MG TABS ,28,,KE,Highchem
APROVEL 150mg TABS 28'S ,227,,KE,Highchem
APROVEL 300mg TABS 28'S ,145,,KE,Highchem
AXACEF 500mg TABS 10'S ,375,,KE,Highchem
BRONCHICUM ELIXIR 100ml ,1,,KE,Highchem
BRUMED 100ml SUSPENSION ,100,,KE,Highchem
BRUMED 400mg TABS 100'S ,100,,KE,Highchem
CLEXANE 80mg 2'S ,14,,KE,Highchem
ENTEROGERMINA 5.0ml 10'S ,828,,KE,Highchem
EPILIM 200mg TABS EC 100'S ,1099,,KE,Highchem
EPILIM 300ml SYRUP ,42,,KE,Highchem
EPILIM CHRONO 300mg TABS 100'S ,5,,KE,Highchem
EPILIM CHRONO 500mg TABS 100'S ,25,,KE,Highchem
ERCEFURYL 200mg CAPS 28'S ,40,,KE,Highchem
FLAGENTYL 500mg TABS ,2290,,KE,Highchem
FLAGYL 100ml VIAFLEX ,193,,KE,Highchem
FLAGYL 400mg TABS 100'S ,70,,KE,Highchem
FLEMING 228.5mg/5ml 70ml SUSPE.. ,2,,KE,Highchem
FLEMING 500mg+125mg TABS 14'S ,2,,KE,Highchem
