Distributor_Product_Name,Quantity,Expiry,country,distributor_name
Rhinathiol Infant 2% Syrup 125ml - Paed,4974,,KE,Harleys
Lasix Injection 20mg 5 x 2ml AMP,2502,,KE,Harleys
Epilim Liquid 300ml -DDA,2429,,KE,Harleys
Tavanic Tablets 500mg 5's,1754,,KE,Harleys
Axacef 250mg Tablets 10's,1572,,KE,Harleys
Amaryl Tablets 2mg  30's,1508,,KE,Harleys
Axacef 500mg Tablets 10's,1499,,KE,Harleys
Fleming 228.5mg/5ml Dry Powder For Suspension 70ml,1371,,KE,Harleys
Clexane 80mg injection 2's,1029,,KE,Harleys
Epilim IV 400mg/4ml Vial,754,,KE,Harleys
Epilim Chrono 300mg  Tablets 100's - DDA,544,,KE,Harleys
Tavanic 500mg inj 1FL 100ml,494,,KE,Harleys
No-Spa Forte 80mg Tablets 20's,320,,KE,Harleys
Coaprovel Tablets 150/12.5 mg 28's,294,,KE,Harleys
Rhinathiol Adult 5% Syrup 125ml,229,,KE,Harleys
Resonium Adult Powder 454gms,195,,KE,Harleys
Flagyl Tablets 400mg 100's,122,,KE,Harleys
Zoxon 1gm Injection 1's,120,,KE,Harleys
Taxotere 20mg/Vial,97,,KE,Harleys
Amaryl M SR 2mg/500mg tablets 30's,81,,KE,Harleys
NO-SPA Tablets 40mg 100's,75,,KE,Harleys
Orelox 100mg tablets 10's,63,,KE,Harleys
Fleming 625mg Tablets 14's,47,,KE,Harleys
Rhinathiol Promethazine Syrup  125ml,42,,KE,Harleys
Aprovasc 300mg/5mg tablets 28's,37,,KE,Harleys
Aprovel 150mg tablets 28's,35,,KE,Harleys
Flagyl Viaflex 0.5mg injection- 100ml,30,,KE,Harleys
Targocid 200mg/vial inj,23,,KE,Harleys
Maalox Stick Satchets 20's (Lemon),20,,KE,Harleys
Ibex Capsule 2 x 12's,19,,KE,Harleys
Amaryl Tablets 1mg  30's,18,,KE,Harleys
Targocid 400mg/3ml inj I.M/I.V amp,18,,KE,Harleys
Maalox plus 200mg (4x10),17,,KE,Harleys
