Distributor_Product_Name,Quantity,Expiry,country,distributor_name
Bioferon Capsules 30's,1695,,KE,Harleys
Bioferon Liquid Syrup 200ml,13,,KE,Harleys
Bronchicum Elixir S 100ml,51,,KE,Harleys
Brumed 100mg/5ml Suspension 100ml,24,,KE,Harleys
Enterogermina Oral Suspension 10 x 5ml,292,,KE,Harleys
Ercefuryl Capsule 200mg 28`s,0,,KE,Harleys
Histacet 10mg Tablets 20's,2019,,KE,Harleys
Histacet Syrup 60ml,316,,KE,Harleys
Ibex Capsule 2 x 12's,10,,KE,Harleys
Maalox  Plus Suspension 150ml,717,,KE,Harleys
Maalox Plus Suspension 350ml,989,,KE,Harleys
Maalox Satchets 20's,358,,KE,Harleys
Maalox Suspension 150ml,41,,KE,Harleys
Maalox Suspension 350ml,41,,KE,Harleys
No-Spa 40mg Tablets 100's,6,,KE,Harleys
No-Spa 40mg/2ml Injection 25's,189,,KE,Harleys
NO-SPA Tablets 40mg 100's,302,,KE,Harleys
No-Spa Tablets 40mg 20's,13,,KE,Harleys
Paraflam Tablets 10's,302,,KE,Harleys
Rhinathiol 2% Syrup 125ml - Paed,15,,KE,Harleys
Rhinathiol 5% Syrup 125ml,86,,KE,Harleys
Rhinathiol Promethazine Syrup  125ml,3,,KE,Harleys
Amaryl Tablets 1mg  30's,3,,KE,Harleys
Amaryl Tablets 2mg  30's,5,,KE,Harleys
Amaryl Tablets 4mg  30's,62,,KE,Harleys
Aprovasc 150mg/5mg tablets 28's,0,,KE,Harleys
Aprovasc 300mg/10mg tablets 28's,0,,KE,Harleys
Aprovasc 300mg/5mg tablets 28's,11,,KE,Harleys
Aprovel 150mg tablets 28's,0,,KE,Harleys
Axacef 250mg Tablets 10's,174,,KE,Harleys
Axacef 500mg Tablets 10's,2371,,KE,Harleys
Clexane 20mg injection 2's,0,,KE,Harleys
Clexane 40mg inj 2's,382,,KE,Harleys
Clexane 60mg inj 2's,136,,KE,Harleys
Clexane 80mg injection 2's,565,,KE,Harleys
Coaprovel Tablets 150/12.5 mg 28's,0,,KE,Harleys
Coaprovel Tablets 300/12.5mg 28's,4,,KE,Harleys
Epilim Chrono 500mg  Tablets 100's - DDA,0,,KE,Harleys
Epilim EC 200mg tablets 100's - DDA,0,,KE,Harleys
Epilim IV 400mg/4ml Vial,0,,KE,Harleys
Flagentyl  500mg Tablets 4's,156,,KE,Harleys
Flagyl Injection 500mg/100ml,425,,KE,Harleys
Flagyl Suspension 200mg/5ml 100ml,19,,KE,Harleys
Flagyl Tablets 400mg 100's,0,,KE,Harleys
Fleming 1gm Tablets 14's,12,,KE,Harleys
Fleming 457mg/5ml Dry Powder For Suspension 70ml,0,,KE,Harleys
Fleming 625mg Tablets 14's,362,,KE,Harleys
Lantus Solostar 100u/3ml 5's - COLD CHAIN,19,,KE,Harleys
Lasix 40mg Tablets 20's,375,,KE,Harleys
Lasix Injection 20mg 5 x 2ml AMP,0,,KE,Harleys
Orelox 100mg tablets 10's,140,,KE,Harleys
Orelox 200mg Tablets 10's,0,,KE,Harleys
Orelox 40mg/5ml suspension 100ml,51,,KE,Harleys
Orelox 40mg/5ml suspension 50ml,8,,KE,Harleys
Proxacin 500mg Tablets 10's,36,,KE,Harleys
Resonium Adult Powder 454gms,0,,KE,Harleys
Rifocin injection 250mg/3ml - COLD CHAIN,8,,KE,Harleys
Targocid 400mg/3ml inj I.M/I.V amp,0,,KE,Harleys
Tavanic Tablets 500mg 5's,10,,KE,Harleys
Tritace 10mg Capsules 30's,36,,KE,Harleys
Tritace 5mg tablets 28's,0,,KE,Harleys
Tritace Tablets 5mg 30`s,0,,KE,Harleys
Tritazide 5mg/25mg Tablets 28's,14,,KE,Harleys
Xatral 5mg Tablets 56's,130,,KE,Harleys
Xatral LP Tablets 10mg 30's,0,,KE,Harleys
Zeben 400mg Suspension 20ml,1,,KE,Harleys
AMARYL M 2mg/500mg 30'S ,803,,KE,Highchem
AMARYL M SR 2mg/500mg 30'S ,40,,KE,Highchem
AMARYL TABS 2.0mg 30'S ,2,,KE,Highchem
AMARYL TABS 4.0mg 30'S ,3325,,KE,Highchem
AMEDIN 5.0mg TABS 28'S ,9,,KE,Highchem
APROVASC 150/5mg TABS 28'S ,73,,KE,Highchem
APROVASC 150-10 MG 28'S ,93,,KE,Highchem
APROVASC 300-10 MG 28'S ,181,,KE,Highchem
APROVASC 300-5MG TABS ,143,,KE,Highchem
APROVEL 150mg TABS 28'S ,26,,KE,Highchem
APROVEL 300mg TABS 28'S ,110,,KE,Highchem
AXACEF 250mg TABS 10'S ,256,,KE,Highchem
AXACEF 500mg TABS 10'S ,873,,KE,Highchem
BIOFERON CAPS 30'S ,2,,KE,Highchem
BRONCHICUM ELIXIR 100ml ,203,,KE,Highchem
BRUMED 100ml SUSPENSION ,505,,KE,Highchem
BRUMED 400mg TABS 100'S ,184,,KE,Highchem
CLEXANE 80mg 2'S ,692,,KE,Highchem
CO-APROVEL TABS 150/12.5mg 28'S ,12,,KE,Highchem
CO-APROVEL TABS 300/12.5mg 28'S ,72,,KE,Highchem
ELOXATINE 100mg ,36,,KE,Highchem
ELOXATINE 50mg ,41,,KE,Highchem
ENTEROGERMINA 5.0ml 10'S ,21,,KE,Highchem
EPILIM 200mg TABS EC 100'S ,550,,KE,Highchem
EPILIM 300ml SYRUP ,1,,KE,Highchem
EPILIM CHRONO 300mg TABS 100'S ,60,,KE,Highchem
ERCEFURYL 200mg CAPS 28'S ,999,,KE,Highchem
FLAGENTYL 500mg TABS ,1655,,KE,Highchem
FLAGYL 100ml SUSPENSION ,1,,KE,Highchem
FLAGYL 100ml VIAFLEX ,382,,KE,Highchem
FLAGYL 400mg TABS 100'S ,70,,KE,Highchem
FLEMING 228.5mg/5ml 70ml SUSPE.. ,769,,KE,Highchem
FLEMING 500mg+125mg TABS 14'S ,763,,KE,Highchem
FLEMING 875mg+125mg TABS 14'S ,212,,KE,Highchem
HISTACET 10mg TABS 20'S ,304,,KE,Highchem
LACTACYD 120ml WASH ,21,,KE,Highchem
LANTUS 10ml VIAL ,2,,KE,Highchem
LANTUS SOLOSTAR 3ml 5'S ,583,,KE,Highchem
LASIX 40mg TABS 20'S ,20,,KE,Highchem
MAALOX 150ml SUSPENSION ,7465,,KE,Highchem
MAALOX 350ml SUSPENSION ,5987,,KE,Highchem
MAALOX 460mg SATCHETS LEMON ,881,,KE,Highchem
MAALOX PLUS 150ml SUSPENSION ,4642,,KE,Highchem
MONO-TILDIEM SR 200mg TABS 28'S ,95,,KE,Highchem
NO SPA 40mg TABS 100'S ,240,,KE,Highchem
NO SPA 40mg TABS 20'S ,12,,KE,Highchem
NO SPA 40mg/2ml INJECTION 25'S ,145,,KE,Highchem
NO SPA 40mg/2ml INJECTION 5'S ,303,,KE,Highchem
NO SPA FORTE 80mg TABS 20'S ,518,,KE,Highchem
OMIZEC 20mg CAPS 28'S ,200,,KE,Highchem
ORELOX 100mg TABS 10'S ,3744,,KE,Highchem
ORELOX 100ml SUSPENSION ,458,,KE,Highchem
ORELOX 200mg TABS 10'S ,525,,KE,Highchem
ORELOX 50ml SUSPENSION ,292,,KE,Highchem
RESONIUM 454g ADULT POWDER ,12,,KE,Highchem
RHINATHIOL AD 125ml SP ,2625,,KE,Highchem
RHINATHIOL ENFT 125ml SP ,2,,KE,Highchem
RHINATHIOL PROM 125ml SP ,4084,,KE,Highchem
RILUTEK TABS 56 X 50MG ,8,,KE,Highchem
TAVANIC 500mg TABS 5'S ,1921,,KE,Highchem
TRANXENE CAPSULES 5MG*30s ,150,,KE,Highchem
TRIMOPRIM 960mg 100'S ,18,,KE,Highchem
TRITACE 10.0mg TABS 30'S ,320,,KE,Highchem
TRITACE 5.0mg TABS 30'S ,166,,KE,Highchem
TRITAZIDE 5/25mg TABS 28'S ,325,,KE,Highchem
XATRAL 2.5mg TABS 30'S ,13,,KE,Highchem
XATRAL LP 10mg TABS 30'S ,927,,KE,Highchem
XATRAL LP TABLETS 5MG*56s ,742,,KE,Highchem
AMARYL M 2MG CP B/30          ,626,,KE,Laborex
AMARYL TABS 2MG 30'S          ,128,,KE,Laborex
AMARYL TABS 4MG 30'S          ,154,,KE,Laborex
APROVASC 150-5MG CP B/28      ,31,,KE,Laborex
APROVASC 300-5MG CP B/28      ,13,,KE,Laborex
BRONCHICUM ELIXIR 100ML       ,912,,KE,Laborex
CLEXANE 40MG INJ 2'S          ,3921,,KE,Laborex
CLEXANE INJ  20MG 2'S         ,49,,KE,Laborex
CLEXANE INJ  60MG 2'S         ,226,,KE,Laborex
CLEXANE INJ 80MG 2'S          ,283,,KE,Laborex
"CO APROVEL 150/12,5MG RMCP/28 ",134,,KE,Laborex
"CO APROVEL 300/12,5MG RMCP/28 ",33,,KE,Laborex
CORDARONE 200MG CP B/30       ,100,,KE,Laborex
ENTEROGERMINA 2M/5ML F/10     ,2694,,KE,Laborex
EPILIM CHRONO CAPS 500MG 100S ,149,,KE,Laborex
EPILIM EC TABS 200MG 100'S    ,432,,KE,Laborex
EPILIM SYRUP 200MG/5ML 300ML  ,1744,,KE,Laborex
ERCEFURYL 200MG GELU B/28     ,148,,KE,Laborex
ERCEFURYL SUSP BUV F/90ML     ,121,,KE,Laborex
FLAGENTYL 500MG CP B/4        ,120,,KE,Laborex
FLAGYL INFUSION 100ML         ,5160,,KE,Laborex
FLAGYL SUSP 200MG 100ML       ,1425,,KE,Laborex
LANTUS 300IU/3ML CART/5       ,15,,KE,Laborex
LANTUS SOLOSTAR 100IU 3ML 5'S ,14,,KE,Laborex
LASIX INJ 20MG/2ML AMP 5'S    ,751,,KE,Laborex
LASIX TABS 40MG 20'S          ,3900,,KE,Laborex
MAALOX PLUS SUSP 150ML        ,277,,KE,Laborex
MAALOX PLUS SUSP 350ML        ,1381,,KE,Laborex
MAALOX SUSP 350ML             ,61,,KE,Laborex
MAALOX SUSPENSION 150ML       ,63,,KE,Laborex
MONOTILDIEM SR 200MG TAB 28'S ,30,,KE,Laborex
MONOTILDIEM SR TABS 300MG 28'S,9,,KE,Laborex
NO SPA 40MG CP B/100          ,68,,KE,Laborex
NO SPA 40MG CP B/20           ,28,,KE,Laborex
NO SPA 40MG INJ 2ML B/25      ,4,,KE,Laborex
NO SPA 80MG CP B/20           ,33,,KE,Laborex
ORELOX 100MG CP B/10          ,394,,KE,Laborex
ORELOX 200MG CP B/10          ,170,,KE,Laborex
ORELOX 80MG/PED 100ML40MG/5ML ,938,,KE,Laborex
ORELOX ENF 40MG/5ML SUSP/50ML ,735,,KE,Laborex
RHINATHIOL AD 5% SP F/125ML   ,693,,KE,Laborex
"RHINATHIOL ENF 2% 2,5G /125ML ",1655,,KE,Laborex
RHINATHIOL PROMETH SP 125ML   ,2100,,KE,Laborex
RIFAFOUR TABLETS 84'S         ,360,,KE,Laborex
RIFINAH 150/75MG TABS 56'S    ,450,,KE,Laborex
STILNOX TABLETS 10MG 14'S     ,2217,,KE,Laborex
TAVANIC 500MG CP B/5          ,455,,KE,Laborex
TELFAST 120MG TABS 10'S       ,11,,KE,Laborex
"TRITACE TABS 2,5MG 30'S       ",240,,KE,Laborex
TRITACE TABS 5MG 30'S         ,89,,KE,Laborex
TRITAZIDE 5-25MG TABS 28'S    ,8,,KE,Laborex
"XATRAL 2,5MG CP B/30          ",19,,KE,Laborex
XATRAL LP 5MG CP B/56         ,16,,KE,Laborex
ALLSTAR PEN,2250,,KE,Surgipharm
AMARYL M SR TABS 2-500mg * 30's,290,,KE,Surgipharm
AMARYL M TABS 2mg * 30's,99,,KE,Surgipharm
AMARYL TABS 1mg * 30's,0,,KE,Surgipharm
AMARYL TABS 2mg * 30's,38,,KE,Surgipharm
AMARYL TABS 4mg * 30's,517,,KE,Surgipharm
APIDRA SOLOSTAR 3ML DISP PENS * 5s,440,,KE,Surgipharm
APROVASC TAB 150-5MG *28,407,,KE,Surgipharm
APROVASC TAB 300-10MG *28,140,,KE,Surgipharm
APROVASC TAB 300-5MG *28,266,,KE,Surgipharm
APROVEL TABS 150mg * 28's,672,,KE,Surgipharm
APROVEL TABS 300mg * 28's,200,,KE,Surgipharm
AXACEF TABLETS 250MG * 10,1621,,KE,Surgipharm
AXACEF TABLETS 500MG * 10's,598,,KE,Surgipharm
CLEXANE INJ. 20mg * 2,5066,,KE,Surgipharm
CLEXANE INJ. 40mg * 2,20555,,KE,Surgipharm
CLEXANE INJ. 60mg * 2,3029,,KE,Surgipharm
CLEXANE INJ. 80mg * 2,975,,KE,Surgipharm
CO APROVEL TABS 150mg * 28's,20,,KE,Surgipharm
CO APROVEL TABS 300mg * 28's,730,,KE,Surgipharm
CORDARONE TABLETS 200mg * 30,671,,KE,Surgipharm
DAONIL TABS 5mg * 100's,2,,KE,Surgipharm
ELOXATIN INJ 100mg * 1,44,,KE,Surgipharm
ELOXATIN INJ 50mg * 1,56,,KE,Surgipharm
EPILIM CHRONO TABS 300mg * 100,33,,KE,Surgipharm
EPILIM CHRONO TABS 500mg * 100,1082,,KE,Surgipharm
EPILIM EC TABLETS 200mg * 100,93,,KE,Surgipharm
EPILIM INJECTION 400MG * 1,62,,KE,Surgipharm
EPILIM SYRUP 300ml,16,,KE,Surgipharm
FLAGENTYL TABS 500mg * 4,3641,,KE,Surgipharm
FLAGYL INFUSION (VIAFLEX)100ml*1,5168,,KE,Surgipharm
FLAGYL SUSPENSION 100ml,4456,,KE,Surgipharm
FLAGYL TABS 400mg * 100's,83,,KE,Surgipharm
FLEMING INJ 1.2GM * 5'S,192,,KE,Surgipharm
FLEMING SUSP 228.5MG/5ML * 70ML(SANOFI),4756,,KE,Surgipharm
FLEMING SUSP 457MG/5ML * 70ML  (SANOFI),3290,,KE,Surgipharm
FLEMING TABS 1 G * 2*7'S,1029,,KE,Surgipharm
GUAMET TABS 500MG 28's,10451,,KE,Surgipharm
HISTACET 10MG TABS 2 * 10'S(SANOFI),1257,,KE,Surgipharm
LANTUS 10ml VIAL,54,,KE,Surgipharm
LANTUS 3ml CARTRIDGE * 5's,449,,KE,Surgipharm
LANTUS SOLOSTAR 3ML CARTRIDGE * 5'S,1554,,KE,Surgipharm
LASIX AMPS 2ml * 5,3791,,KE,Surgipharm
LASIX TABS 40mg * 20,4047,,KE,Surgipharm
MONO-TILDIEM CAPS SR 200mg * 28's,91,,KE,Surgipharm
MONO-TILDIEM S.R CAPS 300mg * 28's,0,,KE,Surgipharm
ORELOX SUSP 40MG/5ML 100ML,2752,,KE,Surgipharm
ORELOX SUSP 40MG/5ML 50ML,1478,,KE,Surgipharm
ORELOX TABS 100MG *10'S,1716,,KE,Surgipharm
ORELOX TABS 200MG *10'S,253,,KE,Surgipharm
PLAVIX TABS 75mg * 28's,140,,KE,Surgipharm
REICHLOX CAPS 500mg * 50 * 10 BP  (SANOFI),0,,KE,Surgipharm
RESONIUM ADULT POWDER 454G,12,,KE,Surgipharm
RIFOCIN INJ. 250mg * 1's,51,,KE,Surgipharm
ROXICEF INJECTION 750MG * 10's,347,,KE,Surgipharm
STILNOX TABS 10MG * 14,1222,,KE,Surgipharm
TAVANIC INJ. 500mg VIAL,494,,KE,Surgipharm
TAVANIC TABS 500mg * 5,80,,KE,Surgipharm
TAXOTERE 80mg/4ml * 1 VIAL,221,,KE,Surgipharm
TRITACE TABS 5mg * 30's,278,,KE,Surgipharm
TRITAZIDE TABS 5/12.5MG * 28'S,172,,KE,Surgipharm
TRITAZIDE TABS 5/25MG * 28'S,135,,KE,Surgipharm
XATRAL LP TABLETS 5mg * 56's,368,,KE,Surgipharm
XATRAL LP TABS 10mg * 30's,589,,KE,Surgipharm
ZOXON 1GM INJ 1*1 WITH WATER,39,,KE,Surgipharm
