Distributor_Product_Name,Quantity,Expiry,country,distributor_name
Bioferon Capsules 30's,1509,,KE,Harleys
Bronchicum Elixir S 100ml,414,,KE,Harleys
Buscopan injection 20mg/ml  - 5s,1850,,KE,Harleys
Buscopan plus tablets 50's,25956,,KE,Harleys
Ercefuryl 4% Syrup 90ml,47,,KE,Harleys
Ibex Capsule 2 x 12's,3633,,KE,Harleys
Mucosolvan liquid 15mg/5ml 100ml,36575,,KE,Harleys
No-Spa 40mg/2ml Injection 25's,254,,KE,Harleys
NO-SPA Tablets 40mg 100's,1150,,KE,Harleys
No-Spa Tablets 40mg 20's,3,,KE,Harleys
Paraflam Tablets 10's,290,,KE,Harleys
Rhinathiol 2% Syrup 125ml - Paed,3330,,KE,Harleys
Rhinathiol 5% Syrup 125ml,3162,,KE,Harleys
Rhinathiol Promethazine Syrup  125ml,27866,,KE,Harleys
Amaryl M 2mg/500mgtablets 30's,1533,,KE,Harleys
Amaryl M SR 2mg/500mg tablets 30's,88,,KE,Harleys
Amaryl Tablets 1mg  30's,866,,KE,Harleys
Apidra Solostar 300IU pens 5s - COLD CHAIN,34,,KE,Harleys
Aprovasc 150mg/5mg tablets 28's,343,,KE,Harleys
Aprovasc 300mg/5mg tablets 28's,36,,KE,Harleys
Aprovel 150mg tablets 28's,261,,KE,Harleys
Aprovel 300mg tablets 28's,307,,KE,Harleys
Axacef 250mg Tablets 10's,5,,KE,Harleys
Axacef 500mg Tablets 10's,662,,KE,Harleys
Clexane 40mg inj 2's,9853,,KE,Harleys
Clexane 80mg injection 2's,3092,,KE,Harleys
Coaprovel Tablets 150/12.5 mg 28's,822,,KE,Harleys
Epilim Chrono 500mg  Tablets 100's - DDA,270,,KE,Harleys
Flagentyl  500mg Tablets 4's,14301,,KE,Harleys
Flagyl Suspension 200mg/5ml 100ml,1015,,KE,Harleys
Fleming 1gm Tablets 14's,1564,,KE,Harleys
Fleming 228.5mg/5ml Dry Powder For Suspension 70ml,2142,,KE,Harleys
Fleming 625mg Tablets 14's,14,,KE,Harleys
Lantus 300iu /3ml inj  Cartridges  5'S - COLD CHAIN,25,,KE,Harleys
Lantus Solostar 100u/3ml 5's PENS - COLD CHAIN,1528,,KE,Harleys
Lantus vial 10ml - COLD CHAIN,136,,KE,Harleys
Maalox plus 200mg (4x10),14,,KE,Harleys
Orelox 100mg tablets 10's,160,,KE,Harleys
Orelox 200mg Tablets 10's,3,,KE,Harleys
Orelox 40mg/5ml suspension 100ml,2576,,KE,Harleys
Orelox 40mg/5ml suspension 50ml,1309,,KE,Harleys
Plavix 75mg Tablets 28's,713,,KE,Harleys
Stilnox10mg Tablet's 14's - DDA,6477,,KE,Harleys
Tavanic Tablets 500mg 5's,1870,,KE,Harleys
Taxotere 20mg/Vial,121,,KE,Harleys
Tritace 5mg tablets 28's,59,,KE,Harleys
Tritazide 5mg/25mg Tablets 28's,25,,KE,Harleys
Xatral LP Tablets 10mg 30's,1,,KE,Harleys
Zoxon 1gm Injection 1's,45,,KE,Harleys
AMARYL M 2mg/500mg 30'S,363,,KE,Highchem
AMARYL TABS 1.0mg 30'S,917,,KE,Highchem
AMARYL TABS 2.0mg 30'S,100,,KE,Highchem
AMARYL TABS 4.0mg 30'S,12,,KE,Highchem
APROVASC 150/5mg TABS 28'S,91,,KE,Highchem
APROVASC 150-10 MG 28'S,72,,KE,Highchem
APROVASC 300-10 MG 28'S,87,,KE,Highchem
APROVASC 300-5MG TABS,13,,KE,Highchem
APROVEL 150mg TABS 28'S,156,,KE,Highchem
APROVEL 300mg TABS 28'S,52,,KE,Highchem
BIOFERON CAPS 30'S,213,,KE,Highchem
CLEXANE 40mg 2'S,653,,KE,Highchem
CO-APROVEL TABS 150/12.5mg 28'S,334,,KE,Highchem
CO-APROVEL TABS 300/12.5mg 28'S,209,,KE,Highchem
CORDARONE TAB 200mg 30'S,611,,KE,Highchem
EPILIM 200mg TABS EC 100'S,1664,,KE,Highchem
EPILIM CHRONO 300mg TABS 100'S,380,,KE,Highchem
ERCEFURYL 200mg CAPS 28'S,80,,KE,Highchem
FLAGENTYL 500mg TABS,406,,KE,Highchem
