Distributor_Product_Name,Quantity,Expiry,country,distributor_name
Bioferon Capsules 30's,1641,,KE,Harleys
Bioferon Liquid Syrup 200ml,0,,KE,Harleys
Bronchicum Elixir S 100ml,1728,,KE,Harleys
Brumed 100mg/5ml Suspension 100ml,0,,KE,Harleys
Buscopan injection 20mg/ml,194,,KE,Harleys
Buscopan plus tablets 50's,3333,,KE,Harleys
Dulcolax 5mg tablets 30's,0,,KE,Harleys
Dulcolax 5mg tablets 30's,11,,KE,Harleys
Enterogermina Oral Suspension 10 x 5ml,33,,KE,Harleys
Ercefuryl 4% Syrup 90ml,0,,KE,Harleys
Ercefuryl Capsule 200mg 28`s,248,,KE,Harleys
Histacet 10mg Tablets 20's,413,,KE,Harleys
Histacet Syrup 60ml,0,,KE,Harleys
Ibex Capsule 2 x 12's,15009,,KE,Harleys
Maalox  Plus Suspension 150ml,2374,,KE,Harleys
Maalox Plus Suspension 350ml,1,,KE,Harleys
Maalox Stick Satchets 20's,632,,KE,Harleys
Maalox Suspension 150ml,20,,KE,Harleys
Maalox Suspension 350ml,0,,KE,Harleys
Mucosolvan liquid 15mg/5ml 100ml,9985,,KE,Harleys
No-Spa 40mg Tablets 100's,304,,KE,Harleys
No-Spa 40mg/2ml Injection 25's,700,,KE,Harleys
No-Spa Forte 80mg Tablets 20's,75,,KE,Harleys
NO-SPA Tablets 40mg 100's,1018,,KE,Harleys
No-Spa Tablets 40mg 20's,100,,KE,Harleys
Paraflam Tablets 10's,49,,KE,Harleys
Rhinathiol 2% Syrup 125ml - Paed,0,,KE,Harleys
Rhinathiol 5% Syrup 125ml,1,,KE,Harleys
Rhinathiol Expectorant/Adult Syrup 125ml,2767,,KE,Harleys
Rhinathiol Promethazine Syrup  125ml,1302,,KE,Harleys
Amaryl M 2mg/500mgtablets 30's,277,,KE,Harleys
Amaryl M SR 2mg/500mg tablets 30's,146,,KE,Harleys
Amaryl Tablets 1mg  30's,820,,KE,Harleys
Amaryl Tablets 2mg  30's,1145,,KE,Harleys
Amaryl Tablets 4mg  30's,0,,KE,Harleys
Apidra Solostar 300IU pens 5s - COLD CHAIN,34,,KE,Harleys
Aprovasc 150mg/5mg tablets 28's,0,,KE,Harleys
Aprovasc 300mg/10mg tablets 28's,8,,KE,Harleys
Aprovasc 300mg/5mg tablets 28's,171,,KE,Harleys
Aprovel 150mg tablets 28's,101,,KE,Harleys
Aprovel 300mg tablets 28's,539,,KE,Harleys
Axacef 250mg Tablets 10's,855,,KE,Harleys
Axacef 500mg Tablets 10's,2466,,KE,Harleys
Clexane 20mg injection 2's,0,,KE,Harleys
Clexane 40mg inj 2's,4,,KE,Harleys
Clexane 60mg inj 2's,2435,,KE,Harleys
Clexane 80mg injection 2's,5271,,KE,Harleys
Coaprovel Tablets 150/12.5 mg 28's,1645,,KE,Harleys
