Distributor_Product_Name,Quantity,Expiry,country,distributor_name
AMARYL M 2mg/500mg 30'S,440,,KE,Highchem
AMARYL TABS 1.0mg 30'S,423,,KE,Highchem
AMARYL TABS 2.0mg 30'S,195,,KE,Highchem
AMARYL TABS 3.0mg 30'S,120,,KE,Highchem
AMARYL TABS 4.0mg 30'S,10,,KE,Highchem
APROVASC 300-10 MG 28'S,26,,KE,Highchem
APROVEL 300mg TABS 28'S,50,,KE,Highchem
BIOFERON CAPS 30'S,19,,KE,Highchem
BRONCHICUM ELIXIR 100ml,1878,,KE,Highchem
CLEXANE 40mg 2'S,1234,,KE,Highchem
CLEXANE 80mg 2'S,40,,KE,Highchem
CO-APROVEL TABS 150/12.5mg 28'S,169,,KE,Highchem
CO-APROVEL TABS 300/12.5mg 28'S,90,,KE,Highchem
CORDARONE TAB 200mg 30'S,422,,KE,Highchem
DAONIL 5.0mg TABS 100'S,70,,KE,Highchem
DULCOLAX 5MG TABS BL3X10,2825,,KE,Highchem
ENTEROGERMINA 5.0ml 10'S,1128,,KE,Highchem
EPILIM 200mg TABS EC 100'S,853,,KE,Highchem
EPILIM 300ml SYRUP,1809,,KE,Highchem
EPILIM CHRONO 300mg TABS 100'S,662,,KE,Highchem
EPILIM CHRONO 500mg TABS 100'S,191,,KE,Highchem
ERCEFURYL 200mg CAPS 28'S,42,,KE,Highchem
ERCEFURYL 4% 90ML SUSPENSION,256,,KE,Highchem
FLAGENTYL 500mg TABS,1270,,KE,Highchem
FLAGYL 100ml SUSPENSION,770,,KE,Highchem
FLEMING 1000mg+200mg 5's INJ,113,,KE,Highchem
FLEMING 500mg+125mg TABS 14'S,335,,KE,Highchem
FLEMING 875mg+125mg TABS 14'S,418,,KE,Highchem
LANTUS 10ml VIAL,15,,KE,Highchem
LANTUS SOLOSTAR 3ml 5'S,347,,KE,Highchem
LASIX 20mg AMPS 5'S,388,,KE,Highchem
LASIX 40mg TABS 20'S,190,,KE,Highchem
MAALOX 460mg SATCHETS LEMON,321,,KE,Highchem
MAALOX PLUS 200MG TABS BL4X10,14,,KE,Highchem
NO SPA 40mg TABS 100'S,80,,KE,Highchem
NO SPA 40mg TABS 20'S,306,,KE,Highchem
NO SPA 40mg/2ml INJECTION 5'S,120,,KE,Highchem
ORELOX 100ml SUSPENSION,409,,KE,Highchem
ORELOX 200mg TABS 10'S,310,,KE,Highchem
ORELOX 50ml SUSPENSION,41,,KE,Highchem
PLAVIX 75mg TABS 28'S,208,,KE,Highchem
RESONIUM 454g ADULT POWDER,513,,KE,Highchem
RHINATHIOL AD 125ml SP,2669,,KE,Highchem
RHINATHIOL ENFT 125ml SP,3511,,KE,Highchem
RHINATHIOL PROM 125ml SP,3269,,KE,Highchem
STILNOX 10mg TABS 14'S,4884,,KE,Highchem
TAVANIC 500mg TABS 5'S,1614,,KE,Highchem
TAVANIC INJECTION 500mg,332,,KE,Highchem
TRITACE 2.5 MG TABS 28s,54,,KE,Highchem
TRITACE 5.0mg TABS 30'S,36,,KE,Highchem
TRITAZIDE 5/25mg TABS 28'S,218,,KE,Highchem
XATRAL LP 10mg TABS 30'S,188,,KE,Highchem
AMARYL TABS 1mg * 30's,1413,,KE,Surgipharm
AMARYL TABS 2mg * 30's,459,,KE,Surgipharm
AMARYL TABS 4mg * 30's,488,,KE,Surgipharm
BRONCHICUM SYRUP * 100ml,2439,,KE,Surgipharm
MAALOX SUSPENSION 350ml,2998,,KE,Surgipharm
CLEXANE INJ. 20mg * 2,63,,KE,Surgipharm
DAONIL TABS 5mg * 100's,584,,KE,Surgipharm
FLAGENTYL TABS 500mg * 4,90,,KE,Surgipharm
FLAGYL INFUSION (VIAFLEX)100ml*1,7660,,KE,Surgipharm
LANTUS 10ml VIAL,123,,KE,Surgipharm
RIFOCIN INJ. 250mg * 1's,1440,,KE,Surgipharm
LANTUS 3ml CARTRIDGE * 5's,448,,KE,Surgipharm
LASIX AMPS 2ml * 5,2341,,KE,Surgipharm
FLAGYL SUSPENSION 100ml,2662,,KE,Surgipharm
FLAGYL TABS 400mg * 100's,1866,,KE,Surgipharm
TAVANIC INJ. 500mg VIAL,143,,KE,Surgipharm
LASIX TABS 40mg * 20,5,,KE,Surgipharm
TAXOTERE 80mg/4ml * 1 VIAL,24,,KE,Surgipharm
CORDARONE TABLETS 200mg * 30,479,,KE,Surgipharm
EPILIM EC TABLETS 200mg * 100,176,,KE,Surgipharm
EPILIM SYRUP 300ml,7257,,KE,Surgipharm
NO SPA TABLETS 40mg * 20,17,,KE,Surgipharm
NO SPA INJECTION 40mg/2ml * 25Amps,32,,KE,Surgipharm
NO SPA TABLETS 40mg * 100's,110,,KE,Surgipharm
EPILIM CHRONO TABS 500mg * 100,12,,KE,Surgipharm
PLAVIX TABS 75mg * 28's,1444,,KE,Surgipharm
ERCEFURYL CAPSULES 200mg * 28,9,,KE,Surgipharm
ERCEFURYL SUSPENSION 90ml,10,,KE,Surgipharm
RHINATHIOL EXPEC/ADULT SYRUP 125ml,7410,,KE,Surgipharm
RHINATHIOL INFANT SYRUP 125ml,9708,,KE,Surgipharm
RHINATHIOL PROMETHAZINE SYRUP 125ml,9968,,KE,Surgipharm
MONO-TILDIEM CAPS SR 200mg * 28's,304,,KE,Surgipharm
XATRAL LP TABLETS 5mg * 56's,77,,KE,Surgipharm
STILNOX TABS 10MG * 14,6840,,KE,Surgipharm
APROVEL TABS 300mg * 28's,392,,KE,Surgipharm
APROVEL TABS 150mg * 28's,322,,KE,Surgipharm
XATRAL LP TABS 10mg * 30's,1167,,KE,Surgipharm
RHINATHIOL ADULT EXP 200M(SUGAR FR),990,,KE,Surgipharm
ELOXATIN INJ 50mg * 1,39,,KE,Surgipharm
ELOXATIN INJ 100mg * 1,19,,KE,Surgipharm
CO APROVEL TABS 150mg * 28's,110,,KE,Surgipharm
CO APROVEL TABS 300mg * 28's,16,,KE,Surgipharm
ORELOX TABS 100MG *10'S,2820,,KE,Surgipharm
ORELOX SUSP 40MG/5ML 50ML,1827,,KE,Surgipharm
TRITAZIDE TABS 5/25MG * 28'S,66,,KE,Surgipharm
ORELOX SUSP 40MG/5ML 100ML,87,,KE,Surgipharm
AMARYL M TABS 2mg * 30's,625,,KE,Surgipharm
NO SPA FORTE TABLETS 80MG * 20,339,,KE,Surgipharm
ENTEROGERMINA VIALS 5ML * 10's,1136,,KE,Surgipharm
EPILIM CHRONO TABS 300mg * 100,65,,KE,Surgipharm
CLEXANE INJ. 80mg * 2,50,,KE,Surgipharm
CLEXANE INJ. 60mg * 2,51,,KE,Surgipharm
CLEXANE INJ. 40mg * 2,23207,,KE,Surgipharm
LANTUS SOLOSTAR 3ML CARTRIDGE * 5'S,1555,,KE,Surgipharm
TRITAZIDE TABS 5/12.5MG * 28'S,465,,KE,Surgipharm
EPILIM INJECTION 400MG * 1 (SODIUM VALPROATE),53,,KE,Surgipharm
TAVANIC TABS 500mg * 5,1884,,KE,Surgipharm
AXACEF TABLETS 250MG * 10,445,,KE,Surgipharm
AXACEF TABLETS 500MG * 10's,667,,KE,Surgipharm
FLEMING INJ 1.2GM * 5'S,282,,KE,Surgipharm
IBEX CAPSULES 2*12,7293,,KE,Surgipharm
AMARYL M SR TABS 2MG-500mg * 30's,683,,KE,Surgipharm
