Distributor_Product_Name,Quantity,Expiry,country,distributor_name
Amaryl Tablets 4mg  30's,27,,KE,Harleys
Axacef 250mg Tablets 10's,1355,,KE,Harleys
Axacef 500mg Tablets 10's,3707,,KE,Harleys
Clexane 20mg injection 2's,0,,KE,Harleys
Clexane 40mg inj 2's,4317,,KE,Harleys
Clexane 60mg inj 2's,0,,KE,Harleys
Clexane 80mg injection 2's,194,,KE,Harleys
Coaprovel Tablets 150/12.5 mg 28's,0,,KE,Harleys
Coaprovel Tablets 300/12.5mg 28's,1,,KE,Harleys
Epilim Chrono 300mg  Tablets 100's,0,,KE,Harleys
Epilim Chrono 500mg  Tablets 100's - DDA,0,,KE,Harleys
Epilim EC 200mg tablets 100's - DDA,0,,KE,Harleys
Epilim IV 400mg/4ml Vial,0,,KE,Harleys
Epilim Liquid 300ml,532,,KE,Harleys
Flagentyl  500mg Tablets 4's,531,,KE,Harleys
Flagyl Injection 500mg/100ml,86,,KE,Harleys
Flagyl Suspension 200mg/5ml 100ml,1,,KE,Harleys
Flagyl Tablets 400mg 100's,0,,KE,Harleys
Fleming 1.2g Dry Powder For Injection 5's,0,,KE,Harleys
Fleming 1gm Tablets 14's,0,,KE,Harleys
Fleming 228.5mg/5ml Dry Powder For Suspension 70ml,922,,KE,Harleys
Fleming 457mg/5ml Dry Powder For Suspension 70ml,0,,KE,Harleys
Fleming 625mg Tablets 14's,56,,KE,Harleys
Lantus Solostar 100u/3ml 5's - COLD CHAIN,0,,KE,Harleys
Lasix 40mg Tablets 20's,0,,KE,Harleys
Lasix Injection 20mg 5 x 2ml AMP,0,,KE,Harleys
Orelox 100mg tablets 10's,19,,KE,Harleys
Orelox 200mg Tablets 10's,0,,KE,Harleys
Orelox 40mg/5ml suspension 100ml,2,,KE,Harleys
Orelox 40mg/5ml suspension 50ml,0,,KE,Harleys
Plavix 75mg Tablets 28's,0,,KE,Harleys
Proxacin 500mg Tablets 10's,0,,KE,Harleys
Resonium Adult Powder 454gms,0,,KE,Harleys
Rifocin injection 250mg/3ml - COLD CHAIN,0,,KE,Harleys
Targocid 400mg/3ml inj I.M/I.V amp,0,,KE,Harleys
Tavanic Tablets 500mg 5's,1,,KE,Harleys
Taxotere 80mg/4ml Injection Vial,0,,KE,Harleys
Tritace 10mg Capsules 30's,3,,KE,Harleys
Tritace 2.5mg tabs 28's,0,,KE,Harleys
Tritace 5mg tablets 28's,0,,KE,Harleys
Tritace Tablets 5mg 30`s,0,,KE,Harleys
Tritazide 5mg/25mg Tablets 28's,12,,KE,Harleys
Xatral 5mg Tablets 56's,107,,KE,Harleys
Xatral LP Tablets 10mg 30's,0,,KE,Harleys
Zeben 200mg Tablets 2's,0,,KE,Harleys
Zeben 400mg Suspension 20ml,0,,KE,Harleys
AMARYL M 2mg/500mg 30'S ,413,,KE,Highchem
AMARYL M SR 2mg/500mg 30'S ,40,,KE,Highchem
AMARYL TABS 1.0mg 30'S ,1,,KE,Highchem
AMARYL TABS 2.0mg 30'S ,2,,KE,Highchem
AMARYL TABS 4.0mg 30'S ,3068,,KE,Highchem
AMEDIN 5.0mg TABS 28'S ,9,,KE,Highchem
APROVASC 150/5mg TABS 28'S ,53,,KE,Highchem
APROVASC 150-10 MG 28'S ,83,,KE,Highchem
APROVASC 300-10 MG 28'S ,160,,KE,Highchem
APROVASC 300-5MG TABS ,120,,KE,Highchem
APROVEL 150mg TABS 28'S ,186,,KE,Highchem
APROVEL 300mg TABS 28'S ,99,,KE,Highchem
AXACEF 250mg TABS 10'S ,256,,KE,Highchem
AXACEF 500mg TABS 10'S ,866,,KE,Highchem
BRUMED 100ml SUSPENSION ,205,,KE,Highchem
BRUMED 400mg TABS 100'S ,174,,KE,Highchem
CLEXANE 40mg 2'S ,1984,,KE,Highchem
CLEXANE 80mg 2'S ,592,,KE,Highchem
CO-APROVEL TABS 300/12.5mg 28'S ,23,,KE,Highchem
ELOXATINE 100mg ,36,,KE,Highchem
ELOXATINE 50mg ,41,,KE,Highchem
ENTEROGERMINA 5.0ml 10'S ,2265,,KE,Highchem
EPILIM 200mg TABS EC 100'S ,451,,KE,Highchem
EPILIM 300ml SYRUP ,78,,KE,Highchem
EPILIM CHRONO 300mg TABS 100'S ,38,,KE,Highchem
EPILIM CHRONO 500mg TABS 100'S ,568,,KE,Highchem
ERCEFURYL 200mg CAPS 28'S ,602,,KE,Highchem
ERCEFURYL 4% 90ML SUSPENSION ,199,,KE,Highchem
FLAGENTYL 500mg TABS ,3375,,KE,Highchem
FLAGYL 100ml SUSPENSION ,904,,KE,Highchem
FLAGYL 100ml VIAFLEX ,6401,,KE,Highchem
FLAGYL 400mg TABS 100'S ,70,,KE,Highchem
FLEMING 228.5mg/5ml 70ml SUSPE.. ,439,,KE,Highchem
FLEMING 500mg+125mg TABS 14'S ,703,,KE,Highchem
FLEMING 875mg+125mg TABS 14'S ,98,,KE,Highchem
HISTACET 10mg TABS 20'S ,304,,KE,Highchem
LACTACYD 120ml WASH ,21,,KE,Highchem
LANTUS SOLOSTAR 3ml 5'S ,425,,KE,Highchem
LASIX 20mg AMPS 5'S ,598,,KE,Highchem
LASIX 40mg TABS 20'S ,372,,KE,Highchem
MAALOX 150ml SUSPENSION ,7285,,KE,Highchem
MAALOX 350ml SUSPENSION ,5924,,KE,Highchem
MAALOX 460mg SATCHETS LEMON ,812,,KE,Highchem
MAALOX PLUS 150ml SUSPENSION ,4122,,KE,Highchem
MONO-TILDIEM SR 200mg TABS 28'S ,93,,KE,Highchem
NO SPA 40mg TABS 100'S ,86,,KE,Highchem
NO SPA 40mg/2ml INJECTION 25'S ,137,,KE,Highchem
NO SPA 40mg/2ml INJECTION 5'S ,283,,KE,Highchem
NO SPA FORTE 80mg TABS 20'S ,474,,KE,Highchem
OMIZEC 20mg CAPS 28'S ,200,,KE,Highchem
ORELOX 100mg TABS 10'S ,3544,,KE,Highchem
ORELOX 100ml SUSPENSION ,116,,KE,Highchem
ORELOX 200mg TABS 10'S ,29,,KE,Highchem
ORELOX 50ml SUSPENSION ,71,,KE,Highchem
PLAVIX 75mg TABS 28'S ,297,,KE,Highchem
RESONIUM 454g ADULT POWDER ,16,,KE,Highchem
RHINATHIOL AD 125ml SP ,2245,,KE,Highchem
RHINATHIOL ENFT 125ml SP ,3769,,KE,Highchem
RHINATHIOL PROM 125ml SP ,892,,KE,Highchem
RILUTEK TABS 56 X 50MG ,8,,KE,Highchem
STILNOX 10mg TABS 14'S ,2470,,KE,Highchem
TAVANIC 500mg TABS 5'S ,1748,,KE,Highchem
TELFAST 120mg TABS 10'S ,150,,KE,Highchem
TRANXENE CAPSULES 5MG*30s ,150,,KE,Highchem
TRIMOPRIM 960mg 100'S ,18,,KE,Highchem
TRITACE 10.0mg TABS 30'S ,270,,KE,Highchem
TRITACE 5.0mg TABS 30'S ,51,,KE,Highchem
TRITAZIDE 5/12.5mg TABS 28'S ,43,,KE,Highchem
TRITAZIDE 5/25mg TABS 28'S ,316,,KE,Highchem
XATRAL LP 10mg TABS 30'S ,833,,KE,Highchem
XATRAL LP TABLETS 5MG*56s ,712,,KE,Highchem
ALL STAR PEN                  ,10,,KE,Laborex
AMARYL M 2MG CP B/30          ,302,,KE,Laborex
AMARYL M IR 2MG/500MG 30'S    ,0,,KE,Laborex
AMARYL M SR 2MG/500MG 30'S    ,0,,KE,Laborex
AMARYL M SR 2MG CP B/30       ,3,,KE,Laborex
AMARYL TABS 1MG 30'S          ,0,,KE,Laborex
AMARYL TABS 2MG 30'S          ,0,,KE,Laborex
AMARYL TABS 4MG 30'S          ,16,,KE,Laborex
APROVASC 150-5MG CP B/28      ,41,,KE,Laborex
APROVASC 300-5MG CP B/28      ,10,,KE,Laborex
BISOLVON TABS 8MG 20'S       .,0,,KE,Laborex
BRONCHICUM ELIXIR 100ML       ,1901,,KE,Laborex
CLEXANE 40MG INJ 2'S          ,6490,,KE,Laborex
CLEXANE INJ  20MG 2'S         ,139,,KE,Laborex
CLEXANE INJ  60MG 2'S         ,649,,KE,Laborex
CLEXANE INJ 80MG 2'S          ,645,,KE,Laborex
"CO APROVEL 150/12,5MG RMCP/28 ",128,,KE,Laborex
"COAPROVEL 150/12,5MG X 28'S   ",0,,KE,Laborex
"CO APROVEL 300/12,5MG RMCP/28 ",0,,KE,Laborex
"COAPROVEL 300/12,5MG X 28'S   ",0,,KE,Laborex
CORDARONE 200MG CP B/30       ,0,,KE,Laborex
CORDARONE 200MG TABS 30'S     ,0,,KE,Laborex
DAONIL TABS 5MG 100'S         ,0,,KE,Laborex
DULCOLAX TABS 5MG 30'S       .,0,,KE,Laborex
ENTEROGERMINA 2M/5ML F/10     ,3175,,KE,Laborex
ENTEROGERMINA ORAL SUSP 10X5ML,0,,KE,Laborex
EPILIM CHRONO CAPS 500MG 100S ,0,,KE,Laborex
EPILIM EC TABS 200MG 100'S    ,383,,KE,Laborex
EPILIM IV 400MG PER VIAL      ,15,,KE,Laborex
EPILIM SYRUP 200MG/5ML 300ML  ,82,,KE,Laborex
