Distributor_Product_Name,Quantity,Expiry,country,distributor_name
Amaryl M 2mg/500mgtablets 30's,768,,KE,Harleys
Amaryl M SR 2mg/500mg tablets 30's,60,,KE,Harleys
Amaryl Tablets 1mg  30's,629,,KE,Harleys
Amaryl Tablets 2mg  30's,3233,,KE,Harleys
Amaryl Tablets 4mg  30's,264,,KE,Harleys
Apidra Solostar 300IU pens 5s - COLD CHAIN,29,,KE,Harleys
Aprovasc 150mg/10mg tablets 28's,1,,KE,Harleys
Aprovasc 150mg/5mg tablets 28's,200,,KE,Harleys
Aprovel 150mg tablets 28's,79,,KE,Harleys
Aprovel 300mg tablets 28's,93,,KE,Harleys
Axacef 250mg Tablets 10's,1424,,KE,Harleys
Axacef 500mg Tablets 10's,5,,KE,Harleys
Bioferon Capsules 30's,337,,KE,Harleys
Buscopan injection 20mg/ml  - 5s,884,,KE,Harleys
Buscopan plus tablets 50's,15639,,KE,Harleys
Clexane 40mg inj 2's,7306,,KE,Harleys
Clexane 80mg injection 2's,2252,,KE,Harleys
Coaprovel Tablets 150/12.5 mg 28's,588,,KE,Harleys
Cordarone Tablets 200mg 30's,18,,KE,Harleys
Eloxatin 5mg/ml  Injection 10ml,18,,KE,Harleys
Enterogermina Oral Suspension 10 x 5ml,9147,,KE,Harleys
Epilim Chrono 300mg  Tablets 100's - DDA,1355,,KE,Harleys
Epilim Chrono 500mg  Tablets 100's - DDA,22,,KE,Harleys
Epilim EC 200mg tablets 100's - DDA,10,,KE,Harleys
Epilim IV 400mg/4ml Vial,218,,KE,Harleys
Epilim Liquid 300ml -DDA,2417,,KE,Harleys
Flagentyl  500mg Tablets 4's,61,,KE,Harleys
Flagyl Suspension 200mg/5ml 100ml,6,,KE,Harleys
Flagyl Tablets 400mg 100's,4116,,KE,Harleys
Fleming 1.2g Dry Powder For Injection 5's,581,,KE,Harleys
Fleming 1gm Tablets 14's,438,,KE,Harleys
Fleming 228.5mg/5ml Dry Powder For Suspension 70ml,8795,,KE,Harleys
Fleming 457mg/5ml Dry Powder For Suspension 70ml,1430,,KE,Harleys
Fleming 625mg Tablets 14's,17,,KE,Harleys
Ibex Capsule 2 x 12's,1200,,KE,Harleys
Lantus Solostar 100u/3ml 5's PENS - COLD CHAIN,852,,KE,Harleys
Lantus vial 10ml - COLD CHAIN,102,,KE,Harleys
Lasix 40mg Tablets 20's,391,,KE,Harleys
Lasix Injection 20mg 5 x 2ml AMP,830,,KE,Harleys
Maalox plus 200mg (4x10),1473,,KE,Harleys
Maalox Stick Satchets 20's,3966,,KE,Harleys
Maalox Suspension 350ml,286,,KE,Harleys
Monotildiem SR 200mg Capsules 28's,39,,KE,Harleys
Mucosolvan liquid 15mg/5ml 100ml,23690,,KE,Harleys
No-Spa 40mg Tablets 100's,610,,KE,Harleys
No-Spa 40mg/2ml Injection 25's,4,,KE,Harleys
No-Spa Forte 80mg Tablets 20's,303,,KE,Harleys
No-Spa Tablets 40mg 20's,3,,KE,Harleys
Orelox 200mg Tablets 10's,32,,KE,Harleys
Orelox 40mg/5ml suspension 100ml,1104,,KE,Harleys
Orelox 40mg/5ml suspension 50ml,658,,KE,Harleys
Paraflam Tablets 10's,128,,KE,Harleys
Plavix 75mg Tablets 28's,336,,KE,Harleys
Rhinathiol Adult 5% Syrup 125ml,983,,KE,Harleys
Rhinathiol Infant 2% Syrup 125ml - Paed,5198,,KE,Harleys
Rhinathiol Promethazine Syrup  125ml,18096,,KE,Harleys
Stilnox10mg Tablet's 14's - DDA,5033,,KE,Harleys
Targocid 200mg/vial inj,30,,KE,Harleys
Tavanic 500mg inj 1FL 100ml,299,,KE,Harleys
Tavanic Tablets 500mg 5's,3169,,KE,Harleys
Taxotere 20mg/Vial,156,,KE,Harleys
Taxotere 80mg/4ml Injection Vial,2,,KE,Harleys
Tritace 2.5mg tabs 28's,42,,KE,Harleys
Tritace 5mg tablets 28's,78,,KE,Harleys
Tritazide 5mg/25mg Tablets 28's,4,,KE,Harleys
Xatral 5mg Tablets 56's,16,,KE,Harleys
Zoxon 1gm Injection 1's,9666,,KE,Harleys
AMARYL M 2mg/500mg 30'S,541,,KE,Highchem
AMARYL TABS 1.0mg 30'S,801,,KE,Highchem
AMARYL TABS 2.0mg 30'S,93,,KE,Highchem
AMARYL TABS 4.0mg 30'S,448,,KE,Highchem
APROVASC 150/5mg TABS 28'S,50,,KE,Highchem
APROVASC 150-10 MG 28'S,9,,KE,Highchem
APROVASC 300-10 MG 28'S,81,,KE,Highchem
APROVASC 300-5MG TABS,15,,KE,Highchem
APROVEL 150mg TABS 28'S,107,,KE,Highchem
APROVEL 300mg TABS 28'S,140,,KE,Highchem
BIOFERON CAPS 30'S,131,,KE,Highchem
BRONCHICUM ELIXIR 100ml,1969,,KE,Highchem
CLEXANE 20mg 2'S,140,,KE,Highchem
CLEXANE 40mg 2'S,478,,KE,Highchem
CO-APROVEL TABS 150/12.5mg 28'S,275,,KE,Highchem
CORDARONE TAB 200mg 30'S,531,,KE,Highchem
DAONIL 5.0mg TABS 100'S,268,,KE,Highchem
ENTEROGERMINA 5.0ml 10'S,847,,KE,Highchem
EPILIM 200mg TABS EC 100'S,1476,,KE,Highchem
EPILIM 300ml SYRUP,1092,,KE,Highchem
