Distributor_Product_Name,Quantity,Expiry,country,distributor_name
Amaryl M 2mg/500mgtablets 30's,266,,KE,Harleys
Amaryl M SR 2mg/500mg tablets 30's,65,,KE,Harleys
Amaryl Tablets 1mg  30's,286,,KE,Harleys
Amaryl Tablets 2mg  30's,3427,,KE,Harleys
Amaryl Tablets 4mg  30's,157,,KE,Harleys
Apidra Solostar 300IU pens 5s - COLD CHAIN,20,,KE,Harleys
Aprovasc 150mg/10mg tablets 28's,21,,KE,Harleys
Aprovasc 150mg/5mg tablets 28's,133,,KE,Harleys
Aprovasc 300mg/10mg tablets 28's,72,,KE,Harleys
Aprovasc 300mg/5mg tablets 28's,119,,KE,Harleys
Aprovel 150mg tablets 28's,167,,KE,Harleys
Aprovel 300mg tablets 28's,1,,KE,Harleys
Axacef 250mg Tablets 10's,1877,,KE,Harleys
Axacef 500mg Tablets 10's,2494,,KE,Harleys
Buscopan plus tablets 50's,735,,KE,Harleys
Clexane 40mg inj 2's,3510,,KE,Harleys
Clexane 80mg injection 2's,1640,,KE,Harleys
Coaprovel Tablets 150/12.5 mg 28's,482,,KE,Harleys
Coaprovel Tablets 300/12.5mg 28's,147,,KE,Harleys
Eloxatin 5mg/ml  Injection 10ml,2,,KE,Harleys
Eloxatin 5mg/ml  Injection 20ml,11,,KE,Harleys
Enterogermina Oral Suspension 10 x 5ml,389,,KE,Harleys
Epilim Chrono 300mg  Tablets 100's - DDA,960,,KE,Harleys
Epilim Chrono 500mg  Tablets 100's - DDA,715,,KE,Harleys
Epilim IV 400mg/4ml Vial,819,,KE,Harleys
Epilim Liquid 300ml -DDA,6214,,KE,Harleys
Flagentyl  500mg Tablets 4's,530,,KE,Harleys
Flagyl Suspension 200mg/5ml 100ml,94,,KE,Harleys
Flagyl Tablets 400mg 100's,2581,,KE,Harleys
Flagyl Viaflex 0.5mg injection- 100ml,784,,KE,Harleys
Fleming 1.2g Dry Powder For Injection 5's,1968,,KE,Harleys
Fleming 1gm Tablets 14's,1460,,KE,Harleys
Fleming 228.5mg/5ml Dry Powder For Suspension 70ml,1795,,KE,Harleys
Fleming 457mg/5ml Dry Powder For Suspension 70ml,2520,,KE,Harleys
Fleming 625mg Tablets 14's,5450,,KE,Harleys
Ibex Capsule 2 x 12's,2818,,KE,Harleys
Lantus 300iu /3ml inj  Cartridges  5'S - COLD CHAIN,9,,KE,Harleys
Lantus Solostar 100u/3ml 5's PENS - COLD CHAIN,336,,KE,Harleys
Lantus vial 10ml - COLD CHAIN,73,,KE,Harleys
Lasix 40mg Tablets 20's,117,,KE,Harleys
Lasix Injection 20mg 5 x 2ml AMP,6227,,KE,Harleys
Maalox plus 200mg (4x10),1036,,KE,Harleys
Maalox Stick Satchets 20's (Lemon),1524,,KE,Harleys
Maalox Suspension 350ml,953,,KE,Harleys
Monotildiem SR 200mg Capsules 28's,43,,KE,Harleys
Mucosolvan liquid 15mg/5ml 100ml,10328,,KE,Harleys
No-Spa 40mg Tablets 100's,364,,KE,Harleys
No-Spa 40mg/2ml Injection 25's,1,,KE,Harleys
No-Spa Forte 80mg Tablets 20's,390,,KE,Harleys
Orelox 100mg tablets 10's,527,,KE,Harleys
Orelox 200mg Tablets 10's,289,,KE,Harleys
Orelox 40mg/5ml suspension 100ml,48,,KE,Harleys
Orelox 40mg/5ml suspension 50ml,7,,KE,Harleys
Paraflam Tablets 10's,486,,KE,Harleys
Plavix 75mg Tablets 28's,135,,KE,Harleys
Resonium Adult Powder 454gms,386,,KE,Harleys
Rhinathiol Adult 5% Syrup 125ml,4784,,KE,Harleys
Rhinathiol Infant 2% Syrup 125ml - Paed,12286,,KE,Harleys
Rhinathiol Promethazine Syrup  125ml,15500,,KE,Harleys
Stilnox10mg Tablet's 14's - DDA,3309,,KE,Harleys
Targocid 200mg/vial inj,30,,KE,Harleys
Tavanic 500mg inj 1FL 100ml,789,,KE,Harleys
Tavanic Tablets 500mg 5's,2642,,KE,Harleys
Taxotere 20mg/Vial,156,,KE,Harleys
Tritace 2.5mg tabs 28's,5,,KE,Harleys
Tritace 5mg tablets 28's,95,,KE,Harleys
Tritazide 5mg/25mg Tablets 28's,4,,KE,Harleys
Xatral LP Tablets 10mg 30's,181,,KE,Harleys
Zoxon 1gm Injection 1's,53,,KE,Harleys
AMARYL M 2mg/500mg 30'S,100,,KE,Highchem
AMARYL TABS 1.0mg 30'S,625,,KE,Highchem
AMARYL TABS 4.0mg 30'S,30,,KE,Highchem
APROVASC 150/5mg TABS 28'S,12,,KE,Highchem
APROVASC 300-10 MG 28'S,39,,KE,Highchem
APROVEL 300mg TABS 28'S,132,,KE,Highchem
BIOFERON CAPS 30'S,59,,KE,Highchem
BRONCHICUM ELIXIR 100ml,156,,KE,Highchem
CO-APROVEL TABS 150/12.5mg 28'S,216,,KE,Highchem
CORDARONE TAB 200mg 30'S,472,,KE,Highchem
DAONIL 5.0mg TABS 100'S,87,,KE,Highchem
EPILIM 200mg TABS EC 100'S,1213,,KE,Highchem
EPILIM 300ml SYRUP,124,,KE,Highchem
EPILIM CHRONO 300mg TABS 100'S,700,,KE,Highchem
EPILIM CHRONO 500mg TABS 100'S,418,,KE,Highchem
FLAGENTYL 500mg TABS,60,,KE,Highchem
FLAGYL 100ml VIAFLEX,2,,KE,Highchem
FLEMING 1000mg+200mg 5's INJ,135,,KE,Highchem
FLEMING 228.5mg/5ml 70ml SUSPE..,237,,KE,Highchem
FLEMING 875mg+125mg TABS 14'S,17,,KE,Highchem
LANTUS SOLOSTAR 3ml 5'S,22,,KE,Highchem
LASIX 20mg AMPS 5'S,388,,KE,Highchem
MAALOX 150ml SUSPENSION,141,,KE,Highchem
MAALOX PLUS 200MG TABS BL4X10,188,,KE,Highchem
NO SPA 40mg TABS 100'S,88,,KE,Highchem
NO SPA 40mg TABS 20'S,306,,KE,Highchem
NO SPA 40mg/2ml INJECTION 25'S,10,,KE,Highchem
NO SPA 40mg/2ml INJECTION 5'S,120,,KE,Highchem
ORELOX 200mg TABS 10'S,99,,KE,Highchem
ORELOX 50ml SUSPENSION,47,,KE,Highchem
PLAVIX 75mg TABS 28'S,282,,KE,Highchem
RESONIUM 454g ADULT POWDER,545,,KE,Highchem
RHINATHIOL AD 125ml SP,2807,,KE,Highchem
RHINATHIOL ENFT 125ml SP,5050,,KE,Highchem
RHINATHIOL PROM 125ml SP,16,,KE,Highchem
STILNOX 10mg TABS 14'S,5682,,KE,Highchem
TAVANIC 500mg TABS 5'S,1638,,KE,Highchem
TAVANIC INJECTION 500mg,332,,KE,Highchem
TRITACE 2.5 MG TABS 28s,111,,KE,Highchem
TRITACE 5.0mg TABS 30'S,103,,KE,Highchem
TRITAZIDE 5/25mg TABS 28'S,237,,KE,Highchem
ALLSTAR PEN,20,,KE,Surgipharm
AMARYL M SR TABS 2MG-500mg * 30's,722,,KE,Surgipharm
AMARYL M TABS 2mg * 30's,1475,,KE,Surgipharm
AMARYL TABS 1mg * 30's,1940,,KE,Surgipharm
AMARYL TABS 2mg * 30's,235,,KE,Surgipharm
AMARYL TABS 4mg * 30's,652,,KE,Surgipharm
APIDRA SOLOSTAR 3ML DISP PENS * 5s,134,,KE,Surgipharm
APROVASC TAB 150-5MG *28,162,,KE,Surgipharm
APROVASC TAB 300-10MG *28,68,,KE,Surgipharm
APROVASC TAB 300-5MG *28,282,,KE,Surgipharm
APROVEL TABS 150mg * 28's,580,,KE,Surgipharm
APROVEL TABS 300mg * 28's,604,,KE,Surgipharm
AXACEF TABLETS 250MG * 10,560,,KE,Surgipharm
