Distributor_Product_Name,Quantity,Expiry,country,distributor_name
Bioferon Capsules 30's,2195,,KE,Harleys
Bioferon Liquid Syrup 200ml,0,,KE,Harleys
Bronchicum Elixir S 100ml,4019,,KE,Harleys
Brumed 100mg/5ml Suspension 100ml,0,,KE,Harleys
Buscopan injection 20mg/ml  - 5s,2005,,KE,Harleys
Buscopan plus tablets 50's,30072,,KE,Harleys
Dulcolax 5mg tablets 30's,0,,KE,Harleys
Dulcolax 5mg tablets 30's,0,,KE,Harleys
Enterogermina Oral Suspension 10 x 5ml,0,,KE,Harleys
Ercefuryl 4% Syrup 90ml,160,,KE,Harleys
Ercefuryl Capsule 200mg 28`s,0,,KE,Harleys
Histacet 10mg Tablets 20's,413,,KE,Harleys
Histacet Syrup 60ml,0,,KE,Harleys
Ibex Capsule 2 x 12's,5638,,KE,Harleys
Maalox Plus Suspension 150ml,0,,KE,Harleys
Maalox Plus Suspension 350ml,0,,KE,Harleys
Maalox Stick Satchets 20's,1,,KE,Harleys
Maalox Suspension 150ml,0,,KE,Harleys
Maalox Suspension 350ml,410,,KE,Harleys
Mucosolvan liquid 15mg/5ml 100ml,40640,,KE,Harleys
No-Spa 40mg Tablets 100's,36,,KE,Harleys
No-Spa 40mg/2ml Injection 25's,301,,KE,Harleys
No-Spa Forte 80mg Tablets 20's,0,,KE,Harleys
NO-SPA Tablets 40mg 100's,1243,,KE,Harleys
No-Spa Tablets 40mg 20's,5,,KE,Harleys
Paraflam Tablets 10's,466,,KE,Harleys
Rhinathiol 2% Syrup 125ml - Paed,5809,,KE,Harleys
Rhinathiol 5% Sugar Free Syrup 200ml,0,,KE,Harleys
Rhinathiol 5% Syrup 125ml,4020,,KE,Harleys
Rhinathiol Expectorant/Adult Syrup 125ml,0,,KE,Harleys
Rhinathiol Promethazine Syrup  125ml,31203,,KE,Harleys
Amaryl M 2mg/500mgtablets 30's,1923,,KE,Harleys
Amaryl M SR 2mg/500mg tablets 30's,90,,KE,Harleys
Amaryl Tablets 1mg  30's,1054,,KE,Harleys
Amaryl Tablets 2mg  30's,0,,KE,Harleys
Amaryl Tablets 4mg  30's,0,,KE,Harleys
Apidra Solostar 300IU pens 5s - COLD CHAIN,0,,KE,Harleys
Aprovasc 150mg/5mg tablets 28's,413,,KE,Harleys
Aprovasc 300mg/10mg tablets 28's,0,,KE,Harleys
Aprovasc 300mg/5mg tablets 28's,70,,KE,Harleys
Aprovel 150mg tablets 28's,345,,KE,Harleys
Aprovel 300mg tablets 28's,362,,KE,Harleys
Axacef 250mg Tablets 10's,175,,KE,Harleys
Axacef 500mg Tablets 10's,1545,,KE,Harleys
Clexane 20mg injection 2's,0,,KE,Harleys
Clexane 40mg inj 2's,11973,,KE,Harleys
Clexane 60mg inj 2's,178,,KE,Harleys
Clexane 80mg injection 2's,3593,,KE,Harleys
Coaprovel Tablets 150/12.5 mg 28's,1031,,KE,Harleys
Coaprovel Tablets 300/12.5mg 28's,0,,KE,Harleys
Cordarone Tablets 200mg 30's,8,,KE,Harleys
Eloxatin 50mg/ml,0,,KE,Harleys
Eloxatin 5mg/ml  Injection 20ml,31,,KE,Harleys
Epilim Chrono 300mg  Tablets 100's,0,,KE,Harleys
Epilim Chrono 500mg  Tablets 100's - DDA,843,,KE,Harleys
Epilim EC 200mg tablets 100's - DDA,1315,,KE,Harleys
Epilim IV 400mg/4ml Vial,0,,KE,Harleys
Epilim Liquid 300ml,178,,KE,Harleys
Flagentyl  500mg Tablets 4's,17310,,KE,Harleys
Flagyl Injection 500mg/100ml - do not use,0,,KE,Harleys
Flagyl Suspension 200mg/5ml 100ml,2722,,KE,Harleys
Flagyl Tablets 400mg 100's,0,,KE,Harleys
Flagyl Viaflex 0.5mg injection- 100ml,0,,KE,Harleys
Fleming 1.2g Dry Powder For Injection 5's,503,,KE,Harleys
Fleming 1gm Tablets 14's,3054,,KE,Harleys
Fleming 228.5mg/5ml Dry Powder For Suspension 70ml,2482,,KE,Harleys
Fleming 457mg/5ml Dry Powder For Suspension 70ml,0,,KE,Harleys
Fleming 625mg Tablets 14's,2525,,KE,Harleys
Lantus 300iu /3ml inj  Cartridges  5'S - COLD CHAIN,45,,KE,Harleys
Lantus Solostar 100u/3ml 5's PENS - COLD CHAIN,0,,KE,Harleys
Lantus vial 10ml - COLD CHAIN,3,,KE,Harleys
Lasix 40mg Tablets 20's,220,,KE,Harleys
Lasix Injection 20mg 5 x 2ml AMP,0,,KE,Harleys
Maalox plus 200mg (4x10),82,,KE,Harleys
Monotildiem SR 200mg Capsules 28's,0,,KE,Harleys
Orelox 100mg tablets 10's,556,,KE,Harleys
Orelox 200mg Tablets 10's,729,,KE,Harleys
Orelox 40mg/5ml suspension 100ml,3373,,KE,Harleys
Orelox 40mg/5ml suspension 50ml,1680,,KE,Harleys
Plavix 75mg Tablets 28's,316,,KE,Harleys
Plavix 75mg Tablets 28's,553,,KE,Harleys
Proxacin 500mg Tablets 10's,0,,KE,Harleys
Resonium Adult Powder 454gms,10,,KE,Harleys
Rifocin injection 250mg/3ml - COLD CHAIN,0,,KE,Harleys
Roxicef 750mg Dry Powder For Injection - 1s,238,,KE,Harleys
Stilnox10mg Tablet's 14's - DDA,7392,,KE,Harleys
Targocid 200mg/vial inj,66,,KE,Harleys
Targocid 400mg/3ml inj I.M/I.V amp,30,,KE,Harleys
Tavanic 500mg inj 1FL 100ml,116,,KE,Harleys
