Distributor_Product_Name,Quantity,Expiry,country,distributor_name
Bioferon Capsules 30's,2921,,KE,Harleys
Bioferon Liquid Syrup 200ml,0,,KE,Harleys
Bronchicum Elixir S 100ml,1,,KE,Harleys
Brumed 100mg/5ml Suspension 100ml,0,,KE,Harleys
Buscopan injection 20mg/ml  - 5s,2157,,KE,Harleys
Buscopan plus tablets 50's,35904,,KE,Harleys
Dulcolax 5mg tablets 30's,0,,KE,Harleys
Dulcolax 5mg tablets 30's,0,,KE,Harleys
Enterogermina Oral Suspension 10 x 5ml,331,,KE,Harleys
Ercefuryl 4% Syrup 90ml,0,,KE,Harleys
Ercefuryl Capsule 200mg 28`s,1,,KE,Harleys
Histacet 10mg Tablets 20's,413,,KE,Harleys
Histacet Syrup 60ml,0,,KE,Harleys
Ibex Capsule 2 x 12's,7745,,KE,Harleys
Maalox Plus Suspension 150ml,0,,KE,Harleys
Maalox Plus Suspension 350ml,0,,KE,Harleys
Maalox Stick Satchets 20's,50,,KE,Harleys
Maalox Suspension 150ml,0,,KE,Harleys
Maalox Suspension 350ml,1331,,KE,Harleys
Mucosolvan liquid 15mg/5ml 100ml,44110,,KE,Harleys
No-Spa 40mg Tablets 100's,146,,KE,Harleys
No-Spa 40mg/2ml Injection 25's,336,,KE,Harleys
No-Spa Forte 80mg Tablets 20's,0,,KE,Harleys
No-Spa 40mg Tablets 100's,1328,,KE,Harleys
No-Spa Tablets 40mg 20's,15,,KE,Harleys
Paraflam Tablets 10's,523,,KE,Harleys
Rhinathiol 2% Syrup 125ml - Paed,0,,KE,Harleys
Rhinathiol 5% Sugar Free Syrup 200ml,0,,KE,Harleys
Rhinathiol 5% Syrup 125ml,0,,KE,Harleys
Rhinathiol Expectorant/Adult Syrup 125ml,0,,KE,Harleys
Rhinathiol Promethazine Syrup  125ml,3,,KE,Harleys
Amaryl M 2mg/500mgtablets 30's,2158,,KE,Harleys
Amaryl M SR 2mg/500mg tablets 30's,94,,KE,Harleys
Amaryl Tablets 1mg  30's,1153,,KE,Harleys
Amaryl Tablets 2mg  30's,0,,KE,Harleys
Amaryl Tablets 4mg  30's,0,,KE,Harleys
Apidra Solostar 300IU pens 5s - COLD CHAIN,0,,KE,Harleys
Aprovasc 150mg/5mg tablets 28's,453,,KE,Harleys
Aprovasc 300mg/10mg tablets 28's,16,,KE,Harleys
Aprovasc 300mg/5mg tablets 28's,128,,KE,Harleys
Aprovel 150mg tablets 28's,177,,KE,Harleys
Aprovel 300mg tablets 28's,393,,KE,Harleys
Axacef 250mg Tablets 10's,372,,KE,Harleys
Axacef 500mg Tablets 10's,1796,,KE,Harleys
Clexane 20mg injection 2's,0,,KE,Harleys
Clexane 40mg inj 2's,6320,,KE,Harleys
Clexane 60mg inj 2's,622,,KE,Harleys
Clexane 80mg injection 2's,4241,,KE,Harleys
Coaprovel Tablets 150/12.5 mg 28's,1110,,KE,Harleys
Coaprovel Tablets 300/12.5mg 28's,0,,KE,Harleys
Cordarone Tablets 200mg 30's,127,,KE,Harleys
Eloxatin 50mg/ml,0,,KE,Harleys
Eloxatin 5mg/ml  Injection 20ml,31,,KE,Harleys
Epilim Chrono 300mg  Tablets 100's,0,,KE,Harleys
Epilim Chrono 500mg  Tablets 100's - DDA,632,,KE,Harleys
Epilim EC 200mg tablets 100's - DDA,1688,,KE,Harleys
Epilim IV 400mg/4ml Vial,0,,KE,Harleys
Epilim Liquid 300ml,1194,,KE,Harleys
Flagentyl  500mg Tablets 4's,21104,,KE,Harleys
Flagyl Injection 500mg/100ml - do not use,0,,KE,Harleys
Flagyl Suspension 200mg/5ml 100ml,4317,,KE,Harleys
Flagyl Tablets 400mg 100's,0,,KE,Harleys
Flagyl Viaflex 0.5mg injection- 100ml,0,,KE,Harleys
Fleming 1.2g Dry Powder For Injection 5's,0,,KE,Harleys
Fleming 1gm Tablets 14's,329,,KE,Harleys
Fleming 228.5mg/5ml Dry Powder For Suspension 70ml,935,,KE,Harleys
Fleming 457mg/5ml Dry Powder For Suspension 70ml,0,,KE,Harleys
Fleming 625mg Tablets 14's,4268,,KE,Harleys
Lantus 300iu /3ml inj  Cartridges  5'S - COLD CHAIN,52,,KE,Harleys
Lantus Solostar 100u/3ml 5's PENS - COLD CHAIN,39,,KE,Harleys
Lantus vial 10ml - COLD CHAIN,3,,KE,Harleys
Lasix 40mg Tablets 20's,1777,,KE,Harleys
Lasix Injection 20mg 5 x 2ml AMP,9,,KE,Harleys
Maalox plus 200mg (4x10),0,,KE,Harleys
Monotildiem SR 200mg Capsules 28's,0,,KE,Harleys
Orelox 100mg tablets 10's,84,,KE,Harleys
Orelox 200mg Tablets 10's,1359,,KE,Harleys
Orelox 40mg/5ml suspension 100ml,1346,,KE,Harleys
Orelox 40mg/5ml suspension 50ml,1,,KE,Harleys
Plavix 75mg Tablets 28's,416,,KE,Harleys
Plavix 75mg Tablets 28's,557,,KE,Harleys
Proxacin 500mg Tablets 10's,0,,KE,Harleys
Resonium Adult Powder 454gms,0,,KE,Harleys
Rifocin injection 250mg/3ml - COLD CHAIN,0,,KE,Harleys
Roxicef 750mg Dry Powder For Injection - 1s,238,,KE,Harleys
Stilnox10mg Tablet's 14's - DDA,6489,,KE,Harleys
Targocid 200mg/vial inj,76,,KE,Harleys
Targocid 400mg/3ml inj I.M/I.V amp,0,,KE,Harleys
Tavanic 500mg inj 1FL 100ml,401,,KE,Harleys
Tavanic Tablets 500mg 5's,0,,KE,Harleys
Taxotere 20mg/Vial,0,,KE,Harleys
Taxotere 80mg/4ml Injection Vial,84,,KE,Harleys
Tritace 10mg Capsules 30's,0,,KE,Harleys
Tritace 2.5mg tabs 28's,0,,KE,Harleys
Tritace 5mg tablets 28's,0,,KE,Harleys
Tritace Tablets 5mg 30`s,0,,KE,Harleys
Tritazide 5mg/12.5mg Tablets 28's,0,,KE,Harleys
Tritazide 5mg/25mg Tablets 28's,65,,KE,Harleys
Xatral 5mg Tablets 56's,0,,KE,Harleys
Xatral LP Tablets 10mg 30's,260,,KE,Harleys
Zeben 200mg Tablets 2's,0,,KE,Harleys
Zeben 400mg Suspension 20ml,0,,KE,Harleys
Zoxon 1gm Injection 1's,0,,KE,Harleys
AMARYL M 2mg/500mg 30'S ,125,,KE,Highchem
AMARYL TABS 4.0mg 30'S ,167,,KE,Highchem
APROVASC 150-10 MG 28'S ,72,,KE,Highchem
APROVASC 300-10 MG 28'S ,93,,KE,Highchem
APROVASC 300-5MG TABS ,13,,KE,Highchem
APROVEL 150mg TABS 28'S ,184,,KE,Highchem
APROVEL 300mg TABS 28'S ,102,,KE,Highchem
BRONCHICUM ELIXIR 100ml ,1,,KE,Highchem
ENTEROGERMINA 5.0ml 10'S ,6,,KE,Highchem
