Distributor_Product_Name,Quantity,Expiry,country,distributor_name
Bioferon Capsules 30's,1148,,KE,Harleys
Bioferon Liquid Syrup 200ml,0,,KE,Harleys
Bronchicum Elixir S 100ml,345,,KE,Harleys
Brumed 100mg/5ml Suspension 100ml,0,,KE,Harleys
Buscopan injection 20mg/ml  - 5s,2175,,KE,Harleys
Buscopan plus tablets 50's,39868,,KE,Harleys
Dulcolax 5mg tablets 30's,0,,KE,Harleys
Dulcolax 5mg tablets 30's,0,,KE,Harleys
Enterogermina Oral Suspension 10 x 5ml,4088,,KE,Harleys
Ercefuryl 4% Syrup 90ml,0,,KE,Harleys
Ercefuryl Capsule 200mg 28`s,87,,KE,Harleys
Histacet 10mg Tablets 20's,413,,KE,Harleys
Histacet Syrup 60ml,0,,KE,Harleys
Ibex Capsule 2 x 12's,8828,,KE,Harleys
Maalox Plus Suspension 150ml,98,,KE,Harleys
Maalox Plus Suspension 350ml,0,,KE,Harleys
Maalox Stick Satchets 20's,603,,KE,Harleys
Maalox Suspension 150ml,0,,KE,Harleys
Maalox Suspension 350ml,180,,KE,Harleys
Mucosolvan liquid 15mg/5ml 100ml,48730,,KE,Harleys
No-Spa 40mg Tablets 100's,191,,KE,Harleys
No-Spa 40mg/2ml Injection 25's,362,,KE,Harleys
No-Spa Forte 80mg Tablets 20's,0,,KE,Harleys
NO-SPA Tablets 40mg 100's,1349,,KE,Harleys
No-Spa Tablets 40mg 20's,33,,KE,Harleys
Paraflam Tablets 10's,623,,KE,Harleys
Rhinathiol 2% Syrup 125ml - Paed,0,,KE,Harleys
Rhinathiol 5% Syrup 125ml,0,,KE,Harleys
Rhinathiol Expectorant/Adult Syrup 125ml,0,,KE,Harleys
Rhinathiol Promethazine Syrup  125ml,5,,KE,Harleys
Amaryl M 2mg/500mgtablets 30's,2395,,KE,Harleys
Amaryl M SR 2mg/500mg tablets 30's,97,,KE,Harleys
Amaryl Tablets 1mg  30's,1232,,KE,Harleys
Amaryl Tablets 2mg  30's,53,,KE,Harleys
Amaryl Tablets 4mg  30's,0,,KE,Harleys
Apidra Solostar 300IU pens 5s - COLD CHAIN,0,,KE,Harleys
Aprovasc 150mg/5mg tablets 28's,471,,KE,Harleys
Aprovasc 300mg/10mg tablets 28's,55,,KE,Harleys
Aprovasc 300mg/5mg tablets 28's,167,,KE,Harleys
Aprovel 150mg tablets 28's,243,,KE,Harleys
Aprovel 300mg tablets 28's,437,,KE,Harleys
Axacef 250mg Tablets 10's,510,,KE,Harleys
Axacef 500mg Tablets 10's,2122,,KE,Harleys
Clexane 20mg injection 2's,81,,KE,Harleys
Clexane 40mg inj 2's,7174,,KE,Harleys
Clexane 60mg inj 2's,1189,,KE,Harleys
Clexane 80mg injection 2's,4663,,KE,Harleys
Coaprovel Tablets 150/12.5 mg 28's,1242,,KE,Harleys
Coaprovel Tablets 300/12.5mg 28's,3,,KE,Harleys
Cordarone Tablets 200mg 30's,226,,KE,Harleys
Eloxatin 50mg/ml,0,,KE,Harleys
Eloxatin 5mg/ml  Injection 20ml,31,,KE,Harleys
Epilim Chrono 300mg  Tablets 100's,1,,KE,Harleys
Epilim Chrono 500mg  Tablets 100's - DDA,1136,,KE,Harleys
Epilim EC 200mg tablets 100's - DDA,2873,,KE,Harleys
Epilim IV 400mg/4ml Vial,0,,KE,Harleys
Epilim Liquid 300ml,1755,,KE,Harleys
Flagentyl  500mg Tablets 4's,23078,,KE,Harleys
Flagyl Injection 500mg/100ml - do not use,0,,KE,Harleys
Flagyl Suspension 200mg/5ml 100ml,1,,KE,Harleys
Flagyl Tablets 400mg 100's,0,,KE,Harleys
Flagyl Viaflex 0.5mg injection- 100ml,0,,KE,Harleys
Fleming 1.2g Dry Powder For Injection 5's,0,,KE,Harleys
Fleming 1gm Tablets 14's,752,,KE,Harleys
Fleming 228.5mg/5ml Dry Powder For Suspension 70ml,0,,KE,Harleys
Fleming 457mg/5ml Dry Powder For Suspension 70ml,0,,KE,Harleys
Fleming 625mg Tablets 14's,5477,,KE,Harleys
Lantus 300iu /3ml inj  Cartridges  5'S - COLD CHAIN,79,,KE,Harleys
Lantus Solostar 100u/3ml 5's PENS - COLD CHAIN,210,,KE,Harleys
Lantus vial 10ml - COLD CHAIN,3,,KE,Harleys
Lasix 40mg Tablets 20's,3216,,KE,Harleys
Lasix Injection 20mg 5 x 2ml AMP,1157,,KE,Harleys
