Mercafar_Gmid,Quantity,Expiry
158893,276,
158893,106,
158893,250,
293791,134,
293791,200,
293791,200,
159086,300,
191391,419,
191379,535,
190107,4,
190107,4221,
190107,2184,
190107,2518,
190107,3285,
190107,180,
190106,2161,
190106,68,
190104,10,
190104,1761,
515284,122,
250545,1285,
332328,51,
592475,223,
592504,5,
592504,26,
227380,778,
227380,5065,
227380,200,
188840,220,
511293,213,
511293,129,
510643,255,
510643,300,
272453,307,
519330,50,
519330,16,
192775,76,
592560,598,
592560,994,
278343,33,
632293,123,
632293,1147,
632293,156,
632293,846,
632293,1703,
389144,51,
29585,20,
29585,973,
389146,10,
389146,4048,
389146,165,
389146,290,
29649,290,
29649,540,
29649,450,
29649,660,
389142,1546,
29612,362,
29612,348,
29612,2267,
298191,561,
58604,220,
58604,183,
272773,10,
272773,235,
272773,3510,
272773,997,
600314,39,
600314,10,
600315,250,
600315,240,
600315,250,
592632,204,
592632,180,
329051,469,
329051,200,
328151,101,
328226,578,
328226,279,
328228,275,
328228,100,
328228,146,
611636,357,
296329,104,
296331,105,
611613,200,
611613,150,
611613,120,
328213,1504,
328213,699,
611618,522,
611618,158,
611618,4,
611618,200,
611618,500,
328216,1986,
611633,515,
611633,545,
611633,350,
611635,1094,
611635,500,
436427,197,
436427,288,
436427,28,
436427,2155,
335666,453,
335666,1368,
335666,90,
192768,417,
192768,3185,
480578,111,
190071,37,
511532,3,
511532,1631,
411383,2399,
192636,1076,
192636,230,
196179,945,
196179,60,
196179,258,
196179,42,
192637,282,
569252,106,
188850,1,
188850,4578,
188850,10717,
592735,2050,
421873,1250,
592781,539,
592782,303,
592782,199,
592782,1498,
316979,702,
316979,1204,
544575,2361,
592806,4,
592806,70,
195146,20,
195146,167,
195146,208,
195146,90,
195146,910,
529654,687,
14820,492,
14901,154,
13196,191,
13196,86,
13196,1,
480201,110,
480201,97,
537710,105,
365768,200,
365770,199,
539414,110,
539414,500,
539414,150,
192750,108,
192750,254,
192750,99,
323076,287,
323076,709,
